time_ns,v_in,v_tx_p_n1,v_tx_n_n2,v_rx_p_n3,v_rx_n_n4,v_rx_diff_rxnode,v_rx_diff_n3_n4
11.17191,1.0,0.001535987,0.4984013,0.2499763,0.2499347,4.166761e-05,4.166761e-05
12.67191,1.0,0.001546782,0.4985097,0.2500285,0.2499845,4.401436e-05,4.401436e-05
14.17191,1.0,0.001437308,0.4984926,0.249975,0.2499346,4.041527e-05,4.041527e-05
15.67191,1.0,0.001482536,0.4985782,0.2500299,0.2499877,4.227301e-05,4.227301e-05
17.17191,1.0,0.001392524,0.4985388,0.2499739,0.2499345,3.93646e-05,3.93646e-05
18.67191,1.0,0.001457936,0.4986157,0.2500314,0.2499896,4.172783e-05,4.172783e-05
20.17191,1.0,0.001377656,0.4985634,0.2499725,0.249933,3.957706e-05,3.957706e-05
21.67191,1.0,0.001453671,0.4986378,0.2500328,0.2499909,4.1862e-05,4.1862e-05
23.171909999999997,1.0,0.001373867,0.4985764,0.2499711,0.2499314,3.968311e-05,3.968311e-05
24.671909999999997,1.0,0.001453644,0.4986511,0.2500343,0.249993,4.135446e-05,4.135446e-05
26.17191,1.0,0.001369394,0.4985823,0.2499697,0.2499308,3.89093e-05,3.89093e-05
27.67191,1.0,0.00145097,0.4986591,0.2500361,0.249996,4.004814e-05,4.004814e-05
29.17191,1.0,0.001361686,0.4985841,0.2499683,0.2499307,3.757731e-05,3.757731e-05
29.999999999999996,1.0,0.001444771,0.4986663,0.2500366,0.2499977,3.894466e-05,3.894466e-05
