time_ns,input_v,native_kd_hold_start_ns,native_kd_hold_end_ns,in_native_kd_hold_region,hspice_native_ibis__kd,ngspice_legacy__kd,ngspice_value_match_v2__kd,ngspice_two_state_identity__kd,ngspice_two_state_pwl__kd,ngspice_two_state_directional__kd,ngspice_two_state_directional_residual__kd,ngspice_two_state_directional_residual_recover_mean__kd
4.0005,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.0015,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.0025,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.003500000000001,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.004500000000001,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.005500000000001,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.006500000000002,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.007500000000002,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.008500000000002,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.009500000000003,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.010500000000003,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.011500000000003,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.012500000000004,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.013500000000004,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
