signal,value_at_rise_ns,value_at_reverse_fall_ns,fall_below_0.9_ns,fall_below_0.5_ns,fall_below_0.1_ns,recover_above_0.1_ns,recover_above_0.5_ns,recover_above_0.9_ns,min_time_ns,min_value,max_time_ns,max_value
hspice_kd,0.9998090768472907,1.0016050257069407,6.371558120085971,6.371944900787965,6.3723316814899595,7.900129077920864,8.071107675588145,8.268540101166142,6.386647,-0.06318683,5.90782,1.005403
legacy_kd,1.0,1.002982620816869,6.0005647277242735,6.000585069223592,6.000605410722912,8.530629459585212,8.700665349035622,8.900647043901854,6.9006390241019675,-0.07272913502585919,5.90177999999998,1.006496600860656
two_state_residual_kd,0.9986262762211005,1.0028066268338576,6.47205586365502,6.622387571293614,6.826655611816315,8.533699066992478,8.712964886337353,8.915276829684917,8.411204839542519,-0.01867195842822209,5.91074999999998,1.005594269581113
two_state_gdn,0.9999999999999988,0.9999999999999954,6.473790396830227,6.613414857641545,6.996687785269036,8.514869240733844,8.679442726675113,9.150092125670346,8.480625786555226,0.0002004759071335512,6.333550217842407,0.9999999999999999
two_state_gdntarget,0.9999999999999999,0.9999999999999992,6.444751854946464,6.448761306464274,6.452761370844333,8.48162808132399,8.485628081323988,8.489628081323985,6.453932918554827,0.0,5.030350000000001,1.0
two_state_kdgate,0.9989881503504127,1.0016326564082954,6.46776885830417,6.617613491436581,6.821381977109245,8.52988752616484,8.70801735494827,8.911255349668963,8.412923077560952,-0.01983387180303029,5.90177999999998,1.006496600860657
