case_id,flow,reverse_edge_ns,active_end_ns,hspice_kd_recover_50_ns,model_kd_recover_50_ns,model_recover_lag_ps,total_kd_rmse,onset_window_start_ns,onset_window_end_ns,onset_kd_rmse,onset_sse_fraction,crossing_gap_kd_rmse,crossing_gap_sse_fraction,post_both_50_start_ns,post_both_50_end_ns,post_both_50_kd_rmse,post_both_50_sse_fraction,classification_hint
short_pulse_500ps_high,ngspice_legacy,5.5005,8.501000000000001,7.356794370298453,8.204849432501033,848.0550622025804,0.64107959998701,5.5005,8.204849432501033,0.6586486481308459,0.9918031020111253,0.8679181646284893,0.5781562576540408,8.204849432501033,8.501000000000001,0.23616122989825197,0.008196897988874848,pre_50_dominated_with_shape_tail
short_pulse_500ps_high,ngspice_two_state_directional_residual,5.5005,8.501000000000001,7.356794370298453,8.224154825773496,867.3604554750432,0.6853975200943846,5.5005,8.224154825773496,0.7035036796249343,0.9898957426651441,0.8627176390388591,0.49976275541035553,8.224154825773496,8.501000000000001,0.28032808313815133,0.010104257334855772,pre_50_dominated_with_shape_tail
short_pulse_500ps_high,ngspice_two_state_directional_residual_recover_mean,5.5005,8.501000000000001,7.356794370298453,7.694587505957307,337.7931356588535,0.5711423839981155,5.5005,7.694587505957307,0.6235160690201152,0.9838420121288934,0.671113321554372,0.27799560219208985,7.694587505957307,8.501000000000001,0.17379788581125574,0.016157987871106665,pre_50_dominated_with_shape_tail
short_pulse_500ps_high,ngspice_two_state_directional_residual_recover_fast,5.5005,8.501000000000001,7.356794370298453,7.143686445677883,-213.10792462057026,0.5070539709315336,5.5005,7.143686445677883,0.6635443869322142,0.8849852651795705,0.4757953200387971,0.09455090058459394,7.356794370298453,8.501000000000001,0.11831690850912703,0.020463834235835567,pre_50_dominated_with_shape_tail
short_pulse_1ns_high,ngspice_legacy,6.0005,9.001000000000001,8.071107675588145,8.702468099273792,631.3604236856473,0.572808386965056,6.0005,8.702468099273792,0.5858839358822104,0.9887632003677987,0.8334425320439196,0.490537633004216,8.702468099273792,9.001000000000001,0.25919782680048736,0.011236799632201273,pre_50_dominated_with_shape_tail
short_pulse_1ns_high,ngspice_two_state_directional_residual,6.0005,9.001000000000001,8.071107675588145,8.713183810413657,642.076134825512,0.5543172147898991,6.0005,8.713183810413657,0.5662739127363376,0.9863345077066011,0.8354642191327626,0.5263549674666197,8.713183810413657,9.001000000000001,0.27661242005374714,0.013665492293398853,pre_50_dominated_with_shape_tail
short_pulse_1ns_high,ngspice_two_state_directional_residual_recover_mean,6.0005,9.001000000000001,8.071107675588145,8.191684531125196,120.57685553705078,0.3835624835053772,6.0005,8.191684531125196,0.4299321123691701,0.965282032061734,0.29402553964821304,0.0322475354587523,8.191684531125196,9.001000000000001,0.14847160267539303,0.034717967938266175,pre_50_dominated_with_shape_tail
short_pulse_1ns_high,ngspice_two_state_directional_residual_recover_fast,6.0005,9.001000000000001,8.071107675588145,7.669926081073696,-401.18159451444944,0.49886041240720663,6.0005,7.669926081073696,0.5129346317675207,0.5415036642487893,0.7273759803222201,0.42778930235641127,8.071107675588145,9.001000000000001,0.1632942780901062,0.0307070333947995,mixed_onset_and_shape
short_pulse_2ns_high,ngspice_legacy,7.0005,10.001000000000001,9.346933380842684,9.707368492598267,360.4351117555833,0.29154437181499604,7.0005,9.707368492598267,0.2933162825300529,0.9552564639474362,0.7000113586960647,0.8647530640466282,9.707368492598267,10.001000000000001,0.2600210753713348,0.044743536052564,pre_50_dominated_with_shape_tail
short_pulse_2ns_high,ngspice_two_state_directional_residual,7.0005,10.001000000000001,9.346933380842684,9.716953345465308,370.01996462262457,0.2961533747357544,7.0005,9.716953345465308,0.29844468945316854,0.9647570133140445,0.7023102830404498,0.8787082598996404,9.716953345465308,10.001000000000001,0.24863830508262144,0.03524298668595572,pre_50_dominated_with_shape_tail
short_pulse_2ns_high,ngspice_two_state_directional_residual_recover_mean,7.0005,10.001000000000001,9.346933380842684,9.193706387232037,-153.22699361064628,0.13976872345715893,7.0005,9.193706387232037,0.10366905375206384,0.4022945515278414,0.3620835725182885,0.4194475511982229,9.346933380842684,10.001000000000001,0.1299383685648448,0.17825789727393557,shape_dominated_after_timing
short_pulse_2ns_high,ngspice_two_state_directional_residual_recover_fast,7.0005,10.001000000000001,9.346933380842684,8.67410793803713,-672.8254428055536,0.4215828499778172,7.0005,8.67410793803713,0.08002008745486344,0.02026537755510577,0.8504515394369202,0.9410550157183303,9.346933380842684,10.001000000000001,0.18256897685019702,0.038679606726563856,mixed_onset_and_shape
