case_id,flow,input_rise_ns,input_fall_ns,kd_fall_50_ns,kd_recover_50_ns,kd_recover_lag_vs_hspice_ps,gdntarget_recover_50_ns,gdn_recover_50_ns,pdonp_recover_max
short_pulse_500ps_high,hspice_native_ibis,5.000499797177708,5.50049997920956,5.8719716847142545,7.356794370298453,0,,,
short_pulse_500ps_high,ngspice_two_state_directional_residual,5.000499797177708,5.50049997920956,6.623487004521799,8.22383260715118,867.0382368527277,7.985877902517954,8.18821134566151,0.0
short_pulse_500ps_high,ngspice_two_state_directional_residual_recover_mean,5.000499797177708,5.50049997920956,6.623487004521799,7.694621780310681,337.8274100122276,7.467592028169241,7.659148755995544,1.124925605049616
short_pulse_500ps_high,ngspice_two_state_directional_residual_recover_fast,5.000499797177708,5.50049997920956,6.623487004521799,7.143797622593617,-212.99674770483622,6.948995570527654,7.110152651199893,1.121638515875909
short_pulse_1ns_high,hspice_native_ibis,5.000499797177708,6.000499804970024,6.371944900787965,8.071107675588145,0,,,
short_pulse_1ns_high,ngspice_two_state_directional_residual,5.000499797177708,6.000499804970024,6.622387571293614,8.712964886337353,641.8572107492082,8.485628081323988,8.679442726675113,0.0
short_pulse_1ns_high,ngspice_two_state_directional_residual_recover_mean,5.000499797177708,6.000499804970024,6.622387571293614,8.191685042455244,120.5773668670993,7.967339717088895,8.157466511267394,1.124851942516704
short_pulse_1ns_high,ngspice_two_state_directional_residual_recover_fast,5.000499797177708,6.000499804970024,6.622387571293614,7.670149193709015,-400.95848187912964,7.4488195005278035,7.637519789443583,1.124999724356583
short_pulse_2ns_high,hspice_native_ibis,5.000499797177708,7.0005000085021445,6.628175186465182,9.346933380842684,0,,,
short_pulse_2ns_high,ngspice_two_state_directional_residual,5.000499797177708,7.0005000085021445,6.637838860914342,9.717276778288902,370.34339744621826,9.485574728369892,9.682927618380374,0.0
short_pulse_2ns_high,ngspice_two_state_directional_residual_recover_mean,5.000499797177708,7.0005000085021445,6.637838860914342,9.193680210358634,-153.2531704840494,8.967286333197778,9.159107380957932,1.121497395636678
short_pulse_2ns_high,ngspice_two_state_directional_residual_recover_fast,5.000499797177708,7.0005000085021445,6.637838860914342,8.673783495481384,-673.1498853612994,8.44888523627313,8.64126780282065,1.122628947081138
