node,rmse_v,maxabs_v,active_rmse_v,active_maxabs_v,steady_rmse_v,steady_maxabs_v,hspice_min_v,hspice_max_v,ngspice_min_v,ngspice_max_v
p1,0.7225615291626758,2.173950484108935,0.7256179966834765,2.173950484108935,0.8586498671879544,2.173950484108935,-0.4506854,3.745831,-0.19089857140517508,2.9089441080666134
p2,0.04460427229255459,0.1367067534359081,0.04474362810239843,0.1367067534359081,0.04864963298503555,0.1367067534359081,-0.2000382,0.2117015,-0.087868407505287,0.08460452875119545
p3,0.013952108030125372,0.05064795737413615,0.013998175894678212,0.05064795737413615,0.01610100234091687,0.05064795737413615,-0.05884397,0.06158365,-0.032118194392118125,0.03294881868360692
p4,0.011083489097786874,0.02308736871310712,0.011127335240885633,0.02308736871310712,0.013089728768702031,0.021721199226002064,-0.01274503,0.02084699,-0.01336601811629151,0.013227280042690423
in_dig,0.00021597242475745684,0.0032282999980831617,0.00021688601777299942,0.0032282999980831617,0.000359180280175638,0.0032282999980831617,0.0,3.3,0.0,3.3
