case_id,flow,pulse_width_ns,reverse_edge_ns,kd_recover_50_ns,t_hold_50_ns,hspice_t_hold_50_ns,t_hold_error_ps,kd_recover_lag_vs_hspice_ps,pdonp_recover_max
short_pulse_500ps_high,hspice_native_ibis,0.5,5.50049997920956,7.356794370298453,1.856294391088893,1.8514216955967386,4.8726954921543,0,
short_pulse_500ps_high,ngspice_two_state_directional_residual,0.5,5.50049997920956,8.22383260715118,2.7233326279416206,1.8514216955967386,871.910932344882,867.0382368527277,0.0
short_pulse_500ps_high,ngspice_two_state_directional_residual_recover_mean,0.5,5.50049997920956,7.694621780310681,2.1941218011011205,1.8514216955967386,342.7001055043819,337.8274100122276,1.124925605049616
short_pulse_500ps_high,ngspice_two_state_directional_residual_recover_fast,0.5,5.50049997920956,7.143797622593617,1.6432976433840567,1.8514216955967386,-208.12405221268193,-212.99674770483622,1.121638515875909
short_pulse_1ns_high,hspice_native_ibis,1.0,6.000499804970024,8.071107675588145,2.0706078706181206,2.057074747893478,13.533122724642688,0,
short_pulse_1ns_high,ngspice_two_state_directional_residual,1.0,6.000499804970024,8.712964886337353,2.712465081367329,2.057074747893478,655.3903334738509,641.8572107492082,0.0
short_pulse_1ns_high,ngspice_two_state_directional_residual_recover_mean,1.0,6.000499804970024,8.191685042455244,2.19118523748522,2.057074747893478,134.11048959174198,120.5773668670993,1.124851942516704
short_pulse_1ns_high,ngspice_two_state_directional_residual_recover_fast,1.0,6.000499804970024,7.670149193709015,1.669649388738991,2.057074747893478,-387.42535915448696,-400.95848187912964,1.124999724356583
short_pulse_2ns_high,hspice_native_ibis,2.0,7.0005000085021445,9.346933380842684,2.346433372340539,2.3292520925579963,17.181279782542802,0,
short_pulse_2ns_high,ngspice_two_state_directional_residual,2.0,7.0005000085021445,9.717276778288902,2.7167767697867573,2.3292520925579963,387.52467722876105,370.34339744621826,0.0
short_pulse_2ns_high,ngspice_two_state_directional_residual_recover_mean,2.0,7.0005000085021445,9.193680210358634,2.1931802018564897,2.3292520925579963,-136.07189070150662,-153.2531704840494,1.121497395636678
short_pulse_2ns_high,ngspice_two_state_directional_residual_recover_fast,2.0,7.0005000085021445,8.673783495481384,1.6732834869792397,2.3292520925579963,-655.9686055787565,-673.1498853612994,1.122628947081138
