mode,order,estimated_delay_s,estimated_delay_ns,fit_complex_rms,fit_complex_max,fit_mag_db_rms_above_m40,fit_mag_db_max_above_m40,fit_phase_deg_rms_above_m40,fit_phase_deg_max_above_m40,fit_group_delay_rms_ps,fit_group_delay_max_ps,fit_max_sv_samples,fit_max_sv_samples_freq_hz,residual_fit_is_passive,plot
none,8,1.3984115756484564e-08,13.984115756484565,0.1129617846705706,1.036851104256084,23.432081232019858,59.69681333337688,95.08849541165499,179.99635706660996,13683.685624093298,31454.83902701221,0.9714813053842719,10000000.0,False,results/sparam_cisco_delay_proto_2026-06-08/Ch10_35_5F3N_t/none_order8_through_fit.png
none,16,1.3984115756484564e-08,13.984115756484565,0.10494217529841057,1.0377624148012639,22.223863869320994,72.68832227166988,91.26999892750024,179.95341858817815,13538.685966507028,31505.635336554504,1.0018213005095378,56865625.0,False,results/sparam_cisco_delay_proto_2026-06-08/Ch10_35_5F3N_t/none_order16_through_fit.png
global_all,8,1.3984115756484564e-08,13.984115756484565,0.13740668050790533,0.8691896138970208,40.291917671527244,96.17783743138492,93.0060986217744,179.9941427082323,9575.39110820218,45364.54527632422,0.3782232861289402,49343881250.0,False,results/sparam_cisco_delay_proto_2026-06-08/Ch10_35_5F3N_t/global_all_order8_through_fit.png
global_all,16,1.3984115756484564e-08,13.984115756484565,0.13717006279816973,0.868895543047532,37.91451206593369,73.26512667288496,93.80347816182059,179.98258828642588,9628.184053889663,45351.90164398764,0.4928470079598743,45438412500.0,False,results/sparam_cisco_delay_proto_2026-06-08/Ch10_35_5F3N_t/global_all_order16_through_fit.png
through_only,8,1.3984115756484564e-08,13.984115756484565,0.09814466504250133,0.49297590984389095,25.554118374956275,123.51244030909493,90.83165761212999,179.98446806127245,9408.63359613988,45343.055810999555,0.528636678066551,15538143750.0,False,results/sparam_cisco_delay_proto_2026-06-08/Ch10_35_5F3N_t/through_only_order8_through_fit.png
through_only,16,1.3984115756484564e-08,13.984115756484565,0.0843396126798106,0.43426070686366297,19.585677897943576,104.91298618065208,83.05947978606672,179.9570902370072,9405.20137682705,45321.49810807724,0.6212926733693023,56865625.0,False,results/sparam_cisco_delay_proto_2026-06-08/Ch10_35_5F3N_t/through_only_order16_through_fit.png
per_entry,8,1.3984115756484564e-08,13.984115756484565,0.09844126120394954,0.48400696457596093,14.751063491901471,42.8713958551854,85.8717629727648,179.97130390456155,9408.34412984992,45344.46296881675,0.6070742301669362,41243750.0,True,results/sparam_cisco_delay_proto_2026-06-08/Ch10_35_5F3N_t/per_entry_order8_through_fit.png
per_entry,16,1.3984115756484564e-08,13.984115756484565,0.08717308404796942,0.4818083678936848,11.51326442308592,56.8987974310654,76.75756636303309,179.9845220944196,9414.27502671833,45353.01235683448,0.6427911351331093,41243750.0,True,results/sparam_cisco_delay_proto_2026-06-08/Ch10_35_5F3N_t/per_entry_order16_through_fit.png
