case,hspice_tr0,ngspice_raw,hspice_stop_ns,ngspice_stop_ns,hspice_tx_min_v,hspice_tx_max_v,ngspice_tx_min_v,ngspice_tx_max_v,hspice_rx_min_v,hspice_rx_max_v,ngspice_rx_min_v,ngspice_rx_max_v,hspice_tx_low_v,hspice_tx_active_v,hspice_tx_threshold_v,hspice_rx_low_v,hspice_rx_active_v,hspice_rx_threshold_v,tx_rmse_v,tx_maxabs_v,tx_active_rmse_v,tx_active_maxabs_v,rx_rmse_v,rx_maxabs_v,rx_active_rmse_v,rx_active_maxabs_v,ngspice_input_backdrive_flag,hspice_tx_rise50_ns,hspice_rx_rise50_ns,hspice_tx_fall50_ns,hspice_rx_fall50_ns,hspice_rx_minus_tx_rise50_ps,hspice_rx_minus_tx_fall50_ps,ngspice_tx_rise50_ns,ngspice_rx_rise50_ns,ngspice_tx_fall50_ns,ngspice_rx_fall50_ns,rx_rise50_delta_ps,rx_fall50_delta_ps,case_class,case_reason,plot
audit_amp1p5_edge500_r50,results/sparam_cisco_native_hspice_2026-06-08/Ch10_35_5F3N_t_long/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_cisco_ngspice_forced_2026-06-08/Ch10_35_5F3N_t_vector16/audit_amp1p5_edge500_r50.raw,35.0,35.0,-0.01411816,0.7855317,-0.8227051028258864,0.04606297741375755,-5.664177e-78,0.6688653,-0.0980984427936859,0.5690533244106628,-2.018925e-78,0.76157165,0.380785825,-4.270876e-80,0.6503462,0.3251731,0.7336371849987041,1.5832359039767898,0.865072416567806,1.5832359039767898,0.10920959807217552,0.30137721072237955,0.11522473468662597,0.30137721072237955,True,1.261033894754836,15.375842483156461,9.264485046346424,23.389682894995364,14114.808588401625,14125.19784864894,,15.838616377814672,,23.11275329608903,462.77389465821096,-276.9295989063352,FAIL,rx_active_rmse;rx_active_maxabs;rx_rise_delta;rx_fall_delta;tx_backdrive_or_input_mismatch,results/sparam_cisco_ngspice_forced_2026-06-08/Ch10_35_5F3N_t_vector16_compare_v2/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png
audit_amp1p5_edge50_r50,results/sparam_cisco_native_hspice_2026-06-08/Ch10_35_5F3N_t_long/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_cisco_ngspice_forced_2026-06-08/Ch10_35_5F3N_t_vector16/audit_amp1p5_edge50_r50.raw,35.0,35.0,-0.0560304,0.8259677,-0.8261884103887482,0.05093672020300125,-5.664177e-78,0.6690949,-0.1028223816121151,0.5703571322880603,-2.018925e-78,0.7907239,0.39536195,-4.270876e-80,0.6393827,0.31969135,0.7408025378172487,1.6153836190358914,0.8928464591657783,1.6153836190358914,0.11271306639485613,0.32922997339840643,0.11809399874843836,0.32922997339840643,True,1.025425132625831,15.10442731861615,9.024508307360632,23.133206704904044,14079.002185990319,14108.698397543412,,15.579120109773543,,22.919875859144117,474.69279115739306,-213.330845759927,FAIL,rx_active_rmse;rx_active_maxabs;rx_rise_delta;rx_fall_delta;tx_backdrive_or_input_mismatch,results/sparam_cisco_ngspice_forced_2026-06-08/Ch10_35_5F3N_t_vector16_compare_v2/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png
audit_amp1p5_edge5_r50,results/sparam_cisco_native_hspice_2026-06-08/Ch10_35_5F3N_t_long/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_cisco_ngspice_forced_2026-06-08/Ch10_35_5F3N_t_vector16/audit_amp1p5_edge5_r50.raw,35.0,35.0,-0.05970446,0.8464823,-0.9061917495742526,0.1340796143775172,-5.664177e-78,0.6691638,-0.1028029737453133,0.5703083951088463,-2.018925e-78,0.7940703,0.39703515,-4.270876e-80,0.6340131,0.31700655,0.7407072719327911,1.6374181198835487,0.895788925296331,1.6374181198835487,0.1131323318607941,0.34167510645322247,0.11838061404050639,0.34167510645322247,True,1.0035588068822232,15.076442909642719,9.003508331737706,23.111052093092773,14072.884102760494,14107.543761355068,,15.544538235603737,,22.90908126625281,468.0953259610181,-201.9708268399647,FAIL,rx_active_rmse;rx_active_maxabs;rx_rise_delta;rx_fall_delta;tx_backdrive_or_input_mismatch,results/sparam_cisco_ngspice_forced_2026-06-08/Ch10_35_5F3N_t_vector16_compare_v2/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png
