variant,note,return_code,timed_out,wall_s,deck,output,log,output_exists,points,t_end_ns,completed,last_pad_v,last_n10b_v,last_nx_ns,last_ku,last_kd
gear2_nl50,solver only: Gear order 2 and more nonlinear iterations,0,False,15.014529943466187,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\gear2_nl50\gear2_nl50.cir,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\gear2_nl50\gear2_nl50.cir.csv,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\gear2_nl50\gear2_nl50.log,True,12401,124.0,True,0.285419655,-0.000388773631,1.91,0.169334688,0.0929137672
trap_nl50_no_reverse,"solver only: keep trap, allow more nonlinear iterations, disable timestep reversal",timeout,True,90.01047325134277,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\trap_nl50_no_reverse\trap_nl50_no_reverse.cir,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\trap_nl50_no_reverse\trap_nl50_no_reverse.cir.csv,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\trap_nl50_no_reverse\trap_nl50_no_reverse.log,True,12227,122.26,False,0.00664863028,0.0108061418,0.17,0.000578281597,1.00184321
no_uic,setup only: let Xyce calculate the operating point before transient,1,False,0.04180335998535156,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\no_uic\no_uic.cir,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\no_uic\no_uic.cir.csv,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\no_uic\no_uic.log,False,0,nan,False,,,,,
edge_delay20p,model parameter only: increase internal edge-detect T-line delay from 10 ps to 20 ps,0,False,9.106592416763306,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\edge_delay20p\edge_delay20p.cir,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\edge_delay20p\edge_delay20p.cir.csv,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\edge_delay20p\edge_delay20p.log,True,12401,124.0,True,0.286405519,0.000970561483,1.9,0.166778987,0.103411953
edge15_model,model comparison: existing edge15_flat4p2 smoothing,timeout,True,90.01383233070374,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\edge15_model\edge15_model.cir,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\edge15_model\edge15_model.cir.csv,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\edge15_model\edge15_model.log,True,8656,86.55,False,1.30212872,-0.0254363812,0.42,0.964490087,-0.0196809921
tanh15_model,model comparison: existing broad tanh15 smoothing,timeout,True,90.0114061832428,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\tanh15_model\tanh15_model.cir,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\tanh15_model\tanh15_model.cir.csv,results\xyce_edge50_122ns_fix_sweep_2026-05-12\runs\tanh15_model\tanh15_model.log,True,10026,100.25,False,0.0151451796,0.0339759409,0.15,0.0480183086,0.954544776
