case,hspice_tr0,ngspice_raw,hspice_stop_ns,ngspice_stop_ns,hspice_tx_min_v,hspice_tx_max_v,ngspice_tx_min_v,ngspice_tx_max_v,hspice_rx_min_v,hspice_rx_max_v,ngspice_rx_min_v,ngspice_rx_max_v,hspice_tx_low_v,hspice_tx_active_v,hspice_tx_threshold_v,hspice_rx_low_v,hspice_rx_active_v,hspice_rx_threshold_v,tx_rmse_v,tx_maxabs_v,tx_active_rmse_v,tx_active_maxabs_v,rx_rmse_v,rx_maxabs_v,rx_active_rmse_v,rx_active_maxabs_v,ngspice_input_backdrive_flag,hspice_tx_rise50_ns,hspice_rx_rise50_ns,hspice_tx_fall50_ns,hspice_rx_fall50_ns,hspice_rx_minus_tx_rise50_ps,hspice_rx_minus_tx_fall50_ps,ngspice_tx_rise50_ns,ngspice_rx_rise50_ns,ngspice_tx_fall50_ns,ngspice_rx_fall50_ns,ngspice_rx_minus_tx_rise50_ps,ngspice_rx_minus_tx_fall50_ps,tx_rise50_delta_ps,rx_rise50_delta_ps,tx_fall50_delta_ps,rx_fall50_delta_ps,rx_minus_tx_rise50_ps_delta_ps,rx_minus_tx_fall50_ps_delta_ps,case_class,case_reason,plot
audit_amp1p5_edge5_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch5_22_8F_t/hspice_native/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch5_22_8F_t/trim_sweep/trim_p15ps/ngspice/audit_amp1p5_edge5_r50.raw,35.0,35.0,-0.03485382,0.8121689,0.0,0.75,-0.02262787,0.6720528,-0.03138489625404527,0.6727061147173756,-2.033644e-80,0.7703196,0.3851598,3.438961e-79,0.6714357,0.33571785,0.017033145177909104,0.05404868151453161,0.023875465560236814,0.05404868151453161,0.007950441163650164,0.06221011487281214,0.009062569141731286,0.06221011487281214,False,1.0033411138158808,6.987566314529471,9.00359316259249,14.984741682993604,5984.22520071359,5981.148520401114,1.0025677320000002,7.005332395327209,9.002432268000002,15.000502851066026,6002.764663327209,5998.0705830660245,-0.7733818158806027,17.766080797738226,-1.1608945924876934,15.761168072421228,18.539462613618525,16.9220626649103,PASS,thresholds passed,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch5_22_8F_t/trim_sweep/trim_p15ps/comparison/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png
audit_amp1p5_edge50_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch5_22_8F_t/hspice_native/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch5_22_8F_t/trim_sweep/trim_p15ps/ngspice/audit_amp1p5_edge50_r50.raw,35.0,35.0,-0.0289163,0.7729612,-1.679376402943488e-17,0.75,-0.02360968,0.6720096,-0.03138505243013542,0.6727056534195469,-2.033644e-80,0.7670515,0.38352575,3.438961e-79,0.6716387,0.33581935,0.016587870562179707,0.05334980658836633,0.023155034772824483,0.05334980658836633,0.008512481821052001,0.06868274553793402,0.009724343310406384,0.06868274553793402,False,1.0249745409319282,7.007441041038906,9.026207701556983,15.0047503188007,5982.466500106978,5978.542617243716,1.0255683833333333,7.029815501619236,9.024431616666668,15.025050604787026,6004.2471182859035,6000.618988120359,0.5938424014051424,22.374460580330435,-1.7760848903147775,20.300285986326827,21.78061817892558,22.076370876642613,PASS,thresholds passed,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch5_22_8F_t/trim_sweep/trim_p15ps/comparison/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png
audit_amp1p5_edge500_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch5_22_8F_t/hspice_native/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch5_22_8F_t/trim_sweep/trim_p15ps/ngspice/audit_amp1p5_edge500_r50.raw,35.0,35.0,-0.02140723,0.7722878,-1.830757792985581e-17,0.75,-0.02261034,0.6716261,-0.03136934418572365,0.6726724632531874,-2.033644e-80,0.7670622,0.3835311,3.438961e-79,0.6710336,0.3355168,0.01653895722012117,0.04694130426534034,0.02287785197163076,0.04694130426534034,0.008938800236499577,0.0487357851429597,0.010191435185364557,0.0487357851429597,False,1.2583969273705446,7.278223784924303,9.265877291528632,15.263042650353984,6019.826857553758,5997.165358825352,1.2556873999999998,7.312325229782788,9.2443126,15.302464738623057,6056.637829782788,6058.152138623055,-2.709527370544862,34.101444858484875,-21.564691528631386,39.42208826907212,36.810972229030085,60.98677979770309,FAIL,rx_rise_delta;rx_fall_delta,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch5_22_8F_t/trim_sweep/trim_p15ps/comparison/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png
