channel_id,channel_path,ports,points,f_min_hz,f_max_hz,max_low_freq_start_hz,low_freq_coverage_ok,low_freq_coverage_ratio,min_frequency_points,frequency_point_count_ok,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,selected_candidate,status,independent_trust_class,reason,selected_candidate_family,selected_spice_file,selected_model_copy,selected_channel_model_copy,selected_model_order,selected_fit_complex_rms,selected_max_sv_high,independent_score,independent_fail_reasons,independent_warn_reasons
Agilent_E5071B_4f4fd1d7,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,4,205,500000000.0,4500000000.0,5000000000.0,True,0.1,8,True,400000000000.0,0.974180745358752,500000000.0,True,,no_candidate_passed,FAIL,no candidate passed independent qualification gates,,,,,,,,,,
Clarity_example_acf20e4a,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,vector_3r3c,selected,WARN,lowest-order candidate selected by HSPICE-independent trust class and score,full_vector_fit,results/sparam_trust_workflow_selected_smoke_warn_2026-06-09/channels/Clarity_example_acf20e4a/models/vector_3r3c/Clarity_example_acf20e4a_vector_3r3c.sp,results/sparam_trust_workflow_selected_smoke_warn_2026-06-09/selected_models/Clarity_example_acf20e4a.sp,results/sparam_trust_workflow_selected_smoke_warn_2026-06-09/channels/Clarity_example_acf20e4a/selected_model.sp,9,0.0004875352609379861,0.9983643763329778,0.0013911357958792518,,rx_overshoot_margin;rx_undershoot_margin
