case_id,description,pattern,pulse_width_ns,legacy_pad_active_rmse_v,legacy_ku_active_rmse,legacy_kd_active_rmse,legacy_ku_peak,legacy_kd_min,legacy_vmstart_max,legacy_start_disagree_max,legacy_match_ambiguous_active_count,legacy_hvmatch_active_count,legacy_status,gate_hybrid_pad_active_rmse_v,gate_hybrid_ku_active_rmse,gate_hybrid_kd_active_rmse,gate_hybrid_ku_peak,gate_hybrid_kd_min,gate_hybrid_vmstart_max,gate_hybrid_start_disagree_max,gate_hybrid_match_ambiguous_active_count,gate_hybrid_hvmatch_active_count,gate_hybrid_status,charge_hybrid_pad_active_rmse_v,charge_hybrid_ku_active_rmse,charge_hybrid_kd_active_rmse,charge_hybrid_ku_peak,charge_hybrid_kd_min,charge_hybrid_vmstart_max,charge_hybrid_start_disagree_max,charge_hybrid_match_ambiguous_active_count,charge_hybrid_hvmatch_active_count,charge_hybrid_status,vm_hybrid_pad_active_rmse_v,vm_hybrid_ku_active_rmse,vm_hybrid_kd_active_rmse,vm_hybrid_ku_peak,vm_hybrid_kd_min,vm_hybrid_vmstart_max,vm_hybrid_start_disagree_max,vm_hybrid_match_ambiguous_active_count,vm_hybrid_hvmatch_active_count,vm_hybrid_status,vm_full_pad_active_rmse_v,vm_full_ku_active_rmse,vm_full_kd_active_rmse,vm_full_ku_peak,vm_full_kd_min,vm_full_vmstart_max,vm_full_start_disagree_max,vm_full_match_ambiguous_active_count,vm_full_hvmatch_active_count,vm_full_status,vm_ku_pad_active_rmse_v,vm_ku_ku_active_rmse,vm_ku_kd_active_rmse,vm_ku_ku_peak,vm_ku_kd_min,vm_ku_vmstart_max,vm_ku_start_disagree_max,vm_ku_match_ambiguous_active_count,vm_ku_hvmatch_active_count,vm_ku_status,vm_kd_pad_active_rmse_v,vm_kd_ku_active_rmse,vm_kd_kd_active_rmse,vm_kd_ku_peak,vm_kd_kd_min,vm_kd_vmstart_max,vm_kd_start_disagree_max,vm_kd_match_ambiguous_active_count,vm_kd_hvmatch_active_count,vm_kd_status
edge_1ps_base_50r_2pf,"Baseline 1 ps rise/fall, 50 ohm + 2 pF",rise_fall,,0.005289179270369432,0.0043424415275439545,0.005607643494728418,1.011993411977149,-0.07176545831892066,,,,,GOOD,0.00919367677954168,0.006838470045130951,0.010224374957060044,1.0100286494456414,-0.07185893493012933,,,,,WARN,0.009358144184347853,0.006964505346596142,0.010617927526833666,1.0100301672689105,-0.07185857356951716,,,,,WARN,,,,,,,,,,failed,,,,,,,,,,failed,0.021393178909749625,0.0175757557842696,0.030343664376785536,1.010792715751586,-0.07177137727947389,1.703965929446963,1.963581383181006,297,0,CHECK,0.02323131449462715,0.018795657544006524,0.03437153496210403,1.010920557699727,-0.07174803733270373,3.570013831473235,1.963500778059345,299,0,CHECK
short_pulse_500ps_high,"500 ps high pulse with 1 ps edges, 50 ohm + 2 pF",short_high,0.5,0.6788631624717939,0.5024469167360023,0.5784688091362512,1.0125315794000251,-0.07171960195953175,,,,,CHECK,0.011746015171110943,0.013814568733178604,0.6266791489941532,0.019496800226019385,0.0035526988734245145,,,,,CHECK,0.015161034871685448,0.018009797020373412,0.6247412171519897,0.015211771512520284,0.00214479292350789,,,,,CHECK,0.6787055109265047,0.4595133802742391,0.5416699320971463,1.01139952698624,-0.07180680928039708,2.6369898804617873,1.958572060787977,182,0,CHECK,0.47045351661768753,0.31413899643570165,0.701830614066251,0.9912393863150835,-0.028162610959598537,2.7644332630708797,5.096160213347503,183,183,CHECK,0.6784849536456994,0.45958311307517136,0.5417579823912969,1.01143417283132,-0.07184136785566356,1.7039659294472354,1.958591136873255,183,0,CHECK,0.6782441783374843,0.4595715632148011,0.5417648225885728,1.011617934117352,-0.07182589275337614,3.5700138314737893,1.958576630975234,182,0,CHECK
short_pulse_1ns_high,"1 ns high pulse with 1 ps edges, 50 ohm + 2 pF",short_high,1.0,0.6532560845126897,0.4704147907901465,0.5038066834239642,1.012537321335477,-0.07176545831889017,,,,,CHECK,0.02964772894699204,0.03120758961837705,0.48874376539884706,0.058609542308875454,0.0024890858084829887,,,,,CHECK,0.02878946367758174,0.025921937813366828,0.48678605450095813,0.05860954230887553,0.0012268699603855814,,,,,CHECK,0.6530012469407213,0.4302047920765075,0.4671321053717263,1.012203159223543,-0.0717629390852179,2.636989880461409,1.9584265316553402,211,0,CHECK,,,,,,,,,,failed,0.6526242164026511,0.430233017453366,0.46725109490936123,1.0120816540805542,-0.07171549023066906,1.703965929446963,1.958366513801534,212,0,CHECK,0.6526046766319628,0.4302100909414183,0.4672430649696692,1.0121319679798808,-0.07172364524416718,3.570013831473235,1.9583645753240038,211,0,CHECK
short_pulse_2ns_high,"2 ns high pulse with 1 ps edges, 50 ohm + 2 pF",short_high,2.0,0.3613616426183236,0.2833019281281989,0.23141813087362825,1.012537321335477,-0.07240746584312961,,,,,CHECK,0.062112885587674485,0.05488370019936523,0.22606230508361305,0.566020994226117,0.0010975044256644943,,,,,CHECK,0.06396926314997739,0.05472389526572463,0.21874346390426955,0.5660585812878446,0.0010975044549051268,,,,,CHECK,,,,,,,,,,failed,,,,,,,,,,failed,0.35971336661493347,0.2567416241050123,0.23500063300055388,1.012546179924095,-0.07243268161782934,1.703965929447586,1.945601507350803,254,0,CHECK,0.35968111051980584,0.2567507386249526,0.23585221687680172,1.0125447858229517,-0.07243588344616304,3.5700138314744985,1.9461281738459077,254,0,CHECK
short_pulse_500ps_low,"500 ps low pulse after settled high, 50 ohm + 2 pF",short_low,0.5,0.6808194597727125,0.523050511748162,0.7421039561689352,1.0101618928878084,-0.0284836458097058,,,,,CHECK,0.6781674069561322,0.48613640408009157,0.7088893732147817,1.0094959357565232,-0.028092538971043093,,,,,CHECK,0.6779923169725272,0.4861273706912864,0.7088836571386404,1.0094960714563506,-0.028092379054455344,,,,,CHECK,,,,,,,,,,failed,,,,,,,,,,failed,,,,,,,,,,failed,0.6805941676818421,0.4981886930700506,0.7197151108297088,1.010253138288415,-0.028483631717199965,2.4733204025404754,1.963295189892569,49,0,CHECK
short_pulse_1ns_low,"1 ns low pulse after settled high, 50 ohm + 2 pF",short_low,1.0,0.508684032438304,0.4054065451694065,0.6549988875132998,1.0101618928878084,-0.07176545831889039,,,,,CHECK,0.5090351537932986,0.40549361014931845,0.617714032649645,1.0094959357565232,-0.07186300825229108,,,,,CHECK,0.5090832937301445,0.40553047686978794,0.6177622369867428,1.0094960714563506,-0.07186272379443041,,,,,CHECK,,,,,,,,,,failed,,,,,,,,,,failed,,,,,,,,,,failed,0.5078880011188992,0.4048247252965446,0.6308192686396037,1.010253138288415,-0.07175103201411683,2.4733204025404754,1.963295189892569,77,0,CHECK
short_pulse_2ns_low,"2 ns low pulse after settled high, 50 ohm + 2 pF",short_low,2.0,0.018888382643368846,0.020990479212269788,0.3616978395600471,1.0101618928878084,-0.07176545831889039,,,,,CHECK,0.020468714813805224,0.021630622966337536,0.32114258138815344,1.0094959357565232,-0.07186300825229108,,,,,CHECK,0.020349157221113443,0.021625274457326267,0.32114197712539577,1.0094960714563506,-0.07186272379443041,,,,,CHECK,,,,,,,,,,failed,,,,,,,,,,failed,,,,,,,,,,failed,0.019093404980233774,0.02105799787546222,0.3347613497855543,1.010253138288415,-0.07175103201411683,2.4733204025404754,1.963295189892569,129,0,CHECK
double_toggle_1ps,"Two interrupted high pulses with 1 ps edges, 50 ohm + 2 pF",double_toggle,,0.6706700546569923,0.4909655633289554,0.5901006353016915,1.0125300656435587,-0.07222712683131503,,,,,CHECK,0.018158100330201925,0.02120065221322529,0.5676781882880663,0.01983847696946999,0.00165602183905891,,,,,CHECK,,,,,,,,,,failed,0.6712851358559476,0.44449488542462057,0.5372394689772577,1.0113995305223111,-0.0722362924789732,2.636989880461409,1.9604493246244525,285,0,CHECK,,,,,,,,,,failed,,,,,,,,,,failed,0.6715175625164291,0.44449810464598366,0.5372549129364151,1.0116161627094924,-0.07228012626453666,3.570013831473235,1.960357133455281,285,0,CHECK
