case,return_code,raw,log,points,v(p1)_max_v,v(p3)_max_v
audit_amp1p5_edge5_r50,0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_8F_t/ngspice/audit_amp1p5_edge5_r50.raw,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_8F_t/ngspice/audit_amp1p5_edge5_r50.log,7042,0.75,0.6550984721970682
audit_amp1p5_edge50_r50,0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_8F_t/ngspice/audit_amp1p5_edge50_r50.raw,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_8F_t/ngspice/audit_amp1p5_edge50_r50.log,7027,0.75,0.6550984452766222
audit_amp1p5_edge500_r50,0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_8F_t/ngspice/audit_amp1p5_edge500_r50.raw,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_8F_t/ngspice/audit_amp1p5_edge500_r50.log,7020,0.75,0.6550959671734066
