case,hspice_tr0,ngspice_raw,hspice_stop_ns,ngspice_stop_ns,hspice_tx_min_v,hspice_tx_max_v,ngspice_tx_min_v,ngspice_tx_max_v,hspice_rx_min_v,hspice_rx_max_v,ngspice_rx_min_v,ngspice_rx_max_v,hspice_tx_low_v,hspice_tx_active_v,hspice_tx_threshold_v,hspice_rx_low_v,hspice_rx_active_v,hspice_rx_threshold_v,tx_rmse_v,tx_maxabs_v,tx_active_rmse_v,tx_active_maxabs_v,rx_rmse_v,rx_maxabs_v,rx_active_rmse_v,rx_active_maxabs_v,ngspice_input_backdrive_flag,hspice_tx_rise50_ns,hspice_rx_rise50_ns,hspice_tx_fall50_ns,hspice_rx_fall50_ns,hspice_rx_minus_tx_rise50_ps,hspice_rx_minus_tx_fall50_ps,ngspice_tx_rise50_ns,ngspice_rx_rise50_ns,ngspice_tx_fall50_ns,ngspice_rx_fall50_ns,ngspice_rx_minus_tx_rise50_ps,ngspice_rx_minus_tx_fall50_ps,tx_rise50_delta_ps,rx_rise50_delta_ps,tx_fall50_delta_ps,rx_fall50_delta_ps,rx_minus_tx_rise50_ps_delta_ps,rx_minus_tx_fall50_ps_delta_ps,case_class,case_reason,plot
audit_amp1p5_edge5_r50,results/sparam_cisco_native_hspice_2026-06-08/Ch10_35_5F3N_t_long/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_cisco_delay_reduced_2026-06-08/Ch10_35_5F3N_t/trim_sweep/trim_m80ps/ngspice/audit_amp1p5_edge5_r50.raw,35.0,35.0,-0.05970446,0.8464823,0.0,0.75,-5.664177e-78,0.6691638,0.0,0.6585156242526765,-2.018925e-78,0.7940703,0.39703515,-4.270876e-80,0.6340131,0.31700655,0.01941701122215876,0.08273084866664715,0.025181974191753016,0.08273084866664715,0.017815209628157753,0.15840368438524088,0.027994219355632736,0.15840368438524088,False,1.0035588068822232,15.076442909642719,9.003508331737706,23.111052093092773,14072.884102760494,14107.543761355068,1.002646901,15.069339145827588,9.002353099,23.09829065934635,14066.692244827587,14095.93756034635,-0.9119058822231185,-7.103763815131003,-1.1552327377053473,-12.761433746423023,-6.191857932906714,-11.606201008717107,FAIL,rx_active_rmse;rx_active_maxabs,results/sparam_cisco_delay_reduced_2026-06-08/Ch10_35_5F3N_t/trim_sweep/trim_m80ps/comparison/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png
audit_amp1p5_edge50_r50,results/sparam_cisco_native_hspice_2026-06-08/Ch10_35_5F3N_t_long/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_cisco_delay_reduced_2026-06-08/Ch10_35_5F3N_t/trim_sweep/trim_m80ps/ngspice/audit_amp1p5_edge50_r50.raw,35.0,35.0,-0.0560304,0.8259677,-2.086786677362563e-17,0.75,-5.664177e-78,0.6690949,0.0,0.6585156241759728,-2.018925e-78,0.7907239,0.39536195,-4.270876e-80,0.6393827,0.31969135,0.019066267550357,0.07058966688674984,0.024733184609186255,0.07058966688674984,0.017367980175979427,0.12979882719474914,0.027297987327964752,0.12979882719474914,False,1.025425132625831,15.10442731861615,9.024508307360632,23.133206704904044,14079.002185990319,14108.698397543412,1.0263574633333334,15.095192083628111,9.023642536666667,23.117922809437005,14068.834620294778,14094.280272770337,0.9323307075024267,-9.235234988038243,-0.8657706939647625,-15.283895467039343,-10.16756569554127,-14.41812477307576,FAIL,rx_active_rmse;rx_active_maxabs,results/sparam_cisco_delay_reduced_2026-06-08/Ch10_35_5F3N_t/trim_sweep/trim_m80ps/comparison/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png
audit_amp1p5_edge500_r50,results/sparam_cisco_native_hspice_2026-06-08/Ch10_35_5F3N_t_long/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_cisco_delay_reduced_2026-06-08/Ch10_35_5F3N_t/trim_sweep/trim_m80ps/ngspice/audit_amp1p5_edge500_r50.raw,35.0,35.0,-0.01411816,0.7855317,-5.551115123125538e-17,0.75,-5.664177e-78,0.6688653,0.0,0.6585156232648325,-2.018925e-78,0.76157165,0.380785825,-4.270876e-80,0.6503462,0.3251731,0.017917309457362546,0.051266242918737326,0.023203975398537795,0.051266242918737326,0.01392450955318147,0.04395436112191929,0.02151225908418441,0.04395436112191929,False,1.261033894754836,15.375842483156461,9.264485046346424,23.389682894995364,14114.808588401625,14125.19784864894,1.2538572166666664,15.352635663996427,9.246142783333335,23.362356540868117,14098.778447329762,14116.213757534782,-7.176678088169686,-23.206819160034087,-18.342263013089166,-27.326354127247043,-16.03014107186391,-8.984091114158218,FAIL,rx_active_rmse;rx_fall_delta,results/sparam_cisco_delay_reduced_2026-06-08/Ch10_35_5F3N_t/trim_sweep/trim_m80ps/comparison/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png
