touchstone,selected_strength,pass_count,case_count,mean_rx_rmse_mV,max_rx_rmse_mV,max_rx_maxabs_mV,mean_tx_rmse_mV,max_abs_rx_edge_delta_ps,selected_overview
Clarity_example.S2P,0.25,2,3,9.408,14.528,98.146,11.821,262.307,results/sparam_s2p_reduced_2026-06-09/Clarity_example/selected_overview.png
ch_model_fit.s2p,1.0,2,3,16.582,22.827,127.942,6.324,20.105,results/sparam_s2p_reduced_2026-06-09/ch_model_fit/selected_overview.png
