channel_id,source,path,relative_path,bytes,ports_from_suffix,status,ports,points,f_min_hz,f_max_hz,z0_summary,supported_v1
hfss_threeport_DB_50Ohm_99c02b0b,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_DB_50Ohm.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_DB_50Ohm.s3p,283234,3,unsupported_v1,3,451,2900000000.0,7500000000.0,50;50;50;50;50;50;50;50...,False
hfss_threeport_MA_d210ca84,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_MA.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_MA.s3p,282655,3,unsupported_v1,3,451,2900000000.0,7500000000.0,526.441;526.441;526.441;524.691;524.691;524.691;522.976;522.977...,False
hfss_threeport_MA_50Ohm_e018cd18,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_MA_50Ohm.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_MA_50Ohm.s3p,282924,3,unsupported_v1,3,451,2900000000.0,7500000000.0,50;50;50;50;50;50;50;50...,False
hfss_threeport_MA_without_gamma_z0_50Ohm_4b322514,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_MA_without_gamma_z0_50Ohm.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_MA_without_gamma_z0_50Ohm.s3p,168370,3,unsupported_v1,3,451,2900000000.0,7500000000.0,50;50;50;50;50;50;50;50...,False
hfss_twoport_e975fe9f,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_twoport.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_twoport.s2p,35410,2,ok,2,101,75000000000.0,110000000000.0,49.688-0.112098j;49.6265-0.112974j;49.6838-0.111842j;49.6213-0.112779j;49.6797-0.111589j;49.6162-0.112581j;49.6757-0.111338j;49.6113-0.11238j...,True
LFCN-2352__Plus125degC_4793e65c,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\LFCN-2352+_Plus125degC.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/LFCN-2352+_Plus125degC.s2p,269139,2,ok,2,2006,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
LFCN-2352__Plus25degC_d04142bc,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\LFCN-2352+_Plus25degC.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/LFCN-2352+_Plus25degC.s2p,269138,2,ok,2,2006,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
short_10ps_10g_40g_65ed3613,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\metas_tdr\short_10ps_10g_40g.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/metas_tdr/short_10ps_10g_40g.s1p,300,1,unsupported_v1,1,4,10000000000.0,40000000000.0,50;50;50;50,False
short_10ps_10g_50g_3b6f6380,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\metas_tdr\short_10ps_10g_50g.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/metas_tdr/short_10ps_10g_50g.s1p,336,1,unsupported_v1,1,5,10000000000.0,50000000000.0,50;50;50;50;50,False
short_10ps_dc_40g_6b7a1061,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\metas_tdr\short_10ps_dc_40g.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/metas_tdr/short_10ps_dc_40g.s1p,313,1,unsupported_v1,1,5,0.0,40000000000.0,50;50;50;50;50,False
