time_ns,hspice_pad_v,ngspice_pybis_pad_v_interp,hspice_ku,ngspice_pybis_ku_interp,hspice_kd,ngspice_pybis_kd_interp
0.0,1.370752e-09,1.522407514265419e-06,0.0,0.0,1.0,1.0
0.001,1.370752e-09,1.522380540118513e-06,0.0,0.0,1.0,1.0
0.002,1.370752e-09,1.522356280426671e-06,0.0,0.0,1.0,1.0
0.0052,1.370752e-09,1.5224879637656427e-06,0.0,0.0,1.0,1.0
0.01544,1.370752e-09,1.523013775610809e-06,0.0,0.0,1.0,1.0
0.048208,1.370752e-09,1.5241580023137013e-06,0.0,0.0,1.0,1.0
0.1530656,1.370752e-09,1.5253187241350005e-06,0.0,0.0,1.0,1.0
0.4886099,1.370752e-09,1.525507736433049e-06,0.0,0.0,1.0,1.0
1.562352,1.370752e-09,1.525508089194469e-06,0.0,0.0,1.0,1.0
2.762352,1.370752e-09,1.525508089194469e-06,0.0,0.0,1.0,1.0
3.0,1.370752e-09,1.52545614017346e-06,0.0,0.0,1.0,1.0
3.000051,1.370752e-09,1.5254532274871986e-06,0.0,0.0,1.0,1.0
3.000216,1.370752e-09,1.5254451659785802e-06,0.0,0.0,1.0,1.0
3.000342,1.370752e-09,1.5254399338381266e-06,0.0,0.0,1.0,1.0
3.000545,5.94152e-07,1.525433065817985e-06,0.0002589043,0.0,0.9997547,1.0
3.001,2.907422e-06,1.525414337995449e-06,0.0006440249,0.0,0.9993831,1.0
3.001035,3.172564e-06,1.525412655953588e-06,0.0006736487,0.0,0.9993545,1.0
3.001045,3.24929e-06,1.5254121753701992e-06,0.0006821155,0.0,0.9993464,1.0
3.001077,3.499652e-06,1.5254107542293751e-06,0.0007092092,0.0,0.9993202,1.0
3.001179,4.365793e-06,1.525407553143676e-06,0.000795909,0.0,0.9992366,1.0
3.001507,7.800637e-06,1.5253808344232744e-06,0.001073349,0.0,0.9989689,1.0
3.002556,2.551078e-05,1.5253213143179743e-06,0.001961155,0.0,0.9981123,1.0
3.0059109999999998,0.0001486883,1.525291274934112e-06,0.004802136,0.0,0.9953712,1.0
3.016649,0.0006186296,0.0002406086873840042,0.004185237,0.0036659257314176174,0.9963915,0.9978410120177759
3.026893,0.0008399005,0.00048406789280193294,0.002036787,0.002151850685167402,1.000572,1.000828351268622
3.0395790000000003,0.0008939768,0.0006239750803374586,0.001585309,0.001796573096125646,1.000122,1.001746939880629
3.055367,0.0008891646,0.0007066897891016083,0.001311186,0.001431792661916902,0.999148,1.000682083824213
3.074487,0.0008310368,0.0007221509853256972,0.0009981774,0.001068514463743406,0.9996753,1.000871199262528
3.1078200000000002,0.0006906097,0.0006412135337292127,0.0007763174,0.000841687617717839,0.9996742,1.003005173361199
3.141153,0.0005500472,0.0005584795485639477,0.0005324155,0.0006962313809291595,0.9994714,1.0023635507183957
3.174487,0.0004175109,0.0004784976102782678,0.0003667746,0.0005782714005874049,0.9993337,1.0018432169327642
3.2078200000000003,0.0003134471,0.00040090364219459154,0.0002916104,0.00046537873610293,0.9992712,1.001345235606293
3.2411529999999997,0.0002455674,0.00032448416606945164,0.0002738204,0.00031992249931429633,0.9992565,1.0007036129634899
3.2744869999999997,0.0001963744,0.0002478194368087961,0.0001968353,0.0002019625189724958,0.9991925,1.000183279177858
3.30782,1.82078e-05,0.00014054728168638543,-0.0007848002,-0.0003320138527489608,0.9994464,1.001069605295014
3.341153,-0.0002884965,-0.000285670367064359,-0.001292281,-0.0013118842785138356,1.000851,1.0038432605622882
3.374487,-0.0005757853,-0.0005550311474300666,-0.001677444,-0.001580444702558721,0.9995753,1.00249708023874
3.40782,-0.0008480752,-0.0007774211600322151,-0.002150209,-0.001837468328348093,0.9991818,1.001208729027071
3.441153,-0.001049181,-0.0009720780941366733,-0.002097503,-0.0020989762414695967,1.002254,1.0027561738052686
3.474487,-0.001189221,-0.0011417445805305528,-0.002399813,-0.0023949332850862984,0.9999454,1.002319839993997
3.50782,-0.001346311,-0.001322196162042863,-0.002682884,-0.002687111912426112,0.9997096,1.001585172474265
3.541153,-0.001513872,-0.001508427088130938,-0.002998748,-0.0030635686449955136,0.9994465,1.0006385921698768
3.574487,-0.00171076,-0.0017004341504533776,-0.003450238,-0.0033857861141041445,1.000307,1.001476966240111
3.6078200000000002,-0.001953613,-0.0019256151480139575,-0.003979435,-0.003852216929659841,0.9996009,1.002209792711465
3.641153,-0.002226227,-0.002182781029773803,-0.00447049,-0.004423480251664493,0.9996016,1.0017494783761995
3.674487,-0.002516633,-0.0025176332075783066,-0.005017707,-0.005358074359232158,0.9997071,1.002296951167092
3.7078200000000003,-0.002981038,-0.0029900947762019356,-0.006662972,-0.006340917578243659,1.001508,1.002239302270365
3.741153,-0.003646045,-0.0035819318075363212,-0.007972786,-0.007942483755968234,0.9997481,1.001702777272865
3.774487,-0.004531701,-0.004434808856303534,-0.01042978,-0.01011672409873315,1.000841,1.001488671667182
3.80782,-0.005657307,-0.005490102719570887,-0.01263714,-0.012043282893164836,1.003373,1.00317837719362
3.8411530000000003,-0.007379307,-0.007205401355525943,-0.01836958,-0.017970752253541167,1.001717,1.0020728156749819
3.8744870000000002,-0.009755916,-0.00944511981287634,-0.02295883,-0.02221839669661425,1.000784,1.002364713182271
3.90782,-0.01111205,-0.01104849484480688,-0.01928055,-0.019857355422078452,1.005403,1.006158578486278
3.9411530000000004,-0.01086655,-0.010913654636794907,-0.01635722,-0.01645661257912412,1.00162,1.0023702668676717
3.971165,-0.00998461,-0.010104270064838756,-0.0134552,-0.013605029322323688,1.001426,1.0024808251381951
4.003259,-0.008636794,-0.008820144162977626,-0.01038685,-0.010777250662499117,1.001163,1.0026099676126676
4.036593,-0.006597795,-0.0070011628753673455,-0.004410806,-0.005524793318554183,1.004256,1.004371939544411
4.069926,-0.003769197,-0.00427871804383926,0.00195172,5.954498547758432e-05,1.002902,1.0036910425281633
4.103259,-0.000480191,-0.0010196167673688133,0.008314607,0.007672927067281115,1.001993,1.0027985385188436
4.136593,0.003223578,0.0026225793029551535,0.01582234,0.014368470122939568,1.001876,1.002558599151629
4.169926,0.007284347,0.006594793028237637,0.02308562,0.020865554827794862,1.002131,1.0032348464928935
4.203259,0.01150302,0.010786259830704638,0.03035523,0.02953077356315956,0.9997181,1.000975466838483
4.236593,0.01580976,0.015062850287961917,0.0376386,0.0360842603088044,0.9992601,1.000174018449462
4.269926,0.02015846,0.01935740506012291,0.04487157,0.042564611520541494,0.9980251,0.999042624069309
