channel_id,source,source_family,validation_split,channel_path,relative_path,ports,points,f_min_hz,f_max_hz,inventory_dominant_path,max_low_freq_start_hz,low_freq_coverage_ok,low_freq_coverage_ratio,min_frequency_points,frequency_point_count_ok,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,selected_candidate,status,independent_trust_class,reason
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,,no_candidate_passed,FAIL,no candidate passed independent qualification gates
Ch10_35_5F3N_f2_f23c49e2,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6203501152758982,45563387500.0,True,,no_candidate_passed,FAIL,no candidate passed independent qualification gates
