time_ns,input_v,ku,kd,pad_v
0.0,0.0,0.0,1.0,1.370752e-09
0.001,0.0,0.0,1.0,1.370752e-09
0.002,0.0,0.0,1.0,1.370752e-09
0.0052,0.0,0.0,1.0,1.370752e-09
0.01544,0.0,0.0,1.0,1.370752e-09
0.048208,0.0,0.0,1.0,1.370752e-09
0.1530656,0.0,0.0,1.0,1.370752e-09
0.4886099,0.0,0.0,1.0,1.370752e-09
1.1386100000000001,0.0,0.0,1.0,1.370752e-09
1.78861,0.0,0.0,1.0,1.370752e-09
2.43861,0.0,0.0,1.0,1.370752e-09
3.08861,0.0,0.0,1.0,1.370752e-09
3.73861,0.0,0.0,1.0,1.370752e-09
4.38861,0.0,0.0,1.0,1.370752e-09
5.0,0.0,0.0,1.0,1.370752e-09
5.000051,0.16830000000002052,0.0,1.0,1.370752e-09
5.000216,0.712799999999742,0.0,1.0,1.370752e-09
5.000342,1.128599999999103,0.0,1.0,1.370752e-09
5.000545,1.7984999999987248,0.0002589043,0.9997547,5.94152e-07
5.001,3.3,0.0006440249,0.9993831,2.907422e-06
5.001035,3.3,0.0006736487,0.9993545,3.172564e-06
5.0010449999999995,3.3,0.0006821155,0.9993464,3.24929e-06
5.001077,3.3,0.0007092092,0.9993202,3.499652e-06
5.0011790000000005,3.3,0.000795909,0.9992366,4.365793e-06
5.001507,3.3,0.001073349,0.9989689,7.800637e-06
5.002556,3.3,0.001961155,0.9981123,2.551078e-05
5.005911,3.3,0.004802136,0.9953712,0.0001486883
5.016649,3.3,0.004185237,0.9963915,0.0006186296
5.026893,3.3,0.002036787,1.000572,0.0008399005
5.039579,3.3,0.001585309,1.000122,0.0008939768
5.055367,3.3,0.001311186,0.999148,0.0008891646
5.074487,3.3,0.0009981774,0.9996753,0.0008310368
5.10782,3.3,0.0007763174,0.9996742,0.0006906097
5.141153,3.3,0.0005324155,0.9994714,0.0005500472
5.174487,3.3,0.0003667746,0.9993337,0.0004175109
5.20782,3.3,0.0002916104,0.9992712,0.0003134471
5.241153000000001,3.3,0.0002738204,0.9992565,0.0002455674
5.274487000000001,3.3,0.0001968353,0.9991925,0.0001963744
5.3078199999999995,3.3,-0.0007848002,0.9994464,1.82078e-05
5.341152999999999,3.3,-0.001292281,1.000851,-0.0002884965
5.374487,3.3,-0.001677444,0.9995753,-0.0005757853
5.40782,3.3,-0.002150209,0.9991818,-0.0008480752
5.441153,3.3,-0.002097503,1.002254,-0.001049181
5.474487,3.3,-0.002399813,0.9999454,-0.001189221
5.50782,3.3,-0.002682884,0.9997096,-0.001346311
5.5411529999999996,3.3,-0.002998748,0.9994465,-0.001513872
5.5744869999999995,3.3,-0.003450238,1.000307,-0.00171076
5.60782,3.3,-0.003979435,0.9996009,-0.001953613
5.641153,3.3,-0.00447049,0.9996016,-0.002226227
5.674487,3.3,-0.005017707,0.9997071,-0.002516633
5.70782,3.3,-0.006662972,1.001508,-0.002981038
5.741153,3.3,-0.007972786,0.9997481,-0.003646045
5.774487,3.3,-0.01042978,1.000841,-0.004531701
5.80782,3.3,-0.01263714,1.003373,-0.005657307
5.841153,3.3,-0.01836958,1.001717,-0.007379307
5.874487,3.3,-0.02295883,1.000784,-0.009755916
5.90782,3.3,-0.01928055,1.005403,-0.01111205
5.941153,3.3,-0.01635722,1.00162,-0.01086655
5.971165,3.3,-0.0134552,1.001426,-0.00998461
6.0,3.3,-0.01070855,1.001685,-0.008784821
6.000125,2.887500000001099,-0.01069621,1.001665,-0.008779094
6.000247,2.4849000000006476,-0.01068419,1.001646,-0.008773514
6.000636,1.201200000000434,-0.01064574,1.001583,-0.008755636
6.001,0.0,-0.01060985,1.001525,-0.008738923
6.0010200000000005,0.0,-0.01060791,1.001522,-0.008738017
6.00103,0.0,-0.01060692,1.00152,-0.008737557
6.0010390000000005,0.0,-0.01060596,1.001519,-0.00873711
6.001055,0.0,-0.01060443,1.001516,-0.008736396
6.001105,0.0,-0.01059953,1.001508,-0.008734111
6.001263,0.0,-0.01058385,1.001483,-0.008726795
6.001772,0.0,-0.01053367,1.001401,-0.008703344
6.003399,0.0,-0.01037309,1.001141,-0.00862792
6.008605,0.0,-0.009985735,1.001073,-0.008386191
6.02251,0.0,-0.007751093,1.00288,-0.007660603
6.040121,0.0,-0.003752435,1.002723,-0.006443488
6.061186,0.0,0.0001412773,1.002415,-0.004649548
6.09289,0.0,0.006347033,1.001825,-0.001597687
6.1262229999999995,0.0,0.01356688,1.00241,0.002034736
6.1595569999999995,0.0,0.02079691,1.00205,0.006008673
6.19289,0.0,0.02811192,1.001057,0.01018134
6.226223,0.0,0.03538958,1.000262,0.01446684
6.259557,0.0,0.04259086,0.9984371,0.01879971
6.29289,0.0,0.04985126,0.994725,0.02316819
6.326223,0.0,0.05708872,0.991568,0.0275724
6.359557,0.0,0.06269075,0.9817317,0.03179702
6.367281999999999,0.0,0.06334757,0.9799863,0.03269868
6.371482,0.0,0.06392056,0.9787217,0.03316738
6.372482,0.0,0.06186243,-0.05545606,0.03348021
6.3726840000000005,0.0,0.06144675,-0.05549572,0.03358367
6.372771,0.0,0.0612688,-0.0555127,0.03362763
6.373,0.0,0.06079569,-0.05555784,0.03374358
6.373736,0.0,0.05928175,-0.05570228,0.03410536
6.3760900000000005,0.0,0.0564334,-0.05640804,0.03519584
6.380701,0.0,0.06921687,-0.06003114,0.03755216
6.386647,0.0,0.07455821,-0.06318683,0.04111302
6.391635,0.0,0.07179186,-0.06277611,0.04408728
6.39517,0.0,0.06867726,-0.06155681,0.04602811
6.405914999999999,0.0,0.05822174,-0.05374314,0.05087097
6.419970999999999,0.0,0.04980497,-0.05077822,0.05529389
6.432953,0.0,0.04031456,-0.04856667,0.05778707
6.452465,0.0,0.03586581,-0.04582754,0.05971566
6.470947,0.0,0.03761581,-0.04352728,0.06105387
6.490946999999999,0.0,0.02915346,-0.04023789,0.06159213
6.510206,0.0,0.01923826,-0.03756976,0.06011494
6.530206,0.0,0.002286508,-0.03409679,0.05582691
6.550206,0.0,-0.0009510471,-0.02921314,0.04979685
6.568629,0.0,-0.01006386,-0.02573765,0.04356904
6.58737,0.0,-0.01947714,-0.02239958,0.0359991
6.594083,0.0,-0.0190759,-0.02111567,0.03314565
6.615565,0.0,0.008588531,-0.01850661,0.02793273
6.61999,0.0,0.008716316,-0.01333944,0.02762288
