time_ns,input_v,pad_v
0.0,0.0,6.234929e-09
0.001,0.0,6.234913e-09
0.002,0.0,6.234897e-09
0.0052,0.0,6.234849e-09
0.01544,0.0,6.234734e-09
0.048208,0.0,6.234607e-09
0.1530656,0.0,6.23478e-09
0.4886099,0.0,6.234997e-09
1.1386100000000001,0.0,6.23488e-09
1.78861,0.0,6.234965e-09
2.43861,0.0,6.234903e-09
3.08861,0.0,6.234949e-09
3.73861,0.0,6.234914e-09
4.38861,0.0,6.234941e-09
5.0,0.0,6.23492e-09
5.00015,0.494999999998681,0.007837734
5.000592,1.9535999999998357,0.02916862
5.000693999999999,2.2901999999969456,0.03321825
5.000799,2.6366999999983673,0.03677278
5.001,3.3,0.04258261
5.001028,3.3,0.0424303
5.001038,3.3,0.04237746
5.00107,3.3,0.04221213
5.0011730000000005,3.3,0.04172927
5.001436,3.3,0.04073833
5.0017629999999995,3.3,0.0398469
5.002149,3.3,0.03905914
5.002583,3.3,0.03833608
5.003125000000001,3.3,0.0375374
5.003835,3.3,0.03656535
5.004824999999999,3.3,0.03527108
5.006359,3.3,0.03337373
5.0091589999999995,3.3,0.03020691
5.010193999999999,3.3,0.0291262
5.011022,3.3,0.02829373
5.011685,3.3,0.02767265
5.012347,3.3,0.0271097
5.012561,3.3,0.02693472
5.0130170000000005,3.3,0.02657061
5.013449,3.3,0.02622622
5.014617,3.3,0.02530715
5.016206,3.3,0.02406907
5.018851,3.3,0.02202444
5.0226750000000004,3.3,0.01917932
5.025499,3.3,0.01720577
5.028411,3.3,0.01530419
5.031967,3.3,0.01316753
5.036506,3.3,0.01073114
5.042053999999999,3.3,0.00815914
5.048698,3.3,0.005593549
5.056733,3.3,0.003110375
5.066858,3.3,0.000735045
5.08045,3.3,-0.00163258
5.099427,3.3,-0.003728101
5.105296999999999,3.3,-0.004189119
5.124079,3.3,-0.005432101
5.142404,3.3,-0.006304021
5.158621,3.3,-0.006779344
5.178433,3.3,-0.007095173
5.209539,3.3,-0.007289807
5.214691,3.3,-0.007296671
5.224788,3.3,-0.007313151
5.257096000000001,3.3,-0.00733774
5.2841949999999995,3.3,-0.00736139
5.301042,3.3,-0.0074973
5.313323,3.3,-0.007797051
5.321141000000001,3.3,-0.008165572
5.34616,3.3,-0.01018183
5.368388,3.3,-0.0120264
5.394329,3.3,-0.01310679
5.417536,3.3,-0.01310574
5.423757,3.3,-0.01295519
5.433824,3.3,-0.01265459
5.460640000000001,3.3,-0.01138288
5.485939,3.3,-0.009753306
5.520372,3.3,-0.007197847
5.555278,3.3,-0.00434902
5.585997,3.3,-0.001704597
5.618841000000001,3.3,0.001046983
5.6509480000000005,3.3,0.003534749
5.674644,3.3,0.005321721
5.699184,3.3,0.007045887
5.718424,3.3,0.007743718
5.734266,3.3,0.007554792
5.737415,3.3,0.007445596
5.7418830000000005,3.3,0.007275021
5.756182,3.3,0.006760771
5.771776,3.3,0.006409992
5.777786,3.3,0.006434549
5.797019,3.3,0.007235246
5.816933000000001,3.3,0.00914584
5.8349,3.3,0.01164087
5.853887,3.3,0.01487915
5.875918,3.3,0.01921774
5.902944000000001,3.3,0.02518559
5.935507,3.3,0.03315466
5.97697,3.3,0.04450695
6.0,3.3,0.05146587
6.000031,3.1977000000003897,0.05070403
6.000053,3.125099999999059,0.0501848
6.000104,2.9567999999990384,0.04893288
6.000145,2.8215000000006887,0.0473894
6.000244,2.4947999999990973,0.03974777
6.000364,2.0987999999995663,0.03028805
6.000469,1.7523000000010756,0.02228348
6.000566,1.4322000000004045,0.01501976
6.000668,1.0956000000003634,0.007414308
6.000856,0.4752000000017822,-0.007279877
6.000913,0.2871000000019315,-0.01204095
6.00097,0.0990000000020812,-0.01679064
6.001,0.0,-0.01927579
6.001012,0.0,-0.01918729
6.001022,0.0,-0.0191144
6.001054,0.0,-0.01888703
6.001156,0.0,-0.01822546
6.001366,0.0,-0.01708628
6.001599000000001,0.0,-0.01601105
6.001876,0.0,-0.01484204
6.002149,0.0,-0.01372037
6.002556,0.0,-0.01203473
6.003107,0.0,-0.009613457
6.003436,0.0,-0.008053699
6.003757,0.0,-0.006509015
6.004649,0.0,-0.0020246
6.004998,0.0,-0.0001913271
6.005764,0.0,0.003540937
6.006552,0.0,0.007368729
6.00719,0.0,0.01044858
6.008902,0.0,0.01858286
6.012816,0.0,0.0362592
6.01686,0.0,0.05283608
6.020968000000001,0.0,0.0676943
6.024847,0.0,0.07986557
