channel_name,return_code,out_dir,baseline_comparison_rows,baseline_pass_count,baseline_max_rx_active_rmse_v,baseline_mean_rx_active_rmse_v,baseline_max_rx_active_maxabs_v,baseline_mean_rx_active_maxabs_v,baseline_max_tx_active_rmse_v,baseline_mean_tx_active_rmse_v,baseline_max_tx_active_maxabs_v,baseline_mean_tx_active_maxabs_v,baseline_max_rx_rise50_delta_ps,baseline_mean_rx_rise50_delta_ps,baseline_max_rx_fall50_delta_ps,baseline_mean_rx_fall50_delta_ps,baseline_all_pass,s11_comparison_rows,s11_pass_count,s11_max_rx_active_rmse_v,s11_mean_rx_active_rmse_v,s11_max_rx_active_maxabs_v,s11_mean_rx_active_maxabs_v,s11_max_tx_active_rmse_v,s11_mean_tx_active_rmse_v,s11_max_tx_active_maxabs_v,s11_mean_tx_active_maxabs_v,s11_max_rx_rise50_delta_ps,s11_mean_rx_rise50_delta_ps,s11_max_rx_fall50_delta_ps,s11_mean_rx_fall50_delta_ps,s11_all_pass,status
Ch10_35_5F3N_t,0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_proto_2026-06-09\Ch10_35_5F3N_t,3,3,0.008022373470550709,0.007836280311800009,0.032624713416366524,0.024871294830894713,0.025181974191753016,0.02437304473315902,0.08273084866664715,0.0681955861573781,4.631581802820861,-0.4747872346679098,11.421606682223029,-5.201756989496431,True,3,3,0.014064725833910855,0.013760423820100875,0.02762647018795955,0.02631808812272572,0.016640430570296162,0.015264347361731592,0.08524308830986838,0.0630399110432713,11.217842200418104,6.904785304149878,11.392997804239968,-6.055326778495147,True,pass
Ch1_10_5F3N_t,0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_proto_2026-06-09\Ch1_10_5F3N_t,3,3,0.012810010014528087,0.012462998674209117,0.045376624350886074,0.03728642031809893,0.039087743339855735,0.03793896617133281,0.08305957222979743,0.07696564147543432,5.538057573178712,-2.9533406543856464,4.336386598041031,2.2222226845460824,True,3,0,0.022477297332959025,0.022053519321220322,0.0491790226257493,0.04349215851723421,0.025416653785605585,0.023702138614628984,0.07661392257078081,0.062421568194218034,3.0801516488185854,0.8959178826935718,12.094218356525133,-0.440708177330625,False,needs_review
Ch3_17_5F3N_t,0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_proto_2026-06-09\Ch3_17_5F3N_t,3,3,0.006522874740747143,0.006329287957251088,0.026550691647070343,0.023661931271724,0.038398438747692575,0.03764924080351729,0.08507880841267379,0.0831834377743536,5.1181572116707486,4.215889899572704,9.826780526369205,7.127229080477804,True,3,3,0.014265995467482324,0.01397899010030895,0.05275214720332557,0.04684216982193214,0.024203135984367432,0.023129838889814736,0.07021243262986387,0.06420694397853678,4.045633972808105,1.6826994042116183,11.895930588771364,-4.50020243190193,True,pass
Ch4_20_5F3N_t,0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_proto_2026-06-09\Ch4_20_5F3N_t,3,3,0.009481138097767365,0.008050175798208664,0.04243523891801715,0.035139016032441704,0.02465434135275521,0.02221290812550535,0.11771776871934025,0.08478526599685395,18.603786226812247,6.70207977472496,13.809149082245398,9.910764353797674,True,3,3,0.012268733925654732,0.0111794912085703,0.04307349745073881,0.03652425574354388,0.021927426464242953,0.019039664170928373,0.11277274996689846,0.07868326269910723,18.248703419997625,6.201243770498503,11.410165609483158,6.450693746245406,True,pass
Ch5_22_5F3N_t,0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_proto_2026-06-09\Ch5_22_5F3N_t,3,3,0.008019038633151352,0.007846557151370231,0.027190742206745416,0.019939096948469733,0.023875465560236814,0.023302784101564018,0.05404868151453161,0.05144659745607943,14.101444858485301,4.747328745517088,19.42208826906544,5.161180775938708,True,3,3,0.012899382184286426,0.01271253192081719,0.03100287824109635,0.02646903043887379,0.014858237870477527,0.014017464886492735,0.05574970846806304,0.04305414784693672,17.395885102876818,8.241102342954795,12.115815799541352,1.9928165745011956,True,pass
Ch7_28_5F3N_t,0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_proto_2026-06-09\Ch7_28_5F3N_t,3,3,0.012529987610080876,0.012418925106427267,0.027950180437444266,0.023187751486089286,0.023912561510609748,0.023786844983035692,0.05281455332758202,0.05089440009328198,11.951566771312372,4.7377742402587115,13.898050155557229,1.5925622100058472,True,3,3,0.011019690358942031,0.010569708369792999,0.03756883029395611,0.033157140524750946,0.01393680225624608,0.013547613702118934,0.03775626403700917,0.035832503305377454,16.162249506798787,8.75668932434633,12.056147274464024,-1.7068688162874917,True,pass
Ch8_30_5F3N_t,0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_proto_2026-06-09\Ch8_30_5F3N_t,3,3,0.007439127115533519,0.006080858407478508,0.05916945695874215,0.033151196630349496,0.031411243860564105,0.030444579097820113,0.08390183318834998,0.07735394598670692,13.374313635621249,5.728817627693061,15.37997036501082,-1.649579605384588,True,3,3,0.017036514734364915,0.016105173219992157,0.07415622923477513,0.054193997631745115,0.019546021895345773,0.018437593396687504,0.07255954096991568,0.06250140447077053,17.43149050869164,9.065849947226331,23.280384914130536,-12.335043229456963,True,pass
Ch9_33_5F3N_t,0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_proto_2026-06-09\Ch9_33_5F3N_t,3,3,0.0076963457399364795,0.0066608014073266586,0.052637471978495234,0.03391590627534114,0.029438445675346033,0.028808064438180986,0.0789397786098952,0.07031951841736833,20.25416510581657,-2.156624750272229,12.602513633481749,2.814887459624771,True,3,2,0.0156096627644283,0.015355374376100068,0.03690380856786797,0.03445773334773403,0.01917968030060309,0.01806390432677701,0.07420048244164879,0.059369398106917694,27.015454198531685,5.387711505001391,8.449868969535146,-1.5468059109965775,False,needs_review
