case,signal,bench,min_v,max_v,low_p2_v,high_p98_v,rise_50_delay_ns,fall_50_delay_ns,rise_fall_50_split_ns,rise_fall_50_split_ui
HSPICE native IBIS root .tr0,v(n10b),"PRBS11, native HSPICE IBIS, new 50ohm channel, Rterm=75",-1.498401,3.837542,-1.3005064000000002,3.6532937999999997,2.9581090476805025,3.6550839946436775,-0.696974946963175,-0.139394989392635
HSPICE native IBIS experiments .tr0,v(n10b),"PRBS11, native HSPICE IBIS, old ~76ohm channel, Rterm=85",-0.1404234,1.414309,-0.11382894,1.40700582,3.094210212002269,1.773894349237301,1.320315862764968,0.2640631725529936
ngspice refspice io_buf.sp,v(n10b),"PRBS7, io_buf.sp transistor-level, new 50ohm channel, Rterm=50",-0.02100403347120776,1.5165650946688731,-0.007517809138379027,1.5144118236134565,2.2811085858669773,0.9537126528613146,1.3273959330056626,0.2654791866011325
ngspice pybis clean,v(n10b),"PRBS7, pybis2spice, new 50ohm channel, Rterm=50",-0.008225306461753902,1.5404863042381678,-0.0026096605018505943,1.5301381602562203,2.937822852786865,1.5707563720500144,1.3670664807368504,0.2734132961473701
Xyce pybis clean,v(n10b),"PRBS7, Xyce relaxed pybis, new 50ohm channel, Rterm=50",-0.00697247978,1.54112716,-0.00250809117,1.50352887,2.9322047486862144,1.5682647662820306,1.3639399824041838,0.27278799648083674
