case_id,event_index,input_direction,input_50_ns,window_start_ns,window_end_ns,pad_hspice_50_ns,pad_ngspice_50_ns,pad_ng_minus_h_ps,pad_hspice_peak_v,pad_ngspice_peak_v,pad_peak_delta_v,coefficient,coefficient_direction,hspice_10pct_ns,ngspice_10pct_ns,ng_minus_h_10pct_ps,hspice_50pct_ns,ngspice_50pct_ns,ng_minus_h_50pct_ps,hspice_90pct_ns,ngspice_90pct_ns,ng_minus_h_90pct_ps,hspice_min,hspice_max,ngspice_min,ngspice_max,peak_delta,active_coeff_abs_error_mean,active_coeff_abs_error_max
edge_5ps_50r_2pf,1,rise,5.0024999999999995,4.5,8.004999999999999,7.218957960493555,7.226263489623291,7.305529129735255,1.208635,1.2004380034574387,-0.00819699654256123,kd,fall,6.904954514752916,6.909812266531826,4.85775177890968,6.629918402391087,6.63435794922475,4.4395468336633215,6.485772784066768,6.4892230151181645,3.450231051396635,0.007617933,1.003279,0.009361979919170746,1.0036907557361359,0.0017440469191707456,0.0033970934313429352,0.025642101920385185
edge_5ps_50r_2pf,1,rise,5.0024999999999995,4.5,8.004999999999999,7.218957960493555,7.226263489623291,7.305529129735255,1.208635,1.2004380034574387,-0.00819699654256123,ku,rise,6.684809904759029,6.695546440488832,10.736535729803265,7.2812944456841056,7.293762957891326,12.468512207220783,nan,nan,nan,-0.02154812,0.7783899,-0.02120163859584357,0.7716820931513186,-0.00670780684868133,0.002747321857548336,0.012841747412238202
edge_5ps_50r_2pf,2,fall,15.002500000000001,14.5,18.005000000000003,15.94130123794472,15.952352827684239,11.051589739519585,0.0008948579,0.0020896400853863753,0.0011947821853863752,ku,fall,15.97504639524923,15.985692413036817,10.64601778758778,15.747660178766745,15.764004877614937,16.344698848191896,15.514675271859113,15.514291420227117,-0.38385163199627925,-0.01951947,1.012991,-0.017116222731109968,1.0126562493260105,0.0024032472688900325,0.00589410703837926,0.14263204733440737
edge_5ps_50r_2pf,2,fall,15.002500000000001,14.5,18.005000000000003,15.94130123794472,15.952352827684239,11.051589739519585,0.0008948579,0.0020896400853863753,0.0011947821853863752,kd,rise,17.533044243774707,17.538179190604254,5.134946829546294,17.702781386655634,17.72521095844924,22.429571793605163,17.900755859695312,17.889988659885624,-10.767199809688321,-0.07213989,0.9562806,-0.07110608868596675,0.9521398695064154,-0.0041407304935846545,0.010603398018556602,0.1638195835456806
edge_50ps_50r_2pf,1,rise,5.025,4.5,8.05,7.233288747095453,7.249267997901166,15.97925080571283,1.218942,1.2068839486214045,-0.012058051378595502,kd,fall,6.9157093444621935,6.933310435852194,17.601091390000434,6.640049624451923,6.652013394372827,11.963769920903644,6.494615401458969,6.505234198104979,10.618796646010509,0.008457604,1.005397,0.009175224676068081,1.003891016735403,0.0007176206760680804,0.006499847102162531,0.0635021382228943
edge_50ps_50r_2pf,1,rise,5.025,4.5,8.05,7.233288747095453,7.249267997901166,15.97925080571283,1.218942,1.2068839486214045,-0.012058051378595502,ku,rise,6.693804724827025,6.705823325065981,12.018600238955734,7.291722549868893,7.310810104197444,19.087554328550915,nan,nan,nan,-0.02294829,0.7845336,-0.02120163859584364,0.7757544930092507,-0.008779106990749352,0.005156382266793052,0.022128047412237395
edge_50ps_50r_2pf,2,fall,15.025,14.5,18.05,15.984201246918518,15.970722622755474,-13.478624163044017,0.0007254059,0.0020707062894978054,0.0013453003894978053,ku,fall,16.018282292036783,16.010043470986183,-8.238821050600365,15.789130219015695,15.774232823433616,-14.897395582078587,15.556961641251858,15.544909626850822,-12.052014401035649,-0.01562464,1.01332,-0.01237531778847612,1.0108229305224667,0.0032493222115238807,0.0063700441757507465,0.05395810529992462
edge_50ps_50r_2pf,2,fall,15.025,14.5,18.05,15.984201246918518,15.970722622755474,-13.478624163044017,0.0007254059,0.0020707062894978054,0.0013453003894978053,kd,rise,17.57508101236725,17.55580012046153,-19.280891905719244,17.745311791042578,17.732784147300706,-12.527643741872652,17.942843008494435,17.928627229381963,-14.215779112472404,-0.07182711,0.9559969,-0.0720380631232586,0.9576056012917624,0.0016087012917623822,0.008789059104372663,0.06998250938355308
edge_500ps_50r_2pf,1,rise,5.25,4.5,8.5,7.391032739721238,7.489884191069108,98.85145134786998,1.345283,1.3123768741444675,-0.03290612585553254,kd,fall,7.023574213328432,7.119353858041579,95.77964471314715,6.749285982340065,6.847875310849067,98.58932850900182,6.603592215255982,6.690990360193517,87.39814493753516,0.005463439,1.005364,0.008283242923451093,1.0051717328587626,0.0028198039234510934,0.03601260063907527,0.2975744294185818
edge_500ps_50r_2pf,1,rise,5.25,4.5,8.5,7.391032739721238,7.489884191069108,98.85145134786998,1.345283,1.3123768741444675,-0.03290612585553254,ku,rise,6.804933072495491,6.905261400244706,100.32832774921552,7.400011248092792,7.500653248112573,100.6420000197812,nan,nan,nan,-0.02289438,0.8609515,-0.022635090177332645,0.8377789771249462,-0.02317252287505378,0.029067133428039883,0.12407380287656627
