case,flow,simulator,model,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,47,10->11,208.10044629180402,3626.935504999229,992.6145262160856
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,48,11->01,212.1004259813875,2361.628555521799,209.50490356014157
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,49,10->10,214.10044619744764,3597.754170443925,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,50,01->00,216.1004246840444,2293.2367610058873,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,51,00->10,222.10044787532937,3667.77820434992,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,52,01->00,224.1004247123073,2284.1905066644804,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,53,00->11,230.10044785191772,3668.9171012617776,953.1954429346126
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,54,11->00,234.1004257499546,2361.0006103645605,209.4884641594128
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,55,00->11,238.10044792022867,3665.2075748121056,946.1679843349078
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,56,11->01,242.10042579566715,2360.647181589405,208.13880157347836
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,57,10->10,244.10044621395394,3601.493863903695,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,58,01->01,246.10042474778626,2293.221665351355,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,59,10->10,248.10044607308203,3624.3640389055236,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,60,01->01,250.10042467300792,2288.253553412753,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,61,10->10,252.100446085073,3625.5838659771616,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,62,01->00,254.10042470862848,2288.108812500653,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,63,00->11,268.1004483812572,3667.8160518615487,953.3040137707304
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,64,11->01,280.1004258851082,2368.693959223531,203.7738655703594
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,65,10->11,282.1004461359266,3597.9777806983293,994.7493037187305
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,66,11->00,292.10042590689625,2368.6932282323505,203.8652280047056
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,67,00->11,296.1004483140045,3665.0335052432024,946.485320757692
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,68,11->01,304.1004259231265,2368.4758092661978,204.30604864199657
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,69,10->10,306.10044614650315,3597.924954904862,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,70,01->01,308.10042470875106,2293.8551675608624,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,71,10->11,310.1004460846479,3624.483812389179,1002.5554287305698
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,72,11->00,316.1004258893182,2365.390929233306,205.11087749328055
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,73,00->11,324.1004485347624,3668.0931774285705,950.6278049077918
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,74,11->01,328.10042577808923,2360.6060623227295,208.76087765888096
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,75,10->11,330.10044615088975,3600.8324360796196,996.0936835245503
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,76,11->01,336.10042580955553,2365.489724723013,204.76410034247272
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,77,10->10,338.10044620127115,3598.2319531060307,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,78,01->00,340.10042472550646,2294.0020367787142,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,79,00->11,344.1004482192235,3668.1590144734882,947.5785669437892
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,80,11->00,348.10042585820236,2360.433489889881,208.2170534711954
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,81,00->10,354.10044794616846,3667.4352450797637,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,82,01->01,356.10042468154325,2284.2900766623998,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,83,10->10,358.10044637506155,3628.339321563879,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,84,01->01,360.1004247139934,2290.7383118770877,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,85,10->11,362.1004459553922,3625.4561280930016,1004.8986115294672
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,86,11->00,366.10042588640613,2361.5483804938503,209.897274407358
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,87,00->10,376.1004476926809,3667.6867481493705,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,88,01->01,378.10042465115055,2284.378498817693,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,89,10->11,380.1004463224962,3626.8924449517426,989.8031359420492
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,90,11->00,388.1004258547933,2368.5943184005014,204.42622330846064
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,91,00->11,394.10044793881764,3667.1212876913173,955.8752111127931
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,0,11->01,26.100422541684498,2370.037924637278,207.10433115463772
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,1,10->11,28.10045097403479,3588.0794908658245,1006.661085546448
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,2,11->00,38.10042455583695,2369.7903173673767,205.94579441522848
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,3,00->11,42.10045065573899,3659.7799764602564,977.4596586210628
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,4,11->01,50.10042037554081,2369.8098855625663,206.67933553265675
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,5,10->10,52.100450730844734,3594.2847988769636,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,6,01->01,54.100414450805594,2293.3585327026613,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,7,10->11,56.10045069461804,3619.1848169638465,1011.7112014092345
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,8,11->00,62.1004063624997,2367.3377245070265,208.51036857413948
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,9,00->11,70.10045327909528,3672.5341926535802,961.1155826391415
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,10,11->01,74.10041324044619,2360.6385695566805,210.63260625917616
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,11,10->11,76.10045082181647,3593.927415773943,1007.0607175258808
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,12,11->01,82.1004218371034,2366.8043008892914,208.60376900530574
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,13,10->10,84.10045066376841,3594.8021532397843,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,14,01->00,86.10042707297418,2292.7646249014524,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,15,00->11,90.10045139255604,3662.45672657934,971.9421993483224
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,16,11->00,94.10042502354902,2361.7345168315715,212.27400136313096
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,17,00->10,100.10045104546091,3658.2272724416443,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,18,01->01,102.10042321618072,2282.867486872184,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,19,10->10,104.10045135433067,3621.9866981805185,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,20,01->01,106.10041636470122,2288.8905186071975,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,21,10->11,108.10045048354046,3615.397309662203,1030.7496575195364
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,22,11->00,112.10042541902315,2362.5699943493582,214.0430078961089
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,23,00->10,122.1004527042043,3659.8773283670903,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,24,01->01,124.10042549654452,2283.114466307663,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,25,10->11,126.10045100482326,3620.280212253498,1008.0080780485613
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,26,11->00,134.10041456392506,2368.3055511581247,205.52497515768115
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,27,00->11,140.10045329374952,3668.5491826260572,970.286156948581
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,28,11->01,146.10042268935064,2366.987362166026,206.03107913540498
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,29,10->11,148.100450817853,3590.577580853184,1008.8472916972956
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,30,11->01,152.1004238733792,2359.9546428466238,210.01427438242436
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,31,10->11,154.10045038162835,3591.1224175002512,1009.1198035302491
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,32,11->00,158.10042524838641,2362.5576595656967,214.09328486284238
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,33,00->10,162.1004528256851,3653.19605512179,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,34,01->00,164.1004194999816,2280.9279400538862,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,35,00->10,168.10045275257932,3659.387880666926,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,36,01->01,170.10042243819146,2283.2222166149445,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,37,10->10,172.1004506261069,3625.1935783537187,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,38,01->00,174.1004133173773,2288.6903471578717,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,39,00->10,178.10045292561438,3659.9827438987536,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,40,01->00,180.10040170593948,2282.8241225098873,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,41,00->10,188.10045122696278,3660.838429833159,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,42,01->00,190.10040964543649,2283.988861572882,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,43,00->11,194.10045147661225,3668.661418520163,967.1686796328848
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,44,11->00,200.10041399827375,2367.6450008093875,207.03947857184735
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,45,00->10,204.10045157124804,3655.8788086590166,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,46,01->01,206.10041294368295,2282.327080334552,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,47,10->11,208.1004510229813,3621.331155231241,1005.9363695607217
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,48,11->01,212.1004223481431,2360.1179486351352,209.19336892071098
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,49,10->10,214.1004518233117,3594.4663662925377,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,50,01->00,216.10040968199377,2291.339355597841,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,51,00->10,222.10045065775194,3658.6320693988737,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,52,01->00,224.10042176481733,2284.587075632241,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,53,00->11,230.10045209834155,3668.938687530388,971.8930743314021
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,54,11->00,234.10042540595637,2361.83956945038,213.76052463437424
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,55,00->11,238.1004529227004,3662.8238467613583,979.4477670920476
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,56,11->01,242.10042456156455,2360.8658884233087,212.78738259331914
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,57,10->10,244.10045067557317,3598.8865047791614,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,58,01->01,246.1004148392197,2292.27202491636,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,59,10->10,248.1004516207183,3619.206570193629,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,60,01->01,250.10041614866242,2287.1927953514246,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,61,10->10,252.10045073439045,3620.9147345592096,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,62,01->00,254.1004110965512,2286.859540290597,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,63,00->11,268.10045058321833,3671.754923853372,956.8976005267159
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,64,11->01,280.1004180100083,2367.399348905076,203.92237041126785
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,65,10->11,282.1004507516335,3590.6678865315016,1007.5411768720276
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,66,11->00,292.100419558186,2369.840115907766,205.9409440055831
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,67,00->11,296.10045293796503,3662.386039159015,979.3169949129419
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,68,11->01,304.10040662111567,2369.625519765784,206.08170140511174
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,69,10->10,306.1004511172244,3593.8713984258297,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,70,01->01,308.1004095783372,2292.9635090509764,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,71,10->11,310.10045080167527,3620.8596884631597,1013.2254389044479
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,72,11->00,316.10042313882917,2367.0206864806883,208.1408895506156
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,73,00->11,324.1004532613614,3665.873877223151,985.7989928591071
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,74,11->01,328.1003951357702,2360.1533654516256,210.86883957296791
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,75,10->11,330.10045078134715,3596.2001014195284,1007.2748177862677
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,76,11->01,336.1004031162369,2367.2842804756724,210.39378567549133
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,77,10->10,338.1004507086929,3594.1349401755574,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,78,01->00,340.1004160526236,2293.182238255655,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,79,00->11,344.100451329995,3663.8124038099663,972.5034659617862
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,80,11->00,348.10042523742277,2362.977186827333,214.8414694157708
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,81,00->10,354.1004537644383,3665.8293421158032,nan
