path,complex_rms,complex_max,mag_db_rms,mag_db_max,mag_db_max_above_m40,phase_rms_deg,phase_max_deg,original_mag_min_db,original_mag_max_db,fitted_mag_min_db,fitted_mag_max_db
all,0.007531207253565384,0.10481401407512277,2.2984212769107373,34.35020281899045,,,,,,,
S11,0.020021671699027088,0.10481401407512277,0.5019214369027379,4.300008529787618,4.300008529787618,3.378419533382886,24.06566759649786,-28.69384,-0.2290151000000003,-32.99384852978762,-0.14546443111134685
S12,0.0005158394832654902,0.0017242806019715012,2.0337090791400487,14.554967981983815,0.17780734244865926,12.881378903741835,108.88432829776193,-76.83523,-1.2159080000000004,-72.67236715435332,-1.225071152820585
S13,0.0014287681169421883,0.0034324180386685514,4.060916376483327,34.35020281899045,0.3298182112677388,303.938600659236,369.75255597825844,-86.87433999999999,-1.8103759999999989,-68.73086459329022,-1.7767640796042787
S14,0.0005170083899975358,0.004258037397706524,3.002134517948305,12.247093996205777,2.2188098655076516,328.0530790489515,394.32925967511613,-88.6722,-2.462128,-87.43947399620578,-2.4656713837915794
S21,0.00046492449367314243,0.0017546226000327769,2.7895741435142227,22.845527537436304,0.1723998624465537,356.62625239961994,401.0893859495259,-75.35726,-1.2215019999999985,-80.4604375374363,-1.2106923756751111
S22,0.018977563354489507,0.09370868178564953,0.2945785307362094,2.95430100615296,2.95430100615296,3.1376024133211713,37.30493990846122,-28.88446,-0.2278228999999995,-28.968426138037312,-0.13946172096271275
S23,0.00043354322686049626,0.0019030044517522981,0.8292606177148452,8.501384786361143,0.38449486998030125,5.397945551745084,53.05781226675629,-67.36522,-17.62303,-62.34450221428752,-17.72938669952775
S24,9.802499042849399e-05,0.00044020814791521814,3.1724019974538544,14.545217945938134,,334.8952217470352,407.2842384825685,-92.80604,-55.22901,-98.44672794593814,-55.867112006255226
S31,0.00041419741442030405,0.0014170294927873142,3.0180900785481373,33.79086130309255,0.11254874843295681,6.877643059486427,83.49015052968082,-92.78039,-1.8095189999999999,-70.77974891414087,-1.8102227130214565
S32,0.0002360106041397783,0.0005825795202280724,0.43247497130416723,1.744073534112914,0.3032852765091505,3.2089891389639686,20.58375180501855,-68.24176,-17.62013,-69.98583353411291,-17.60781392548647
S33,0.0077650675989802695,0.029545358638184586,0.0925298600742345,0.5948984343017933,0.5948984343017933,0.46168539965657907,1.948948008227319,-27.84665,-0.3562344000000013,-27.7304420497013,-0.2557607560216393
S34,0.00027643829890197164,0.0008545230051824243,0.7223198820485249,5.910228846287303,0.11018078042368273,3.8805787732380557,25.93848550719133,-63.93762000000001,-36.0953,-65.9862688462873,-36.09308109204248
S41,0.0006094282692360056,0.003681097155556381,3.512721686784481,16.514185466385186,1.9651711520407318,89.34087870458988,393.0684932338438,-90.39236,-2.4677870000000017,-86.96271472658665,-2.4658016154931404
S42,0.00014869697611857163,0.0005487378134978969,3.6963500409221997,19.797890326957628,,359.2058432337296,495.1703193769999,-100.5633,-55.45846,-92.36968635396813,-55.03628517590349
S43,0.00017727110780835228,0.0008336260683546223,0.3687497359452466,1.8099015741990385,0.20279808244995223,2.32941362916731,12.341652229109286,-64.16959,-36.09039,-65.08075629936761,-36.045863862084026
S44,0.00908166794941028,0.04961767606266077,0.21767604447698743,2.285392948064157,2.285392948064157,1.4261330301290671,12.973995820165555,-31.432390000000005,-0.22759919999999995,-33.71778294806416,-0.16378126850980262
