hspice_audit_class,channel_id,case,overlay_plot,hspice_audit_reason
WARN,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge5_r50,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge50_r50,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge500_r50,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
