channel_id,source,source_family,validation_split,channel_path,ports,selected_candidate,selected_candidate_family,selected_fit_source,selected_use_scope,independent_trust_class,independent_warn_reasons,rx_selected_candidate,rx_trust_class,rx_warn_reasons,reflection_selected_candidate,reflection_trust_class,reflection_warn_reasons,full_selected_candidate,full_model_trust_class,full_model_warn_reasons,case,hspice_return_code,hspice_tr0,hspice_lis,ngspice_raw,ngspice_log,ngspice_return_code,tx_rmse_v,tx_maxabs_v,rx_rmse_v,rx_maxabs_v,hspice_tx_low_v,hspice_tx_active_v,hspice_tx_threshold_v,hspice_rx_low_v,hspice_rx_active_v,hspice_rx_threshold_v,ngspice_tx_low_v,ngspice_tx_active_v,ngspice_tx_threshold_v,ngspice_rx_low_v,ngspice_rx_active_v,ngspice_rx_threshold_v,hspice_tx_swing_v,hspice_rx_swing_v,ngspice_tx_swing_v,ngspice_rx_swing_v,threshold_v,tx_active_rmse_v,tx_active_maxabs_v,rx_active_rmse_v,rx_active_maxabs_v,hspice_tx_rise_threshold_crossing_count,hspice_tx_fall_threshold_crossing_count,hspice_rx_rise_threshold_crossing_count,hspice_rx_fall_threshold_crossing_count,hspice_tx_rise50_ns,hspice_rx_rise50_ns,hspice_tx_fall50_ns,hspice_rx_fall50_ns,hspice_rx_minus_tx_rise50_ps,hspice_rx_minus_tx_fall50_ps,ngspice_tx_rise_threshold_crossing_count,ngspice_tx_fall_threshold_crossing_count,ngspice_rx_rise_threshold_crossing_count,ngspice_rx_fall_threshold_crossing_count,ngspice_tx_rise50_ns,ngspice_rx_rise50_ns,ngspice_tx_fall50_ns,ngspice_rx_fall50_ns,ngspice_rx_minus_tx_rise50_ps,ngspice_rx_minus_tx_fall50_ps,rx_minus_tx_rise50_ps_delta_ps,rx_minus_tx_fall50_ps_delta_ps,correlation_status,overlay_plot,hspice_threshold_delay_confidence,hspice_threshold_delay_confidence_reasons,hspice_audit_class,hspice_audit_reason,rx_hspice_audit_class,rx_hspice_audit_reason,reflection_hspice_audit_class,reflection_hspice_audit_reason,full_model_hspice_audit_class,full_model_hspice_audit_reason
Ch10_35_5F3N_f1_49905299,extra,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,touchstone_time_domain,matched_50ohm_rx_through,WARN,reduced_4p_not_full_matrix;rx_low_swing_metric_floor;rx_settling_margin;threshold_delay_confidence_low;voltage_shape_ok_threshold_delay_low,reduced_4p_rx_dominant_delay_rc,WARN,rx_low_swing_metric_floor;rx_settling_margin;rx_threshold_delay_confidence_low;rx_voltage_shape_ok_threshold_delay_low,,FAIL,,,WARN,not_general_multiport_model;reduced_4p_not_full_matrix;rx_low_swing_metric_floor;rx_settling_margin;threshold_delay_confidence_low;voltage_shape_ok_threshold_delay_low,audit_amp1p5_edge5_r50,0,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/hspice_audit/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/hspice_audit/audit_amp1p5_edge5_r50_hspice.lis,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/hspice_audit/ngspice/audit_amp1p5_edge5_r50.raw,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/hspice_audit/ngspice/audit_amp1p5_edge5_r50.log,0,0.025001104252316036,0.18953777909642294,0.0003440531957055275,0.001318519015050329,3.022339e-78,0.79421995,0.397109975,-2.995994e-80,-0.00038981555000000003,-0.00019490777500000002,0.0,0.75,0.375,0.0,-0.0019562541782601507,-0.0009781270891300754,0.79421995,0.00038981555000000003,0.75,0.0019562541782601507,-0.00019490777500000002,0.03472416520619542,0.18953777909642294,0.0004553913600695686,0.001318519015050329,1,1,0,0,1.0033946647509648,16.1676996224878,9.003824241007596,29.49895418149084,15164.304957736831,20495.129940483243,1,1,0,0,1.0026473998333334,17.76267844702228,9.002352600166667,28.025613030506307,16760.03104718895,19023.26043033964,1595.7260894521187,-1471.8695101436024,ok,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,low,hspice_rx_low_swing;ngspice_rx_low_swing,WARN,voltage_pass_threshold_delay_confidence_low,WARN,rx_voltage_pass_threshold_delay_confidence_low,PASS,reflection/TX thresholds passed,WARN,voltage_pass_threshold_delay_confidence_low
Ch10_35_5F3N_f1_49905299,extra,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,touchstone_time_domain,matched_50ohm_rx_through,WARN,reduced_4p_not_full_matrix;rx_low_swing_metric_floor;rx_settling_margin;threshold_delay_confidence_low;voltage_shape_ok_threshold_delay_low,reduced_4p_rx_dominant_delay_rc,WARN,rx_low_swing_metric_floor;rx_settling_margin;rx_threshold_delay_confidence_low;rx_voltage_shape_ok_threshold_delay_low,,FAIL,,,WARN,not_general_multiport_model;reduced_4p_not_full_matrix;rx_low_swing_metric_floor;rx_settling_margin;threshold_delay_confidence_low;voltage_shape_ok_threshold_delay_low,audit_amp1p5_edge50_r50,0,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/hspice_audit/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/hspice_audit/audit_amp1p5_edge50_r50_hspice.lis,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/hspice_audit/ngspice/audit_amp1p5_edge50_r50.raw,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/hspice_audit/ngspice/audit_amp1p5_edge50_r50.log,0,0.023408073717848726,0.06929228311479316,0.00036939500072578375,0.0013247759705112554,3.022339e-78,0.8027787,0.40138935,-2.995994e-80,-0.002395072,-0.001197536,0.0,0.75,0.375,0.0,-0.001956284267339808,-0.000978142133669904,0.8027787,0.002395072,0.75,0.001956284267339808,-0.001197536,0.032356642604387566,0.06929228311479316,0.0004966612407467562,0.0013247759705112554,1,1,0,0,1.026166293766533,17.492571738811055,9.025292339417096,26.24570629804198,16466.405445044522,17220.413958624886,1,1,0,0,1.02675929,17.817252360769572,9.023240710000001,17.881057917261323,16790.49307076957,8857.817207261323,324.0876257250493,-8362.596751363562,ok,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,low,hspice_rx_low_swing;ngspice_rx_low_swing,WARN,voltage_pass_threshold_delay_confidence_low,WARN,rx_voltage_pass_threshold_delay_confidence_low,PASS,reflection/TX thresholds passed,WARN,voltage_pass_threshold_delay_confidence_low
Ch10_35_5F3N_f1_49905299,extra,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,touchstone_time_domain,matched_50ohm_rx_through,WARN,reduced_4p_not_full_matrix;rx_low_swing_metric_floor;rx_settling_margin;threshold_delay_confidence_low;voltage_shape_ok_threshold_delay_low,reduced_4p_rx_dominant_delay_rc,WARN,rx_low_swing_metric_floor;rx_settling_margin;rx_threshold_delay_confidence_low;rx_voltage_shape_ok_threshold_delay_low,,FAIL,,,WARN,not_general_multiport_model;reduced_4p_not_full_matrix;rx_low_swing_metric_floor;rx_settling_margin;threshold_delay_confidence_low;voltage_shape_ok_threshold_delay_low,audit_amp1p5_edge500_r50,0,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/hspice_audit/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/hspice_audit/audit_amp1p5_edge500_r50_hspice.lis,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/hspice_audit/ngspice/audit_amp1p5_edge500_r50.raw,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/hspice_audit/ngspice/audit_amp1p5_edge500_r50.log,0,0.022574795893051627,0.06754282362368788,0.00035424356055315827,0.001172440379815275,3.022339e-78,0.7887169,0.39435845,-2.995994e-80,-0.002602078,-0.001301039,0.0,0.75,0.375,0.0,-0.0019561919501812283,-0.0009780959750906142,0.7887169,0.002602078,0.75,0.0019561919501812283,-0.001301039,0.030866101363239005,0.06754282362368788,0.0004802535820438431,0.001172440379815275,1,1,0,0,1.2695255632281428,17.881168702375597,9.268113864224173,26.22188885674447,16611.64313914745,16953.7749925203,1,1,0,0,1.262905633333333,18.698730617462267,9.237094366666668,26.046682059054458,17435.824984128933,16809.58769238779,824.1818449814818,-144.18730013250752,ok,results/sparam_view_trust_cisco_smoke_2026-06-10/channels/Ch10_35_5F3N_f1_49905299/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,low,hspice_rx_low_swing;ngspice_rx_low_swing,WARN,voltage_pass_threshold_delay_confidence_low,WARN,rx_voltage_pass_threshold_delay_confidence_low,PASS,reflection/TX thresholds passed,WARN,voltage_pass_threshold_delay_confidence_low
