
Note: No compatibility mode selected!


Circuit: * hibiki i3c_tx_0p125ma_tx through cascaded wmodel baseline rlgc traces

binary raw file "C:\Users\simom\Desktop\Projects\IBIS_Comparison\results\hibiki_i3c_tx_0p125ma_wmodel_cascade_ngspice_2026-05-29\raw\hibiki_wmodel_cascade.raw"
Doing analysis at TEMP = 25.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
No. of Data Columns : 8

Initial Transient Solution
--------------------------

Node                                   Voltage
ch_trace01_15                      2.09009e-06
ch_trace01_16_rl                   2.09008e-06
ch_trace01_16                      2.09008e-06
ch_trace01_17_rl                   2.09006e-06
ch_trace01_17                      2.09006e-06
ch_trace01_18_rl                   2.09005e-06
ch_trace01_18                      2.09005e-06
ch_trace01_19_rl                   2.09004e-06
ch_trace01_19                      2.09004e-06
ch_trace01_20_rl                   2.09003e-06
ch_trace01_20                      2.09003e-06
ch_trace01_21_rl                   2.09002e-06
ch_trace01_21                      2.09002e-06
ch_trace01_22_rl                   2.09001e-06
ch_trace01_22                      2.09001e-06
ch_trace01_23_rl                      2.09e-06
ch_trace01_23                         2.09e-06
ch_trace01_24_rl                   2.08999e-06
ch_trace01_24                      2.08999e-06
ch_trace01_25_rl                   2.08998e-06
ch_trace01_25                      2.08998e-06
ch_trace01_26_rl                   2.08997e-06
ch_trace01_26                      2.08997e-06
ch_trace01_27_rl                   2.08996e-06
ch_trace01_27                      2.08996e-06
ch_trace01_28_rl                   2.08995e-06
ch_trace01_28                      2.08995e-06
ch_trace01_29_rl                   2.08993e-06
ch_trace01_29                      2.08993e-06
ch_trace01_30_rl                   2.08992e-06
ch_trace01_30                      2.08992e-06
ch_trace01_31_rl                   2.08991e-06
ch_trace01_31                      2.08991e-06
ch_trace01_32_rl                    2.0899e-06
ch_trace01_32                       2.0899e-06
ch_trace01_33_rl                   2.08989e-06
ch_trace01_33                      2.08989e-06
ch_trace01_34_rl                   2.08988e-06
ch_trace01_34                      2.08988e-06
ch_trace01_35_rl                   2.08987e-06
ch_trace01_35                      2.08987e-06
ch_trace01_36_rl                   2.08986e-06
ch_trace01_36                      2.08986e-06
ch_trace01_37_rl                   2.08985e-06
