case,flow,simulator,model,direction,ui_ns,length_cm,loss_scale,channel_delay_ui,t_end_ns,completed,edges,contexts,delay_50_median_ps,delay_50_std_ps,delay_50_p2p_ps,delay_50_p2p_ui,slew_20_80_median_ps,slew_20_80_std_ps,slew_20_80_p2p_ps,trace_residual_p95_mV,trace_residual_max_mV,v_min,v_max
ui2_len30cm_loss5_coarse10,xyce_pybis_edge50_flat4p2,Xyce,less-smoothed edge controls plus flat tail,rise,2.0,30,5.0,1.0379999999999998,76.0,True,8,00->10;00->11;10->10;10->11,4117.978546333015,1766.389901080453,4206.92731434996,2.10346365717498,463.03805037634766,1925.6393706589356,4898.3268729928695,903.5218457700065,1324.842024391305,-0.126384965,1.53113996
ui2_len30cm_loss5_coarse10,xyce_pybis_edge50_flat4p2,Xyce,less-smoothed edge controls plus flat tail,fall,2.0,30,5.0,1.0379999999999998,76.0,True,8,01->00;01->01;11->00;11->01,2990.9546449515046,16.76015736055034,45.990865885176845,0.02299543294258842,368.80143628876857,68.85389119442554,142.39527759292048,1101.66971846659,1399.940270659454,-0.126384965,1.53113996
