case,flow,simulator,model,direction,ui_ns,length_cm,loss_scale,channel_delay_ui,t_end_ns,completed,edges,contexts,delay_50_median_ps,delay_50_std_ps,delay_50_p2p_ps,delay_50_p2p_ui,slew_20_80_median_ps,slew_20_80_std_ps,slew_20_80_p2p_ps,trace_residual_p95_mV,trace_residual_max_mV,v_min,v_max
ui2_len30cm_loss5_coarse10,xyce_pybis_tanh10,Xyce,global tanh10 smoothing,rise,2.0,30,5.0,1.0379999999999998,76.0,True,8,00->10;00->11;10->10;10->11,4116.475007768863,1791.0874160387175,4356.095314075936,2.1780476570379674,-1602.6994507540855,2571.3440848080995,5883.958561661424,747.233573517339,965.0719837804891,0.0,1.5431474
ui2_len30cm_loss5_coarse10,xyce_pybis_tanh10,Xyce,global tanh10 smoothing,fall,2.0,30,5.0,1.0379999999999998,76.0,True,8,01->00;01->01;11->00;11->01,3016.126143415965,18.614171568668397,52.537705792005454,0.026268852896002726,402.98090605645024,998.7460841592903,2349.9896285681266,843.1881430989619,1082.090981003496,0.0,1.5431474
