warning_reason,selected_channels,audit_rows,hspice_pass,hspice_warn,hspice_fail,hspice_error
passivity_margin_low,2,0,0,0,0,0
reduced_4p_not_full_matrix,8,0,0,0,0,0
rx_edge_ringing_threshold_ambiguous,3,0,0,0,0,0
rx_low_swing_metric_floor,8,0,0,0,0,0
rx_overshoot_margin,3,0,0,0,0,0
rx_settling_margin,7,0,0,0,0,0
rx_undershoot_margin,3,0,0,0,0,0
threshold_delay_confidence_low,10,0,0,0,0,0
tx_edge_ringing_threshold_ambiguous,2,0,0,0,0,0
voltage_shape_ok_threshold_delay_low,10,0,0,0,0,0
