channel_id,source,source_family,path,relative_path,bytes,sha256,ports_from_suffix,status,ports,points,f_min_hz,f_max_hz,z0_summary,supported_v1,dominant_path,dominant_output_port,dominant_input_port,dominant_peak_mag_db,max_reflection_mag_db,duplicate_count,duplicate_group,validation_split,error
hfss_19.2_cddaa9a5,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_19.2.s8p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_19.2.s8p,10218,9f4f82f490739f8cacb8d49c900f2021e00a1cea84f82ecdf3380528b1255dcf,8,unsupported_v1,8,3,45000000.0,45200000.0,30.0546-0.0446671j;30.0547-0.0446672j;7.72785-0.0263555j;7.73823-0.0263664j;7.72785-0.0263557j;7.72863-0.0263554j;7.73753-0.0263677j;7.72751-0.0263561j...,False,S28,2,8,-5.077033759885597,-0.4165886903076803,1,,calibration,
hfss_oneport_9d771c4c,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_oneport.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_oneport.s1p,74747,70a2c6869f40d673b15a33e55df7d5ea0fb8d436b6f7a25eb5786706c253049b,1,unsupported_v1,1,401,500000000000.0,750000000000.0,376.366;375.605;374.852;374.105;373.366;372.634;371.909;371.19...,False,,,,,-13.352623314743262,1,,calibration,
hfss_oneport_powerwave_60490dae,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_oneport_powerwave.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_oneport_powerwave.s1p,442,e864e29458a54a84bed4250983dc02d5f2081d612a09c40275c3146c939b29e2,1,unsupported_v1,1,2,29500000000.0,37000000000.0,30-10j;20+10j,False,,,,,-3.287716572002097,1,,calibration,
hfss_threeport_DB_b039adaa,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_DB.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_DB.s3p,282979,26dc76da62c9ecb070c302ab34cca31260b147e6c82c3523685dbeeb5b97eba7,3,unsupported_v1,3,451,2900000000.0,7500000000.0,526.441;526.441;526.441;524.691;524.691;524.691;522.976;522.977...,False,S21,2,1,-0.00885144362573457,-0.0008766199425937712,1,,calibration,
hfss_threeport_DB_50Ohm_99c02b0b,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_DB_50Ohm.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_DB_50Ohm.s3p,283234,80e9226d08e8d5ed9a3c0057cf1193f755812947fa91a2dbb99050f343402811,3,unsupported_v1,3,451,2900000000.0,7500000000.0,50;50;50;50;50;50;50;50...,False,S12,1,2,-0.04949347231474882,-2.6045648704193632e-05,1,,holdout,
hfss_threeport_MA_d210ca84,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_MA.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_MA.s3p,282655,b255cd7e331e0c280edd8712f57c7027c16de9a781088b429ccdb20ebde40f98,3,unsupported_v1,3,451,2900000000.0,7500000000.0,526.441;526.441;526.441;524.691;524.691;524.691;522.976;522.977...,False,S21,2,1,-0.008813480870406823,-0.0008615597883821866,1,,calibration,
hfss_threeport_MA_50Ohm_e018cd18,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_MA_50Ohm.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_MA_50Ohm.s3p,282924,3bcd017a55ef8f502c19a042d10e719bb9819df71dd2839dd34a3c61df87caeb,3,unsupported_v1,3,451,2900000000.0,7500000000.0,50;50;50;50;50;50;50;50...,False,S12,1,2,-0.04941614102037151,-2.5609193556856464e-05,1,,calibration,
hfss_threeport_MA_without_gamma_z0_50Ohm_4b322514,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_MA_without_gamma_z0_50Ohm.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_MA_without_gamma_z0_50Ohm.s3p,168370,bb516e0bd34db88e492c9e1fed5e2d0a0e4688da7b1fedf004ed9fbebb06cf1e,3,unsupported_v1,3,451,2900000000.0,7500000000.0,50;50;50;50;50;50;50;50...,False,S12,1,2,-0.04941614102037151,-2.5609193556856464e-05,1,,calibration,
hfss_twoport_e975fe9f,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_twoport.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_twoport.s2p,35410,b961f9415b179480193eefb1594b56e21541253075cecc4a202593264a5f365a,2,ok,2,101,75000000000.0,110000000000.0,49.688-0.112098j;49.6265-0.112974j;49.6838-0.111842j;49.6213-0.112779j;49.6797-0.111589j;49.6162-0.112581j;49.6757-0.111338j;49.6113-0.11238j...,True,S12,1,2,-0.13938867563901666,-37.0776406724321,1,,holdout,
LFCN-2352__Plus125degC_4793e65c,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\LFCN-2352+_Plus125degC.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/LFCN-2352+_Plus125degC.s2p,269139,bb593bd69440bce0f424e4a135699fe189539fe47ed42fab24f5c3421707a65f,2,ok,2,2006,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S21,2,1,-0.020454849999999608,-2.7659119999999997,1,,calibration,
