source_family,selected_channels,failed_channels,independent_pass,independent_warn,independent_fail,hspice_pass,hspice_warn,hspice_fail,hspice_error
cisco,7,2,0,7,0,0,0,0,0
skrf_tests,4,19,0,4,0,0,0,0,0
