case_id,kind,legacy_status,state_status,legacy_pad_rmse_mv,state_pad_rmse_mv,pad_rmse_reduction_pct,legacy_coeff_rmse,state_coeff_rmse,verdict
edge_1ps_base_50r_2pf,sharp_complete,GOOD,GOOD,5.2891792703694325,2.405144874763965,54.527068344273125,0.005607643494728418,0.003543995288444794,PASS
edge_5ps_50r_2pf,slow_edge,WARN,GOOD,7.9341277664487615,2.103821645878006,73.4838950442103,0.020935058542945455,0.004539039869053,INFO
edge_50ps_50r_2pf,slow_edge,WARN,WARN,11.37459464741737,11.466229592845648,-0.8056106460821016,0.01477480555728982,0.015202679607730973,INFO
edge_500ps_50r_2pf,slow_edge,CHECK,CHECK,134.83428252110716,135.89819020936395,-0.7890483550355541,0.13165895458641422,0.1330255196264584,INFO
edge_2ns_50r_2pf,slow_edge,CHECK,CHECK,393.1691952631095,393.64312303576355,-0.12054041322766491,0.3364539738067458,0.33599877543626305,INFO
load_25r_2pf,sharp_complete,GOOD,GOOD,3.2233831431117084,1.4410760058201944,55.29305881928003,0.0053144963966053164,0.0035369299659207547,PASS
load_50r_0pf,sharp_complete,GOOD,GOOD,5.770104441055986,3.329359589435215,42.29983835741613,0.005773317868875206,0.0035591404484468714,PASS
load_50r_10pf,sharp_complete,GOOD,GOOD,4.5427136336795595,3.6686675792777717,19.240615299226295,0.0049506904642854215,0.003019455116257335,PASS
load_100r_2pf,sharp_complete,GOOD,GOOD,8.921646798702957,3.6120399555454554,59.5137530430976,0.0051716208678958655,0.0033757260761283995,PASS
double_toggle_1ps,sharp_complete,GOOD,CHECK,5.7130918743822745,475.7464647555875,-8227.302889856419,0.005577147214017331,0.37526489123372775,REGRESSION
short_pulse_2ns_high,short_pulse,CHECK,CHECK,361.3616426183236,270.9601529776395,25.01690245418984,0.2833019281281989,0.6825483932289139,NOT_ENOUGH_IMPROVEMENT
short_pulse_1ns_high,short_pulse,CHECK,CHECK,653.2560845126897,26.652319918713765,95.92008087630816,0.5038066834239642,0.6353476207305819,PASS
short_pulse_500ps_high,short_pulse,CHECK,CHECK,678.8631624717939,19.706968434713296,97.09706321919742,0.5784688091362512,0.5919324213123492,PASS
