case_id,pulse_width_ns,reverse_edge_ns,active_end_ns,hspice_kd_at_input_reverse,hspice_kd_min,hspice_kd_min_time_ns,hspice_kd_final,hspice_kd_off_depth,hspice_effective_tau_ns,hspice_main_slope_tau_10_90_ns,hspice_recovery_10_ns,hspice_recovery_50_ns,hspice_recovery_90_ns,hspice_delay_min_to_10_ns,hspice_tau_fit_n,hspice_tau_fit_rmse,hspice_tau_fit_r2,two_state_directional_residual_gdn_at_input_reverse,two_state_directional_residual_gdn_at_hspice_kd_min_time,two_state_directional_residual_gdn_min_reverse_to_active_end,two_state_directional_residual_gdn_min_reverse_to_hspice_kd_min,two_state_directional_residual_gdntarget_at_input_reverse,two_state_directional_residual_gdntarget_at_hspice_kd_min_time,two_state_directional_residual_recover_mean_gdn_at_input_reverse,two_state_directional_residual_recover_mean_gdn_at_hspice_kd_min_time,two_state_directional_residual_recover_mean_gdn_min_reverse_to_active_end,two_state_directional_residual_recover_mean_gdn_min_reverse_to_hspice_kd_min,two_state_directional_residual_recover_mean_gdntarget_at_input_reverse,two_state_directional_residual_recover_mean_gdntarget_at_hspice_kd_min_time
short_pulse_500ps_high,0.5,5.5005,8.501000000000001,0.9997612109289618,-0.02253873,5.872482,0.9988258999999999,1.0213646299999999,1.0008022955203286,0.1737478867249962,7.170785461146861,7.351921695596738,7.552548588119252,1.298303461146861,47,0.32295984560709157,-0.05241610449202749,0.9999999999999952,0.9999999999999811,0.001568748537265213,0.9999999999999811,1.0,0.9999999999999998,0.9999999999999952,0.9999999999999811,0.01393157802696502,0.9999999999999811,1.0,0.9999999999999998
short_pulse_1ns_high,1.0,6.0005,9.001000000000001,1.0016050257069409,-0.06318683,6.386647,0.9973462,1.06053303,1.5465033261610013,0.18874754558586407,7.848965031670129,8.057574747893478,8.263685777743278,1.4623180316701294,93,0.33563834386257274,0.1160203110890694,0.9999999999999954,0.999999999999999,0.0002004759071335512,0.9999999999999907,0.9999999999999992,1.0,0.9999999999999954,0.999999999999999,0.001780992525250433,0.9999999999999907,0.9999999999999992,1.0
short_pulse_2ns_high,2.0,7.0005,10.001000000000001,0.05149149273381267,-0.07198926,7.538691,0.9847056000000001,1.0566948600000001,1.721656739554819,0.18565086001175926,9.124965745503188,9.329752092557996,9.532882377924631,1.5862747455031876,87,0.3570150380940146,-0.021256526228184525,0.09773549954705553,0.010115959882590524,2.823661010849749e-06,0.01012600247044156,0.0,0.0,0.09773549954705553,0.010115959882590524,2.508465841095199e-05,0.01012600247044156,0.0,0.0
