candidate_family,candidate_rows,candidate_pass,candidate_warn,candidate_fail,selected_channels,selected_pass,selected_warn,selected_fail,hspice_pass,hspice_warn,hspice_fail,hspice_error
bbs_full_model,3,0,0,3,0,0,0,0,0,0,0,0
full_vector_fit,1,0,1,0,1,0,1,0,0,0,1,0
