case,hspice_tr0,ngspice_raw,hspice_stop_ns,ngspice_stop_ns,hspice_tx_min_v,hspice_tx_max_v,ngspice_tx_min_v,ngspice_tx_max_v,hspice_rx_min_v,hspice_rx_max_v,ngspice_rx_min_v,ngspice_rx_max_v,hspice_tx_low_v,hspice_tx_active_v,hspice_tx_threshold_v,hspice_rx_low_v,hspice_rx_active_v,hspice_rx_threshold_v,tx_rmse_v,tx_maxabs_v,tx_active_rmse_v,tx_active_maxabs_v,rx_rmse_v,rx_maxabs_v,rx_active_rmse_v,rx_active_maxabs_v,ngspice_input_backdrive_flag,hspice_tx_rise50_ns,hspice_rx_rise50_ns,hspice_tx_fall50_ns,hspice_rx_fall50_ns,hspice_rx_minus_tx_rise50_ps,hspice_rx_minus_tx_fall50_ps,ngspice_tx_rise50_ns,ngspice_rx_rise50_ns,ngspice_tx_fall50_ns,ngspice_rx_fall50_ns,ngspice_rx_minus_tx_rise50_ps,ngspice_rx_minus_tx_fall50_ps,tx_rise50_delta_ps,rx_rise50_delta_ps,tx_fall50_delta_ps,rx_fall50_delta_ps,rx_minus_tx_rise50_ps_delta_ps,rx_minus_tx_fall50_ps_delta_ps,case_class,case_reason,plot
audit_amp1p5_edge5_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch5_22_5F3N_t/hspice_native/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_cisco_s11_proto_2026-06-09/Ch5_22_5F3N_t/ngspice/audit_amp1p5_edge5_r50.raw,35.0,35.0,-0.03485382,0.8121689,0.0,0.7637069260099383,-0.02262787,0.6720528,-0.04167129946627701,0.6675157621039962,-2.033644e-80,0.7703196,0.3851598,3.438961e-79,0.6714357,0.33571785,0.01161992232866817,0.05574970846806304,0.014858237870477527,0.05574970846806304,0.01136093145268849,0.024263324398326673,0.012650010541075691,0.024263324398326673,False,1.0033411138158808,6.987566314529471,9.00359316259249,14.984741682993604,5984.22520071359,5981.148520401114,1.0025713199856994,6.989119100970621,9.002527047385152,14.979616079718737,5986.547780984922,5977.089032333585,-0.7697938301813867,1.552786441149756,-1.066115207336793,-5.125603274867885,2.3225802713313897,-4.059488067528946,PASS,thresholds passed,results/sparam_cisco_s11_proto_2026-06-09/Ch5_22_5F3N_t/comparison/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png
audit_amp1p5_edge50_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch5_22_5F3N_t/hspice_native/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_cisco_s11_proto_2026-06-09/Ch5_22_5F3N_t/ngspice/audit_amp1p5_edge50_r50.raw,35.0,35.0,-0.0289163,0.7729612,0.0,0.7636695472289876,-0.02360968,0.6720096,-0.04167120733157644,0.6675152977258676,-2.033644e-80,0.7670515,0.38352575,3.438961e-79,0.6716387,0.33581935,0.01095339256679011,0.039898396121685276,0.01374802504523288,0.039898396121685276,0.011577934329035127,0.024140888677198345,0.012899382184286426,0.024140888677198345,False,1.0249745409319282,7.007441041038906,9.026207701556983,15.0047503188007,5982.466500106978,5978.542617243716,1.0257758228827902,7.0132156765237434,9.025550093884549,15.00373855599953,5987.4398536409535,5978.18846211498,0.8012819508620428,5.774635484837809,-0.6576076724336133,-1.0117628011698798,4.973353533975569,-0.3541551287362381,PASS,thresholds passed,results/sparam_cisco_s11_proto_2026-06-09/Ch5_22_5F3N_t/comparison/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png
audit_amp1p5_edge500_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch5_22_5F3N_t/hspice_native/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_cisco_s11_proto_2026-06-09/Ch5_22_5F3N_t/ngspice/audit_amp1p5_edge500_r50.raw,35.0,35.0,-0.02140723,0.7722878,0.0,0.763290894450786,-0.02261034,0.6716261,-0.04164914948912226,0.6674719728640319,-2.033644e-80,0.7670622,0.3835311,3.438961e-79,0.6710336,0.3355168,0.010949082055480012,0.03351433895106185,0.0134461317437678,0.03351433895106185,0.011302103856451843,0.03100287824109635,0.012588203037089452,0.03100287824109635,False,1.2583969273705446,7.278223784924303,9.265877291528632,15.263042650353984,6019.826857553758,5997.165358825352,1.2573166412940495,7.29561967002718,9.255079873608473,15.275158466153526,6038.303028733131,6020.078592545052,-1.0802860764951294,17.395885102876818,-10.797417920159091,12.115815799541352,18.476171179373523,22.913233719699747,PASS,thresholds passed,results/sparam_cisco_s11_proto_2026-06-09/Ch5_22_5F3N_t/comparison/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png
