time_ns,v(in_dig),v(pad),v(tx_out),v(n10b),v(xdrv:ni),v(xdrv:n2),v(xdrv:n3),v(xdrv:n4),v(xdrv:n6),v(xdrv:n8),v(xdrv:nx),v(xdrv:ku),v(xdrv:kd)
121.78,0.0,-0.00171413298,-0.00171413318,0.00269821187,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.79,0.0,-0.0028038309,-0.00280383115,0.00122058968,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.8,0.0,-0.00386916311,-0.0038691634,-0.000291780487,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.81,0.0,-0.00490344497,-0.0049034453,-0.00182803623,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.82,0.0,-0.00590000295,-0.00590000331,-0.00337703667,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.83,0.0,-0.00685229695,-0.00685229734,-0.00492744966,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.84000000000002,0.0,-0.00775402219,-0.00775402262,-0.00646784078,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.85,0.0,-0.0085991951,-0.00859919555,-0.00798676344,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.86000000000001,0.0,-0.0093822261,-0.00938222658,-0.00947284928,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.86999999999999,0.0,-0.0100979817,-0.0100979822,-0.0109148982,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.88000000000001,0.0,-0.010741837,-0.0107418375,-0.012301967,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.88999999999999,0.0,-0.0113097205,-0.011309721,-0.0136234568,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.9,0.0,-0.0117981505,-0.011798151,-0.014869197,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.91000000000001,0.0,-0.0122042654,-0.012204266,-0.0160295265,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.92,0.0,-0.0125258467,-0.0125258472,-0.0170953712,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.93,0.0,-0.0127613355,-0.012761336,-0.0180583162,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.94,0.0,-0.0129098435,-0.0129098441,-0.0189106736,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.95,0.0,-0.0129711572,-0.0129711577,-0.0196455441,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.96,0.0,-0.0129457363,-0.0129457368,-0.0202568729,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.97,0.0,-0.0128347069,-0.0128347074,-0.0207394983,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.98,0.0,-0.0126398484,-0.0126398488,-0.0210891939,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.99,0.0,-0.0123635753,-0.0123635758,-0.0213027032,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
122.00000000000001,0.0,-0.012009218,-0.0120092184,-0.0213783329,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
122.00999999999999,0.165,-0.0115802303,-0.0115802308,-0.0213146335,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
122.02000000000001,0.33,-0.0110801266,-0.0110801269,-0.0211100908,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
122.02999999999999,0.495,-0.0105140774,-0.0105140778,-0.0207664431,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
122.04,0.66,-0.0098872316,-0.00988723193,-0.0202855287,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
122.05000000000001,0.825,-0.00920516605,-0.00920516634,-0.0196701976,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
122.06,0.99,-0.00847383803,-0.00847383829,-0.0189242908,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
122.07000000000001,1.155,-0.00769953454,-0.00769953476,-0.0180526115,-0.5,1.84359984e-10,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
122.08,1.32,-0.00688881952,-0.00688881971,-0.0170608889,-0.499662489,0.00270009032,0.00288161069,-1.0,112.12,112.12,5.96,8.95213522e-05,1.00227187
122.09,1.485,-0.00589736671,-0.00589736686,-0.0159558655,0.499779134,7.99520371,7.99520377,1.0,122.09,112.12,5.96,0.0,1.0
122.1,1.65,-0.0047062614,-0.00470626151,-0.0147421973,0.5,0.00316941211,0.00348516618,-1.0,122.09,122.09,0.01,0.00366593051,0.997841006
122.11,1.815,-0.00321515459,-0.00321515467,-0.0134270237,0.5,-2.29427948e-09,0.001,-1.0,122.09,122.09,0.02,0.00215186085,1.00082834
122.12,1.98,-0.00216401402,-0.00216401406,-0.0120302475,0.5,0.0,0.001,-1.0,122.09,122.09,0.03,0.00179658326,1.00174693
122.13,2.145,-0.0012398796,-0.00123987961,-0.0105542631,0.5,0.0,0.001,-1.0,122.09,122.09,0.04,0.00161419305,1.0012145
122.14,2.31,-0.000386592472,-0.000386592442,-0.00900921673,0.5,0.0,0.001,-1.0,122.09,122.09,0.05,0.00143180284,1.00068207
122.14999999999999,2.475,0.000408893557,0.00040889362,-0.00740574424,0.5,0.0,0.001,-1.0,122.09,122.09,0.06,0.00124941263,1.00014965
122.16,2.64,0.00115681883,0.00115681892,-0.00575489478,0.5,0.0,0.001,-1.0,122.09,122.09,0.07,0.00106852465,1.00087119
122.16999999999999,2.805,0.00186129563,0.00186129576,-0.00406804721,0.5,0.0,0.001,-1.0,122.09,122.09,0.08,0.000916959582,1.00333715
122.17999999999999,2.97,0.00253734607,0.00253734622,-0.00235682384,0.5,0.0,0.001,-1.0,122.09,122.09,0.09,0.000879328695,1.00317116
122.19000000000001,3.135,0.00319802087,0.00319802104,-0.000633002677,0.5,0.0,0.001,-1.0,122.09,122.09,0.1,0.000841697808,1.00300516
122.2,3.3,0.00383215713,0.00383215733,0.00109161775,0.5,4.4408921e-16,0.001,-1.0,122.09,122.09,0.11,0.00080406692,1.00283917
122.21000000000001,3.3,0.00443044507,0.00443044529,0.00280530737,0.5,-7.33735046e-16,0.001,-1.0,122.09,122.09,0.12,0.000766436033,1.00267318
122.22,3.3,0.0049847386,0.00498473884,0.00449615463,0.5,4.4408921e-16,0.001,-1.0,122.09,122.09,0.13,0.000728805146,1.00250718
122.23,3.3,0.00548863649,0.00548863674,0.00615269265,0.5,0.0,0.001,-1.0,122.09,122.09,0.14,0.000691174258,1.00234119
122.24,3.3,0.00593673531,0.00593673558,0.00776370892,0.5,3.70419793e-16,0.001,-1.0,122.09,122.09,0.15,0.000653543371,1.00217519
122.25,3.3,0.00632458475,0.00632458503,0.00931833166,0.5,0.0,0.001,-1.0,122.09,122.09,0.16,0.000615912484,1.0020092
122.26,3.3,0.00664863028,0.00664863056,0.0108061418,0.5,0.0,0.001,-1.0,122.09,122.09,0.17,0.000578281597,1.00184321
