return_code,raw,log,points,stop_ns,v(p1)_min_v,v(p1)_max_v,v(p1)_finite,v(p3)_min_v,v(p3)_max_v,v(p3)_finite,tx_rise50_ns,rx_rise50_ns,tx_fall50_ns,rx_fall50_ns,finite_reasonable,last_trouble,case,rsrc_ohm,edge_ps,amplitude_v,model
0,results/sparam_cisco_ngspice_forced_2026-06-08/Ch10_35_5F3N_t_vector16/audit_amp1p5_edge5_r50.raw,results/sparam_cisco_ngspice_forced_2026-06-08/Ch10_35_5F3N_t_vector16/audit_amp1p5_edge5_r50.log,13387,35.0,-0.9061917495742526,0.1340796143775172,True,-0.1028029737453133,0.5703083951088463,True,,,,,True,,audit_amp1p5_edge5_r50,50.0,5.0,1.5,results/sparam_cisco_highorder_2026-06-08/channels/Ch10_35_5F3N_t_d3c7dddc/models/vector_16r16c/Ch10_35_5F3N_t_d3c7dddc_vector_16r16c.sp
0,results/sparam_cisco_ngspice_forced_2026-06-08/Ch10_35_5F3N_t_vector16/audit_amp1p5_edge50_r50.raw,results/sparam_cisco_ngspice_forced_2026-06-08/Ch10_35_5F3N_t_vector16/audit_amp1p5_edge50_r50.log,9313,35.0,-0.8261884103887482,0.05093672020300125,True,-0.1028223816121151,0.5703571322880603,True,,,,,True,,audit_amp1p5_edge50_r50,50.0,50.0,1.5,results/sparam_cisco_highorder_2026-06-08/channels/Ch10_35_5F3N_t_d3c7dddc/models/vector_16r16c/Ch10_35_5F3N_t_d3c7dddc_vector_16r16c.sp
0,results/sparam_cisco_ngspice_forced_2026-06-08/Ch10_35_5F3N_t_vector16/audit_amp1p5_edge500_r50.raw,results/sparam_cisco_ngspice_forced_2026-06-08/Ch10_35_5F3N_t_vector16/audit_amp1p5_edge500_r50.log,5608,35.0,-0.8227051028258864,0.04606297741375755,True,-0.0980984427936859,0.5690533244106628,True,,,,,True,,audit_amp1p5_edge500_r50,50.0,500.0,1.5,results/sparam_cisco_highorder_2026-06-08/channels/Ch10_35_5F3N_t_d3c7dddc/models/vector_16r16c/Ch10_35_5F3N_t_d3c7dddc_vector_16r16c.sp
