time_ns,v_typ,v_min,v_max
1.0751,1.333,1.325,1.316
1.0811,1.334,1.326,1.316333333
1.0871,1.335166667,1.326,1.317
1.0931,1.336166667,1.326,1.317833333
1.0991,1.337166667,1.326,1.318166667
1.1051,1.338166667,1.327,1.319
1.1111,1.339166667,1.327,1.3195
1.1171,1.340333333,1.327,1.32
1.1231,1.341333333,1.327,1.320833333
1.1291,1.342333333,1.327833333,1.321833333
1.1351,1.3435,1.328,1.323333333
1.1411,1.3445,1.328,1.3245
1.1471,1.345666667,1.328333333,1.325833333
1.1532,1.346666667,1.329,1.327333333
1.1592,1.347833333,1.329333333,1.3285
1.1652,1.348833333,1.33,1.33
1.1712,1.35,1.3305,1.331333333
1.1772,1.351166667,1.331,1.332666667
1.1832,1.352166667,1.3315,1.334
1.1892,1.3535,1.332,1.335333333
1.1952,1.354666667,1.3325,1.336666667
1.2012,1.356166667,1.333,1.338
1.2072,1.3575,1.3335,1.339
1.2132,1.358666667,1.334,1.339166667
1.2192,1.360166667,1.334666667,1.34
1.2252,1.361333333,1.335,1.341
1.2312,1.362666667,1.335666667,1.342166667
1.2372,1.364,1.336,1.3435
1.2432,1.365333333,1.336666667,1.344666667
1.2492,1.366666667,1.337,1.346166667
1.2553,1.368,1.337666667,1.3475
1.2613,1.369333333,1.338,1.348666667
1.2673,1.370666667,1.339333333,1.350333333
1.2733,1.372,1.340666667,1.3515
1.2793,1.373333333,1.342333333,1.353
1.2853,1.374833333,1.343666667,1.3545
1.2913,1.3765,1.345333333,1.355833333
1.2973,1.378333333,1.346666667,1.357333333
1.3033,1.38,1.348333333,1.358666667
1.3093,1.381666667,1.349666667,1.360333333
1.3153,1.3835,1.351333333,1.361666667
1.3213,1.385166667,1.352666667,1.363166667
1.3273,1.386833333,1.354333333,1.364666667
1.3333,1.3885,1.355666667,1.366333333
1.3393,1.390333333,1.357333333,1.368
1.3453,1.392,1.358666667,1.3695
1.3514,1.394166667,1.361166667,1.371333333
1.3574,1.396666667,1.365166667,1.372833333
1.3634,1.399,1.369333333,1.3745
1.3694,1.401333333,1.373333333,1.376166667
1.3754,1.403833333,1.377666667,1.377666667
1.3814,1.406166667,1.381666667,1.3795
1.3874,1.408666667,1.386,1.381166667
1.3934,1.411,1.39,1.382833333
