case,hspice_tr0,ngspice_raw,hspice_stop_ns,ngspice_stop_ns,hspice_tx_min_v,hspice_tx_max_v,ngspice_tx_min_v,ngspice_tx_max_v,hspice_rx_min_v,hspice_rx_max_v,ngspice_rx_min_v,ngspice_rx_max_v,hspice_tx_low_v,hspice_tx_active_v,hspice_tx_threshold_v,hspice_rx_low_v,hspice_rx_active_v,hspice_rx_threshold_v,tx_rmse_v,tx_maxabs_v,tx_active_rmse_v,tx_active_maxabs_v,rx_rmse_v,rx_maxabs_v,rx_active_rmse_v,rx_active_maxabs_v,ngspice_input_backdrive_flag,hspice_tx_rise50_ns,hspice_rx_rise50_ns,hspice_tx_fall50_ns,hspice_rx_fall50_ns,hspice_rx_minus_tx_rise50_ps,hspice_rx_minus_tx_fall50_ps,ngspice_tx_rise50_ns,ngspice_rx_rise50_ns,ngspice_tx_fall50_ns,ngspice_rx_fall50_ns,ngspice_rx_minus_tx_rise50_ps,ngspice_rx_minus_tx_fall50_ps,tx_rise50_delta_ps,rx_rise50_delta_ps,tx_fall50_delta_ps,rx_fall50_delta_ps,rx_minus_tx_rise50_ps_delta_ps,rx_minus_tx_fall50_ps_delta_ps,case_class,case_reason,plot
audit_amp1p5_edge500_r50,results/sparam_cisco_native_hspice_2026-06-08/Ch10_35_5F3N_t_long/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/ngspice_corrected/audit_amp1p5_edge500_r50.raw,35.0,35.0,-0.01411816,0.7855317,-2.645989702941573e-17,0.75,-5.664177e-78,0.6688653,0.0,0.6686586376736564,-2.018925e-78,0.76157165,0.380785825,-4.270876e-80,0.6503462,0.3251731,0.017917309457362546,0.051266242918737326,0.023203975398537795,0.051266242918737326,0.0049225329279497234,0.033868409224385554,0.006171737692090824,0.033868409224385554,False,1.261033894754836,15.375842483156461,9.264485046346424,23.389682894995364,14114.808588401625,14125.19784864894,1.2538572166666664,15.387864497459994,9.246142783333335,23.4062435244498,14134.007280793327,14160.100741116465,-7.176678088169686,12.022014303532558,-18.342263013089166,16.56062945443537,19.198692391701115,34.902892467524,PASS,thresholds passed,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/comparison_corrected/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png
audit_amp1p5_edge50_r50,results/sparam_cisco_native_hspice_2026-06-08/Ch10_35_5F3N_t_long/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/ngspice_corrected/audit_amp1p5_edge50_r50.raw,35.0,35.0,-0.0560304,0.8259677,0.0,0.75,-5.664177e-78,0.6690949,0.0,0.668837960560749,-2.018925e-78,0.7907239,0.39536195,-4.270876e-80,0.6393827,0.31969135,0.019066267550357,0.07058966688674984,0.024733184609186255,0.07058966688674984,0.003996263278252417,0.021838105362944282,0.0039947706383506145,0.021838105362944282,False,1.025425132625831,15.10442731861615,9.024508307360632,23.133206704904044,14079.002185990319,14108.698397543412,1.0263574633333334,15.108070186763213,9.023642536666667,23.135213567939164,14081.712723429879,14111.571031272497,0.9323307075024267,3.6428681470628277,-0.8657706939647625,2.006863035120432,2.71053743955963,2.872633729084555,PASS,thresholds passed,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/comparison_corrected/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png
audit_amp1p5_edge5_r50,results/sparam_cisco_native_hspice_2026-06-08/Ch10_35_5F3N_t_long/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/ngspice_corrected/audit_amp1p5_edge5_r50.raw,35.0,35.0,-0.05970446,0.8464823,0.0,0.75,-5.664177e-78,0.6691638,0.0,0.6688558885643181,-2.018925e-78,0.7940703,0.39703515,-4.270876e-80,0.6340131,0.31700655,0.01941701122215876,0.08273084866664715,0.025181974191753016,0.08273084866664715,0.0038450595777365874,0.010201401045514702,0.0036316115931950676,0.010201401045514702,False,1.0035588068822232,15.076442909642719,9.003508331737706,23.111052093092773,14072.884102760494,14107.543761355068,1.002646901,15.082240727892177,9.002353099,23.114706369855487,14079.593826892178,14112.353270855489,-0.9119058822231185,5.797818249458686,-1.1552327377053473,3.6542767627132378,6.709724131684197,4.8095095004209725,PASS,thresholds passed,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/comparison_corrected/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png
