channel_id,source,source_family,validation_split,channel_path,relative_path,ports,points,f_min_hz,f_max_hz,inventory_dominant_path,max_low_freq_start_hz,low_freq_coverage_ok,low_freq_coverage_ratio,min_frequency_points,frequency_point_count_ok,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,qualification_profile,combined_rx_shape_degradation_v,candidate,bbs_mode,bbs_circuit_type,bbs_status,bbs_return_code,bbs_timed_out,bbs_elapsed_s,bbs_exe,bbs_input_copy,bbs_manifest,bbs_result_dir,bbs_circuit_file,bbs_selected_model_copy,bbs_fitted_touchstone,bbs_error_order_file,bbs_generated_files,bbs_stdout_tail,bbs_stderr_tail
Ch10_35_5F3N_f4_ce6f6d8c,extra,extra,calibration,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6213284094841652,45563387500.0,True,full,0.002,bbs_passivity2_hspice,passivity2,hspice,failed,-998,True,0.0,C:\Cadence\Sigrity2024.1\tools\bin\BroadbandSPICE.exe,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/bbs/passivity2/hspice/Ch10_35_5F3N_f4.s4p,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/bbs/passivity2/hspice/bbs_manifest.csv,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/bbs/passivity2/hspice/BBSResult_Ch10_35_5F3N_f4,,,,,,,BroadbandSPICE extraction timed out after 45 s
Ch10_35_5F3N_f4_ce6f6d8c,extra,extra,calibration,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6213284094841652,45563387500.0,True,full,0.002,bbs_passivity2_gspice,passivity2,gspice,failed,-998,True,0.0,C:\Cadence\Sigrity2024.1\tools\bin\BroadbandSPICE.exe,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/bbs/passivity2/gspice/Ch10_35_5F3N_f4.s4p,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/bbs/passivity2/gspice/bbs_manifest.csv,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/bbs/passivity2/gspice/BBSResult_Ch10_35_5F3N_f4,,,,,,,BroadbandSPICE extraction timed out after 45 s
