window_index,window_label,trace_index,label,path,requested_signal,resolved_signal,samples,t_start_s,t_end_s,v_min,v_max,v_mean
0,52ns to 56p4ns,0,Xyce refspice,C:\Users\simom\Desktop\IBIS_Comparison\results\stressed_edge50_corrected_crossflow_2026-05-12_clean\runs\ui2_len30cm_loss5_coarse10\xyce_refspice\ui2_len30cm_loss5_coarse10_xyce_refspice.cir.csv,v(tx_out),v(tx_out),441,5.2e-08,5.64e-08,-0.455331913,1.52956976,0.27108481673816326
0,52ns to 56p4ns,1,Xyce pybis,C:\Users\simom\Desktop\IBIS_Comparison\results\stressed_edge50_corrected_crossflow_2026-05-12_clean\runs\ui2_len30cm_loss5_coarse10\xyce_pybis_edge50\ui2_len30cm_loss5_coarse10_xyce_pybis_edge50.cir.csv,v(tx_out),v(tx_out),441,5.2e-08,5.64e-08,-0.430750623,2.19023476,0.37592369327956915
