window_index,window_label,trace_index,label,path,requested_signal,resolved_signal,samples,t_start_s,t_end_s,v_min,v_max,v_mean
0,52ns to 56p4ns,0,ngspice refspice,C:\Users\simom\Desktop\IBIS_Comparison\results\stressed_edge50_corrected_crossflow_2026-05-12_clean\runs\ui2_len30cm_loss5_coarse10\ngspice_refspice\ui2_len30cm_loss5_coarse10_ngspice_refspice.raw,v(tx_out),v(tx_out),460,5.2e-08,5.6393205096529486e-08,-0.5200365132833872,1.5239481500130936,0.27884481578149295
0,52ns to 56p4ns,1,ngspice pybis,C:\Users\simom\Desktop\IBIS_Comparison\results\stressed_edge50_corrected_crossflow_2026-05-12_clean\runs\ui2_len30cm_loss5_coarse10\ngspice_pybis_edge50_corrected\ui2_len30cm_loss5_coarse10_ngspice_pybis_edge50_corrected.raw,v(tx_out),v(tx_out),4094,5.2e-08,5.639994876331371e-08,-0.40414131767445105,2.1812688286852993,0.36721261062285343
