window_index,window_label,trace_index,label,path,requested_signal,resolved_signal,samples,t_start_s,t_end_s,v_min,v_max,v_mean
0,54p7ns to 58p6ns,0,ngspice refspice,C:\Users\simom\Desktop\IBIS_Comparison\results\stressed_edge50_corrected_crossflow_2026-05-12_clean\runs\ui2_len30cm_loss5_coarse10\ngspice_refspice\ui2_len30cm_loss5_coarse10_ngspice_refspice.raw,v(n10b),v(n10b),399,5.470785683020206e-08,5.85949999999999e-08,-0.06429336928844956,0.9295800073742623,0.25030526198284136
0,54p7ns to 58p6ns,1,ngspice pybis,C:\Users\simom\Desktop\IBIS_Comparison\results\stressed_edge50_corrected_crossflow_2026-05-12_clean\runs\ui2_len30cm_loss5_coarse10\ngspice_pybis_edge50_corrected\ui2_len30cm_loss5_coarse10_ngspice_pybis_edge50_corrected.raw,v(n10b),v(n10b),4063,5.470023060934134e-08,5.8599948763313295e-08,-0.0409481453477377,1.5066120713937752,0.3614280176838886
