channel_id,source,source_family,validation_split,channel_path,relative_path,ports,points,f_min_hz,f_max_hz,inventory_dominant_path,max_low_freq_start_hz,low_freq_coverage_ok,low_freq_coverage_ratio,min_frequency_points,frequency_point_count_ok,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,qualification_profile,combined_rx_shape_degradation_v,candidate,bbs_mode,bbs_circuit_type,bbs_status,bbs_return_code,bbs_timed_out,bbs_elapsed_s,bbs_exe,bbs_input_copy,bbs_manifest,bbs_result_dir,bbs_circuit_file,bbs_selected_model_copy,bbs_fitted_touchstone,bbs_error_order_file,bbs_generated_files,bbs_stdout_tail,bbs_stderr_tail,bbs_subckt_name,ngspice_model_spice
Agilent_E5071B_605d686c,extra,extra,calibration,results/bbs_integration_canonical_inputs_2026-06-16/Agilent_E5071B.s4p,results/bbs_integration_canonical_inputs_2026-06-16/Agilent_E5071B.s4p,4,205,500000000.0,4500000000.0,S12,5000000000.0,True,0.1,8,True,400000000000.0,0.974180745358752,500000000.0,True,full,0.002,bbs_passivity2_hspice,passivity2,hspice,ok,0,False,0.0,C:\Cadence\Sigrity2024.1\tools\bin\BroadbandSPICE.exe,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/hspice/Agilent_E5071B.s4p,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/hspice/bbs_manifest.csv,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/hspice/BBSResult_Agilent_E5071B,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/hspice/BBSResult_Agilent_E5071B/Agilent_E5071B_BBSckt.txt,results/sparam_bbs_integration_v1_2026-06-16/selected_models/bbs/Agilent_E5071B_605d686c/bbs_passivity2_hspice/Agilent_E5071B_BBSckt.txt,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/hspice/BBSResult_Agilent_E5071B/Agilent_E5071B_Fitted.s4p,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/hspice/BBSResult_Agilent_E5071B/Error_Order.txt,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/hspice/BBSResult_Agilent_E5071B/Agilent_E5071B.rfm;results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/hspice/BBSResult_Agilent_E5071B/Agilent_E5071B_BBSckt.txt;results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/hspice/BBSResult_Agilent_E5071B/Agilent_E5071B_Fitted.s4p;results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/hspice/BBSResult_Agilent_E5071B/Agilent_E5071B_for_RFM.txt;results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/hspice/BBSResult_Agilent_E5071B/Agilent_E5071B_Foster.txt;results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/hspice/BBSResult_Agilent_E5071B/Error_Order.txt,,,,
Agilent_E5071B_605d686c,extra,extra,calibration,results/bbs_integration_canonical_inputs_2026-06-16/Agilent_E5071B.s4p,results/bbs_integration_canonical_inputs_2026-06-16/Agilent_E5071B.s4p,4,205,500000000.0,4500000000.0,S12,5000000000.0,True,0.1,8,True,400000000000.0,0.974180745358752,500000000.0,True,full,0.002,bbs_passivity2_gspice,passivity2,gspice,ok,0,False,0.0,C:\Cadence\Sigrity2024.1\tools\bin\BroadbandSPICE.exe,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/gspice/Agilent_E5071B.s4p,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/gspice/bbs_manifest.csv,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/gspice/BBSResult_Agilent_E5071B,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/gspice/BBSResult_Agilent_E5071B/Agilent_E5071B_GSPICE.txt,results/sparam_bbs_integration_v1_2026-06-16/selected_models/bbs/Agilent_E5071B_605d686c/bbs_passivity2_gspice/Agilent_E5071B_GSPICE.txt,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/gspice/BBSResult_Agilent_E5071B/Agilent_E5071B_Fitted.s4p,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/gspice/BBSResult_Agilent_E5071B/Error_Order.txt,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/gspice/BBSResult_Agilent_E5071B/Agilent_E5071B_Fitted.s4p;results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/gspice/BBSResult_Agilent_E5071B/Agilent_E5071B_GSPICE.txt;results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/bbs/passivity2/gspice/BBSResult_Agilent_E5071B/Error_Order.txt,,,Agilent_E5071B_GSPICE,results/sparam_bbs_integration_v1_2026-06-16/channels/Agilent_E5071B_605d686c/models/bbs_passivity2_gspice/Agilent_E5071B_605d686c_bbs_passivity2_gspice_ngspice_wrapper.sp
Clarity_example_4e655cc2,extra,extra,calibration,results/bbs_integration_canonical_inputs_2026-06-16/Clarity_example.S2P,results/bbs_integration_canonical_inputs_2026-06-16/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,full,0.002,bbs_passivity2_hspice,passivity2,hspice,ok,0,False,0.0,C:\Cadence\Sigrity2024.1\tools\bin\BroadbandSPICE.exe,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/hspice/Clarity_example.S2P,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/hspice/bbs_manifest.csv,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/hspice/BBSResult_Clarity_example,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/hspice/BBSResult_Clarity_example/Clarity_example_BBSckt.txt,results/sparam_bbs_integration_v1_2026-06-16/selected_models/bbs/Clarity_example_4e655cc2/bbs_passivity2_hspice/Clarity_example_BBSckt.txt,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/hspice/BBSResult_Clarity_example/Clarity_example_Fitted.s2p,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/hspice/BBSResult_Clarity_example/Error_Order.txt,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/hspice/BBSResult_Clarity_example/Clarity_example.rfm;results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/hspice/BBSResult_Clarity_example/Clarity_example_BBSckt.txt;results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/hspice/BBSResult_Clarity_example/Clarity_example_Fitted.s2p;results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/hspice/BBSResult_Clarity_example/Clarity_example_for_RFM.txt;results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/hspice/BBSResult_Clarity_example/Clarity_example_Foster.txt;results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/hspice/BBSResult_Clarity_example/Error_Order.txt,,,,
Clarity_example_4e655cc2,extra,extra,calibration,results/bbs_integration_canonical_inputs_2026-06-16/Clarity_example.S2P,results/bbs_integration_canonical_inputs_2026-06-16/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,full,0.002,bbs_passivity2_gspice,passivity2,gspice,ok,0,False,0.0,C:\Cadence\Sigrity2024.1\tools\bin\BroadbandSPICE.exe,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/gspice/Clarity_example.S2P,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/gspice/bbs_manifest.csv,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/gspice/BBSResult_Clarity_example,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/gspice/BBSResult_Clarity_example/Clarity_example_GSPICE.txt,results/sparam_bbs_integration_v1_2026-06-16/selected_models/bbs/Clarity_example_4e655cc2/bbs_passivity2_gspice/Clarity_example_GSPICE.txt,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/gspice/BBSResult_Clarity_example/Clarity_example_Fitted.s2p,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/gspice/BBSResult_Clarity_example/Error_Order.txt,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/gspice/BBSResult_Clarity_example/Clarity_example_Fitted.s2p;results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/gspice/BBSResult_Clarity_example/Clarity_example_GSPICE.txt;results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/bbs/passivity2/gspice/BBSResult_Clarity_example/Error_Order.txt,,,Clarity_example_GSPICE,results/sparam_bbs_integration_v1_2026-06-16/channels/Clarity_example_4e655cc2/models/bbs_passivity2_gspice/Clarity_example_4e655cc2_bbs_passivity2_gspice_ngspice_wrapper.sp
