view,ready,warn,fail,selected_models,ready_label_count,hspice_pass,hspice_warn,hspice_fail,hspice_error
rx_voltage_shape,0,1,1,1,0,0,0,1,0
rx_timing,1,0,1,1,0,0,1,0,0
rx,0,1,1,1,0,0,0,1,0
reflection,0,0,2,0,0,1,0,0,0
full_model,0,1,1,0,0,0,0,1,0
