edge,pad_ref_minus_pybis_rmse_mv,pad_ref_minus_ibis_rmse_mv,pad_pybis_minus_ibis_rmse_mv,load_ref_minus_pybis_rmse_mv
rising,40.055424106310525,33.933340002472434,6.364599010545254,39.781802566856705
falling,11.24036279362578,14.750110266182235,10.639698391957532,11.38074195803929
