channel_id,source,source_family,validation_split,channel_path,relative_path,ports,points,f_min_hz,f_max_hz,inventory_dominant_path,max_low_freq_start_hz,low_freq_coverage_ok,low_freq_coverage_ratio,min_frequency_points,frequency_point_count_ok,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,qualification_profile,selected_candidate,status,independent_trust_class,reason,selected_candidate_family,selected_fit_source,selected_use_scope,selected_dominant_path,selected_delay_estimate_ns,selected_basis_order,selected_ring_basis_count,selected_reflection_basis_count,selected_spice_file,selected_model_copy,selected_channel_model_copy,selected_model_order,selected_fit_complex_rms,selected_max_sv_high,independent_score,independent_fail_reasons,independent_warn_reasons
ntwk2_e1c16499,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk2.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk2.s2p,2,91,1000000000.0,10000000000.0,S12,5000000000.0,True,0.2,8,True,400000000000.0,1.0000000005841938,5700000000.0,False,fast_calibration,vector_5r5c,selected,WARN,"candidate selected by HSPICE-independent trust class, warning count, score, and model order",full_vector_fit,vector_fit_frequency_domain,general_multiport,,,,,,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/ntwk2_e1c16499/models/vector_5r5c/ntwk2_e1c16499_vector_5r5c.sp,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/selected_models/ntwk2_e1c16499.sp,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/ntwk2_e1c16499/selected_model.sp,15,3.1307336447400265e-10,1.0000000001430758,0.0671247976168301,,passivity_margin_low;rx_overshoot_margin;rx_undershoot_margin;threshold_delay_confidence_low;tx_edge_ringing_threshold_ambiguous;voltage_shape_ok_threshold_delay_low
ntwk3_ad74ab42,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk3.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk3.s2p,2,91,1000000000.0,10000000000.0,S12,5000000000.0,True,0.2,8,True,400000000000.0,0.999708035011139,1000000000.0,True,fast_calibration,,no_candidate_passed,FAIL,no candidate passed independent qualification gates,,,,,,,,,,,,,,,,,
ntwk4_806cfc7d,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4.s2p,2,301,70000000000.0,85000000000.0,S12,5000000000.0,False,14.0,8,True,400000000000.0,0.9075975599388516,70350000000.0,True,fast_calibration,,no_candidate_passed,FAIL,no candidate passed independent qualification gates,,,,,,,,,,,,,,,,,
ntwk4_n_6d3c414e,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4_n.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4_n.s2p,2,301,70000000000.0,85000000000.0,S12,5000000000.0,False,14.0,8,True,400000000000.0,0.9075975599388516,70350000000.0,True,fast_calibration,,no_candidate_passed,FAIL,no candidate passed independent qualification gates,,,,,,,,,,,,,,,,,
ntwk_arbitrary_frequency_3e8760a8,skrf_tests,skrf_tests,holdout,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_arbitrary_frequency.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_arbitrary_frequency.s2p,2,4,1.0,20.0,S12,5000000000.0,True,2e-10,8,False,400000000000.0,0.9999999997735052,1.0,True,fast_calibration,,no_candidate_passed,FAIL,no candidate passed independent qualification gates,,,,,,,,,,,,,,,,,
ntwk_noise_65eeb4e4,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise.s2p,2,11,1000000000.0,2000000000.0,S21,5000000000.0,True,0.2,8,True,400000000000.0,10.0,1000000000.0,False,fast_calibration,,no_candidate_passed,FAIL,no candidate passed independent qualification gates,,,,,,,,,,,,,,,,,
ntwk_noise_interp_a132609e,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise_interp.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise_interp.s2p,2,13,100000000.0,10000000000.0,S21,5000000000.0,True,0.02,8,True,400000000000.0,10.0,100000000.0,False,fast_calibration,,no_candidate_passed,FAIL,no candidate passed independent qualification gates,,,,,,,,,,,,,,,,,
ntwk1_e20029da,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk1.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk1.s2p,2,91,1000000000.0,10000000000.0,S12,5000000000.0,True,0.2,8,True,400000000000.0,1.0000000007608698,9000000000.0,False,fast_calibration,,no_candidate_passed,FAIL,no candidate passed independent qualification gates,,,,,,,,,,,,,,,,,
ntwk2_24638a5f,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk2.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk2.s2p,2,91,1000000000.0,10000000000.0,S12,5000000000.0,True,0.2,8,True,400000000000.0,1.0000000005841938,5700000000.0,False,fast_calibration,vector_5r5c,selected,WARN,"candidate selected by HSPICE-independent trust class, warning count, score, and model order",full_vector_fit,vector_fit_frequency_domain,general_multiport,,,,,,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/ntwk2_24638a5f/models/vector_5r5c/ntwk2_24638a5f_vector_5r5c.sp,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/selected_models/ntwk2_24638a5f.sp,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/ntwk2_24638a5f/selected_model.sp,15,3.1307336447400265e-10,1.0000000001430758,0.0671247976168301,,passivity_margin_low;rx_overshoot_margin;rx_undershoot_margin;threshold_delay_confidence_low;tx_edge_ringing_threshold_ambiguous;voltage_shape_ok_threshold_delay_low
ntwk3_8f8a2430,skrf_tests,skrf_tests,holdout,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk3.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk3.s2p,2,91,1000000000.0,10000000000.0,S12,5000000000.0,True,0.2,8,True,400000000000.0,0.999708035011139,1000000000.0,True,fast_calibration,,no_candidate_passed,FAIL,no candidate passed independent qualification gates,,,,,,,,,,,,,,,,,
