trace,wmodel_name,baseline_length_mm,ladder_sections,ro_ohm_per_m,lo_h_per_m,go_s_per_m,co_f_per_m,rs_ignored,gd_ignored,z0_ohm_ideal,delay_ns_for_baseline_length,r_ohm_per_mm,l_nh_per_mm,g_us_per_mm,c_pf_per_mm
trace01,Wmodel_Trace01::Sig,100.0,80,4.84853186,6.55731159e-07,0.0,4.37013845e-11,0.00126077349,0.0,122.49413985278925,0.5353163504703516,0.00484853186,0.6557311589999999,0.0,0.0437013845
trace02,Wmodel_Trace02::Sig,100.0,80,4.84853186,6.55731159e-07,0.0,4.37013845e-11,0.00126077349,0.0,122.49413985278925,0.5353163504703516,0.00484853186,0.6557311589999999,0.0,0.0437013845
trace03,Wmodel_Trace03::Sig,100.0,80,4.84853186,3.61203392e-07,0.0,8.30361947e-11,0.00171539844,0.0,65.95415958479265,0.5476582436557713,0.00484853186,0.361203392,0.0,0.0830361947
