edge,label,direction,input_50pct_ns,coefficient_signal,xyce_coeff_cross_ns,ngspice_coeff_cross_ns,xyce_pybis_tx_extreme_ns,xyce_pybis_tx_extreme_v,ngspice_pybis_tx_extreme_ns,ngspice_pybis_tx_extreme_v,xyce_refspice_tx_extreme_ns,xyce_refspice_tx_extreme_v,ngspice_refspice_tx_extreme_ns,ngspice_refspice_tx_extreme_v
E1,previous rise,rise,52.1,kd,52.088999255437884,52.084901839280946,52.18,-0.0692363887,52.17972431719112,-0.05548269311734532,52.800000000000004,0.0134549669,52.79314910563692,0.019114691647693544
E2,problem fall,fall,54.1,ku,54.11858076933335,54.113058144985104,54.24,2.19023476,54.24023060934143,2.1812688286852993,54.15,1.52956976,54.14838447211469,1.5239481500130936
E3,next rise,rise,56.1,kd,56.08899925543789,56.08621245831435,56.190000000000005,-0.130542719,56.19456299651778,-0.12032013267507516,56.449999999999996,-0.00937249932,56.46320509652947,-0.013697072928273078
