channel_id,candidate_id,case,edge_ps,side,signal,hspice_audit_class,rx_shape_hspice_audit_class,rx_timing_hspice_audit_class,reflection_hspice_audit_class,active_rmse_v,active_maxabs_v,plot
ntwk2_24638a5f,raw_vector_5r5c_lin,audit_amp1p5_edge500_r50,500.0,tx,v(p1),PASS,PASS,PASS,PASS,0.0021890146312875357,0.0025827526650958887,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\tx\ntwk2_24638a5f_raw_vector_5r5c_lin_audit_amp1p5_edge500_r50_tx.png
ntwk2_24638a5f,raw_vector_5r5c_lin,audit_amp1p5_edge500_r50,500.0,rx,v(p2),PASS,PASS,PASS,PASS,0.0010499973284028464,0.0017033056727694396,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\rx\ntwk2_24638a5f_raw_vector_5r5c_lin_audit_amp1p5_edge500_r50_rx.png
ntwk3_8f8a2430,raw_vector_5r5c_log,audit_amp1p5_edge5_r50,5.0,tx,v(p1),WARN,PASS,WARN,PASS,0.0003971571506112855,0.003837499342748435,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\tx\ntwk3_8f8a2430_raw_vector_5r5c_log_audit_amp1p5_edge5_r50_tx.png
ntwk3_8f8a2430,raw_vector_5r5c_log,audit_amp1p5_edge5_r50,5.0,rx,v(p2),WARN,PASS,WARN,PASS,0.0020794426587506594,0.01938866034167447,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\rx\ntwk3_8f8a2430_raw_vector_5r5c_log_audit_amp1p5_edge5_r50_rx.png
ntwk3_8f8a2430,raw_vector_5r5c_log,audit_amp1p5_edge50_r50,50.0,tx,v(p1),PASS,PASS,PASS,PASS,0.00018432148774199597,0.0016938135230757656,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\tx\ntwk3_8f8a2430_raw_vector_5r5c_log_audit_amp1p5_edge50_r50_tx.png
ntwk3_8f8a2430,raw_vector_5r5c_log,audit_amp1p5_edge50_r50,50.0,rx,v(p2),PASS,PASS,PASS,PASS,0.000795654531238877,0.0077662930839682565,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\rx\ntwk3_8f8a2430_raw_vector_5r5c_log_audit_amp1p5_edge50_r50_rx.png
ntwk3_8f8a2430,raw_vector_5r5c_log,audit_amp1p5_edge500_r50,500.0,tx,v(p1),PASS,PASS,PASS,PASS,2.2800697655621538e-05,0.0001519054099724526,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\tx\ntwk3_8f8a2430_raw_vector_5r5c_log_audit_amp1p5_edge500_r50_tx.png
ntwk3_8f8a2430,raw_vector_5r5c_log,audit_amp1p5_edge500_r50,500.0,rx,v(p2),PASS,PASS,PASS,PASS,0.000274989852055917,0.0007897160372483114,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\rx\ntwk3_8f8a2430_raw_vector_5r5c_log_audit_amp1p5_edge500_r50_rx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin,audit_amp1p5_edge5_r50,5.0,tx,v(p1),FAIL,FAIL,WARN,PASS,0.00817599378505233,0.0412880031643318,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\tx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_audit_amp1p5_edge5_r50_tx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin,audit_amp1p5_edge5_r50,5.0,rx,v(p2),FAIL,FAIL,WARN,PASS,0.04715127710963358,0.19666711928883485,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\rx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_audit_amp1p5_edge5_r50_rx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin,audit_amp1p5_edge50_r50,50.0,tx,v(p1),FAIL,FAIL,PASS,PASS,0.006649356387560488,0.02053560172787031,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\tx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_audit_amp1p5_edge50_r50_tx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin,audit_amp1p5_edge50_r50,50.0,rx,v(p2),FAIL,FAIL,PASS,PASS,0.023348112314136974,0.09833911188892541,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\rx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_audit_amp1p5_edge50_r50_rx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin,audit_amp1p5_edge500_r50,500.0,tx,v(p1),PASS,PASS,PASS,PASS,0.0038107116586001723,0.006588246931834275,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\tx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_audit_amp1p5_edge500_r50_tx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin,audit_amp1p5_edge500_r50,500.0,rx,v(p2),PASS,PASS,PASS,PASS,0.006424750303628422,0.019634684163285898,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\rx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_audit_amp1p5_edge500_r50_rx.png
Clarity_example_Fitted_55b55a71,raw_auto_fit_default,audit_amp1p5_edge5_r50,5.0,tx,v(p1),FAIL,FAIL,WARN,PASS,0.005993640466458068,0.02659558469523582,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\tx\Clarity_example_Fitted_55b55a71_raw_auto_fit_default_audit_amp1p5_edge5_r50_tx.png
Clarity_example_Fitted_55b55a71,raw_auto_fit_default,audit_amp1p5_edge5_r50,5.0,rx,v(p2),FAIL,FAIL,WARN,PASS,0.03644323717966242,0.18437255147055823,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\rx\Clarity_example_Fitted_55b55a71_raw_auto_fit_default_audit_amp1p5_edge5_r50_rx.png
Clarity_example_Fitted_55b55a71,raw_auto_fit_default,audit_amp1p5_edge50_r50,50.0,tx,v(p1),FAIL,FAIL,PASS,PASS,0.005336385581980265,0.02530901746738423,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\tx\Clarity_example_Fitted_55b55a71_raw_auto_fit_default_audit_amp1p5_edge50_r50_tx.png
Clarity_example_Fitted_55b55a71,raw_auto_fit_default,audit_amp1p5_edge50_r50,50.0,rx,v(p2),FAIL,FAIL,PASS,PASS,0.04351635251838372,0.1562207123363185,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\rx\Clarity_example_Fitted_55b55a71_raw_auto_fit_default_audit_amp1p5_edge50_r50_rx.png
Clarity_example_Fitted_55b55a71,raw_auto_fit_default,audit_amp1p5_edge500_r50,500.0,tx,v(p1),PASS,PASS,PASS,PASS,0.0011130467028052946,0.0021272690446341724,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\tx\Clarity_example_Fitted_55b55a71_raw_auto_fit_default_audit_amp1p5_edge500_r50_tx.png
Clarity_example_Fitted_55b55a71,raw_auto_fit_default,audit_amp1p5_edge500_r50,500.0,rx,v(p2),PASS,PASS,PASS,PASS,0.0041704767135726925,0.010324088973146739,results\sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2\plots\side_overlays\rx\Clarity_example_Fitted_55b55a71_raw_auto_fit_default_audit_amp1p5_edge500_r50_rx.png
