case_id,flow,vs_native_rmse_mV,vs_native_max_mV,vs_transistor_rmse_mV,vs_transistor_max_mV,native_vs_transistor_rmse_mV,pad_peak_v,pad_peak_time_ns,pad_peak_from_reverse_ns,pad_min_v,pad_min_time_ns,pad_span_v
edge_1ps_base_50r_2pf,hspice_native_ibis,0.0,0.0,462.1879957547817,1378.7290092723754,525.4983749079596,1.55356,15.331760000000001,0.33126000000000033,-0.01111205,5.90782,1.56467205
edge_1ps_base_50r_2pf,hspice_transistor_sp,525.4983749079596,1379.4850229527433,0.0,0.0,525.4983749079596,1.668282,15.05842,0.057919999999999305,-0.01313554,5.395499,1.68141754
edge_1ps_base_50r_2pf,ngspice_legacy,5.2891792703694325,16.780177326762626,464.9586873720704,1384.8250930363413,525.4983749079596,1.557105684323215,15.35106122499572,0.35056122499571885,-0.01112300676810692,5.920349999999979,1.568228691091322
edge_1ps_base_50r_2pf,ngspice_value_match_v2,5.211436302590315,16.13282049112319,465.0777704732575,1385.1795402280175,525.4983749079596,1.557747502210031,15.350598051235389,0.3500980512353884,-0.01112300676810691,5.92030286191198,1.568870508978138
edge_1ps_base_50r_2pf,ngspice_two_state_directional_residual,18.73901674545674,45.18216196334896,466.0841176307579,1391.9008487350425,525.4983749079596,1.559826558407038,15.448359176830358,0.4478591768303577,0.001172309969644706,6.073739999999976,1.5586542484373933
edge_1ps_base_50r_2pf,ngspice_two_state_directional_residual_recover_mean,18.738298141359365,45.18151298095458,466.08413585296506,1391.9009012364043,525.4983749079596,1.559826606820411,15.448359176830062,0.44785917683006105,0.001172309969644706,6.073739999999976,1.5586542968507662
edge_1ps_base_50r_2pf,ngspice_two_state_directional_residual_recover_fast,18.73693177415519,45.17774499801597,466.08413533328127,1391.9009012364043,525.4983749079596,1.559826606820411,15.448359176830062,0.44785917683006105,0.001172309969644706,6.073739999999976,1.5586542968507662
short_pulse_500ps_high,hspice_native_ibis,0.0,0.0,37.98511553707971,90.373921,30.529192815773143,0.04775305,7.282897,1.7823970000000005,-0.01137848,5.883696,0.05913153
short_pulse_500ps_high,hspice_transistor_sp,30.529192815773143,90.373921,0.0,0.0,30.529192815773143,0.04257207,5.001,-0.4994999999999994,-0.09168761,5.501,0.13425968
short_pulse_500ps_high,ngspice_legacy,678.8631624717939,1519.2086380314574,518.5478028129808,1514.551664666964,30.529192815773143,1.515503621591943,5.959989490433335,0.4594894904333353,-0.001281098616569317,5.500543082703743,1.5167847202085123
short_pulse_500ps_high,ngspice_value_match_v2,20.176417993346018,47.71150165830906,36.728119588134135,90.40367599630954,30.529192815773143,0.0118167034489161,5.649717504833616,0.14921750483361595,-0.001450759096450287,5.540812879256996,0.013267462545366386
short_pulse_500ps_high,ngspice_two_state_directional_residual,40.99697308131774,99.70214038715314,43.05878737531673,104.22586277827722,30.529192815773143,0.1047900375245025,7.934347341896624,2.433847341896624,0.001173076042052103,5.383739999999992,0.10361696148245039
short_pulse_500ps_high,ngspice_two_state_directional_residual_recover_mean,28.326945207156992,59.682955997114554,41.1223376535447,92.86086599161658,30.529192815773143,0.0923407668069371,7.475013421022865,1.9745134210228654,0.001173076042052103,5.383739999999992,0.091167690764885
short_pulse_500ps_high,ngspice_two_state_directional_residual_recover_fast,13.506397457046146,35.474815497987585,39.136599097245934,92.86086599161658,30.529192815773143,0.0423500669107001,7.219640433410595,1.7191404334105949,0.001173076042052103,5.383739999999992,0.041176990868648
short_pulse_1ns_high,hspice_native_ibis,0.0,0.0,42.88793648126189,132.81201764269494,40.13556264906951,0.06159213,6.490946999999999,0.49044699999999963,-0.01111205,5.90782,0.07270418000000001
short_pulse_1ns_high,hspice_transistor_sp,40.13556264906951,132.74787923334904,0.0,0.0,40.13556264906951,0.129122,6.071154,0.07065400000000022,-0.02939447,6.452651,0.15851647
short_pulse_1ns_high,ngspice_legacy,653.2560845126897,1457.9885585552738,574.3628596202371,1544.9053347387942,40.13556264906951,1.515689721981446,6.460595156810927,0.4600951568109277,-0.01112300676810692,5.920349999999979,1.526812728749553
short_pulse_1ns_high,ngspice_value_match_v2,25.579312278329954,57.89476009502667,37.048934053913094,127.8278566168968,40.13556264906951,0.01290473603390271,6.166061546121989,0.1655615461219897,-0.01112300676810691,5.92030286191198,0.02402774280200962
short_pulse_1ns_high,ngspice_two_state_directional_residual,21.914040194989145,44.69446892830654,37.43168750051645,127.94448339673725,40.13556264906951,0.03701857199397164,6.449915581006918,0.44941558100691825,0.0005880807984018362,6.902422295203674,0.036430491195569806
short_pulse_1ns_high,ngspice_two_state_directional_residual_recover_mean,22.171508189377665,44.753237430026715,37.428911241255754,127.94448339673725,40.13556264906951,0.03701857199397164,6.449915581006918,0.44941558100691825,0.0005880807984018362,6.902422295203674,0.036430491195569806
short_pulse_1ns_high,ngspice_two_state_directional_residual_recover_fast,22.83729549469275,46.65185197110076,37.4397054021911,127.94448339673725,40.13556264906951,0.03701857199397164,6.449915581006918,0.44941558100691825,0.0005880807984018362,6.902422295203674,0.036430491195569806
short_pulse_2ns_high,hspice_native_ibis,0.0,0.0,418.8763938744727,874.1516945359053,399.3096996667208,0.8250917,7.424741,0.4242410000000003,-0.01111205,5.90782,0.83620375
short_pulse_2ns_high,hspice_transistor_sp,399.3096996667208,871.1966827505822,0.0,0.0,399.3096996667208,1.214666,7.073531,0.07303100000000029,-0.01310613,5.394266,1.22777213
short_pulse_2ns_high,ngspice_legacy,361.3616426183236,946.8966623382855,538.1666614475923,1428.5018947268388,399.3096996667208,1.521515488949955,7.449062654996797,0.44856265499679715,-0.01112300676810692,5.920349999999979,1.5326384957180619
short_pulse_2ns_high,ngspice_value_match_v2,243.54942334075673,777.4462773329436,421.5945233476531,954.0796371210149,399.3096996667208,0.3061855961283133,7.04082967403022,0.04032967403021992,-0.01112300676810691,5.92030286191198,0.3173086028964202
short_pulse_2ns_high,ngspice_two_state_directional_residual,93.58749157556,373.173417038032,443.76551356111923,903.4816255505317,399.3096996667208,0.9759858603591607,7.542066901880612,0.5415669018806124,0.001172309969644706,6.073739999999976,0.974813550389516
short_pulse_2ns_high,ngspice_two_state_directional_residual_recover_mean,93.66978092330616,373.173417038032,443.7657595920634,903.4816255505317,399.3096996667208,0.9759858603591607,7.542066901880612,0.5415669018806124,0.001098512556183344,9.545455178194286,0.9748873478029774
short_pulse_2ns_high,ngspice_two_state_directional_residual_recover_fast,93.70293223641131,373.173417038032,443.7761253062928,903.4816255505317,399.3096996667208,0.9759858603591607,7.542066901880612,0.5415669018806124,0.0006420837613405186,8.906455178194301,0.9753437765978201
double_toggle_1ps,hspice_native_ibis,0.0,0.0,180.3837070033552,604.5999555869436,233.89239773056207,1.544745,7.950312,2.948812,-0.00105496,5.3952029999999995,1.54579996
double_toggle_1ps,hspice_transistor_sp,233.89239773056207,605.5953760974894,0.0,0.0,233.89239773056207,1.502684,7.995012,2.993512,-0.01311039,5.394755999999999,1.51579439
double_toggle_1ps,ngspice_legacy,567.5227398495144,1387.5240568360668,288.4623678309331,859.6938488724808,233.89239773056207,1.202013329180049,8.002910180090039,3.001410180090039,-0.01095804007293149,5.920616744729475,1.2129713692529804
double_toggle_1ps,ngspice_value_match_v2,566.8409550543947,1386.8012834968715,288.09107467689347,858.5454274690329,233.89239773056207,1.201832461769563,8.002983527027979,3.001483527027979,-0.01111722944723445,5.9200182307822224,1.2129496912167974
double_toggle_1ps,ngspice_two_state_directional_residual,569.2936493593821,1388.428675576827,290.2044132819615,864.6607281360504,233.89239773056207,1.198555107338015,8.00284238700473,3.0013423870047298,0.001171342205429814,6.081515113353974,1.1973837651325852
double_toggle_1ps,ngspice_two_state_directional_residual_recover_mean,569.2936493593821,1388.428675576827,290.2044132819615,864.6607281360504,233.89239773056207,1.198555107338015,8.00284238700473,3.0013423870047298,0.001171342205429814,6.081515113353974,1.1973837651325852
double_toggle_1ps,ngspice_two_state_directional_residual_recover_fast,569.2936493593821,1388.428675576827,290.2044132819615,864.6607281360504,233.89239773056207,1.198555107338015,8.00284238700473,3.0013423870047298,0.001171342205429814,6.081515113353974,1.1973837651325852
short_pulse_500ps_low,hspice_native_ibis,0.0,0.0,692.8758376372449,1381.4597970568275,612.6086075534806,1.553942,10.344470000000001,0.34397000000000055,-0.01111205,5.90782,1.5650540499999999
short_pulse_500ps_low,hspice_transistor_sp,612.6086075534806,1380.7727429641684,0.0,0.0,612.6086075534806,1.662844,10.05823,0.05772999999999939,-0.03284776,10.88811,1.6956917599999999
short_pulse_500ps_low,ngspice_legacy,506.0914952108818,1388.2976054155672,601.5562019898234,1328.543228857576,612.6086075534806,1.556340327318644,10.35106122499771,0.35056122499771014,-0.01112328677799423,11.42163742783259,1.5674636140966383
short_pulse_500ps_low,ngspice_value_match_v2,506.58628183671937,1387.8018613958177,600.2364656953946,1329.0151617824451,612.6086075534806,1.556966549603568,10.35059805125141,0.35009805125140936,-0.01112300676810691,5.92030286191198,1.568089556371675
short_pulse_500ps_low,ngspice_two_state_directional_residual,366.4144398060588,1324.878367433407,698.6817095592493,1343.1806401290223,612.6086075534806,1.549998425358924,10.44189398187215,0.4413939818721495,0.001172309969644706,6.073739999999976,1.5488261153892793
short_pulse_500ps_low,ngspice_two_state_directional_residual_recover_mean,366.38666293174697,1324.8783248243724,698.6642876948359,1343.180779036608,612.6086075534806,1.549998428204141,10.44189398187214,0.44139398187213885,0.001172309969644706,6.073739999999976,1.5488261182344962
short_pulse_500ps_low,ngspice_two_state_directional_residual_recover_fast,366.38564100904694,1324.876293468176,698.6678462626563,1343.180779036608,612.6086075534806,1.549998428204141,10.44189398187214,0.44139398187213885,0.001172309969644706,6.073739999999976,1.5488261182344962
short_pulse_1ns_low,hspice_native_ibis,0.0,0.0,473.7473105102178,1380.4151519374577,546.1480592837719,1.553942,10.344470000000001,0.34397000000000055,-0.01111205,5.90782,1.5650540499999999
short_pulse_1ns_low,hspice_transistor_sp,546.1480592837719,1380.7023889534537,0.0,0.0,546.1480592837719,1.662844,10.05823,0.05772999999999939,-0.04002182,11.444849999999999,1.70286582
short_pulse_1ns_low,ngspice_legacy,385.09368551395175,1388.4425269144535,486.7223321586179,1385.600453874966,546.1480592837719,1.556340327318644,10.35106122499771,0.35056122499771014,-0.01112300676810692,5.920349999999979,1.567463334086751
short_pulse_1ns_low,ngspice_value_match_v2,384.50111434860077,1387.4190996449533,486.0636959205595,1385.8970174880183,546.1480592837719,1.556966549603568,10.35059805125141,0.35009805125140936,-0.01112300676810691,5.92030286191198,1.568089556371675
short_pulse_1ns_low,ngspice_two_state_directional_residual,366.8524908165163,1332.1313101986148,486.9732998319788,1376.3790742480453,546.1480592837719,1.549998425358924,10.44189398187215,0.4413939818721495,0.001172309969644706,6.073739999999976,1.5488261153892793
short_pulse_1ns_low,ngspice_two_state_directional_residual_recover_mean,366.85458315417225,1332.1546460328823,486.9709230129339,1376.3790785085841,546.1480592837719,1.549998428204141,10.44189398187214,0.44139398187213885,0.001172309969644706,6.073739999999976,1.5488261182344962
short_pulse_1ns_low,ngspice_two_state_directional_residual_recover_fast,366.836434343617,1332.1563535203038,486.9594156923191,1376.3790785085841,546.1480592837719,1.549998428204141,10.44189398187214,0.44139398187213885,0.001172309969644706,6.073739999999976,1.5488261182344962
short_pulse_2ns_low,hspice_native_ibis,0.0,0.0,425.5941937450014,1380.4151519374577,540.9370808746534,1.553942,10.344470000000001,0.34397000000000055,-0.01111205,5.90782,1.5650540499999999
short_pulse_2ns_low,hspice_transistor_sp,540.9370808746534,1380.7023889534537,0.0,0.0,540.9370808746534,1.662844,10.05823,0.05772999999999939,-0.01313554,5.395499,1.67597954
short_pulse_2ns_low,ngspice_legacy,15.866475887810257,49.81965209388167,427.50408773429524,1385.600453874966,540.9370808746534,1.556340327318644,10.35106122499771,0.35056122499771014,-0.0111248238517722,12.920741695973101,1.5674651511704163
short_pulse_2ns_low,ngspice_value_match_v2,15.85556955195427,49.81690716432865,427.6153712804217,1385.8970174880183,540.9370808746534,1.556966549603568,10.35059805125141,0.35009805125140936,-0.01112300676810691,5.92030286191198,1.568089556371675
short_pulse_2ns_low,ngspice_two_state_directional_residual,23.27060260959992,68.54944926402857,427.41941685019356,1376.3790742480453,540.9370808746534,1.549998425358924,10.44189398187215,0.4413939818721495,0.001163267352709838,13.245324833264029,1.5488351580062143
short_pulse_2ns_low,ngspice_two_state_directional_residual_recover_mean,15.06137681552841,45.32051471970904,424.64278846168304,1376.3790785085841,540.9370808746534,1.549998428204141,10.44189398187214,0.44139398187213885,0.001165424268948285,13.23469328308196,1.5488330039351927
short_pulse_2ns_low,ngspice_two_state_directional_residual_recover_fast,15.048079670785635,45.32880726349652,424.63331329881674,1376.3790785085841,540.9370808746534,1.549998428204141,10.44189398187214,0.44139398187213885,0.001161787172965964,13.24558443486547,1.5488366410311751
