case_id,flow,pulse_width_ns,pad_peak_v,pad_peak_time_ns,pad_peak_from_reverse_ns,pad_min_v,pad_min_time_ns,pad_span_v,ku_peak,ku_min,kd_peak,kd_min
short_pulse_500ps_high,hspice_native_ibis,0.5,0.04775305,7.282897,1.7823970000000005,-0.01137848,5.883696,0.05913153,0.04662606,-0.02255031,1.002261,-0.02253873
short_pulse_500ps_high,hspice_transistor_sp,0.5,0.04257207,5.001,-0.4994999999999994,-0.09168761,5.501,0.13425968,,,,
short_pulse_500ps_high,ngspice_legacy,0.5,1.515503621591943,5.959989490433335,0.4594894904333353,-0.001281098616569317,5.500543082703743,1.5167847202085123,1.014141054647052,-0.01847480540716917,1.004519734590872,-0.07278640321626727
short_pulse_500ps_high,ngspice_value_match_v2,0.5,0.0118167034489161,5.649717504833616,0.14921750483361595,-0.001450759096450287,5.540812879256996,0.013267462545366386,0.02952942452868074,-0.002730755400144238,1.004518851504735,0.9308902955208387
short_pulse_500ps_high,ngspice_two_state_directional_residual,0.5,0.1047900375245025,7.934347341896624,2.433847341896624,0.001173076042052103,5.383739999999992,0.10361696148245039,0.06130650340710148,0.001940593158953212,1.003734669637598,-0.01669214434292115
short_pulse_500ps_high,ngspice_two_state_directional_residual_recover_mean,0.5,0.0923407668069371,7.475013421022865,1.9745134210228654,0.001173076042052103,5.383739999999992,0.091167690764885,0.06130650333368647,0.001940593158953212,1.003734669637598,0.01433018145458143
short_pulse_500ps_high,ngspice_two_state_directional_residual_recover_fast,0.5,0.0423500669107001,7.219640433410595,1.7191404334105949,0.001173076042052103,5.383739999999992,0.041176990868648,0.06130650333887136,0.001940593158953212,1.033493330456184,0.07836044011412077
short_pulse_1ns_high,hspice_native_ibis,1.0,0.06159213,6.490946999999999,0.49044699999999963,-0.01111205,5.90782,0.07270418000000001,0.07455821,-0.02295883,1.005403,-0.06318683
short_pulse_1ns_high,hspice_transistor_sp,1.0,0.129122,6.071154,0.07065400000000022,-0.02939447,6.452651,0.15851647,,,,
short_pulse_1ns_high,ngspice_legacy,1.0,1.515689721981446,6.460595156810927,0.4600951568109277,-0.01112300676810692,5.920349999999979,1.526812728749553,1.012677262807116,-0.02369767416068873,1.006496600860656,-0.07272913502585919
short_pulse_1ns_high,ngspice_value_match_v2,1.0,0.01290473603390271,6.166061546121989,0.1655615461219897,-0.01112300676810691,5.92030286191198,0.02402774280200962,0.0335149002051458,-0.02369767416068862,1.006496600860656,0.9095367468206562
short_pulse_1ns_high,ngspice_two_state_directional_residual,1.0,0.03701857199397164,6.449915581006918,0.44941558100691825,0.0005880807984018362,6.902422295203674,0.036430491195569806,0.06970554279664731,0.0001203495091842195,1.005594269581113,-0.01867195842822209
short_pulse_1ns_high,ngspice_two_state_directional_residual_recover_mean,1.0,0.03701857199397164,6.449915581006918,0.44941558100691825,0.0005880807984018362,6.902422295203674,0.036430491195569806,0.06970554279664731,0.0001203495091842195,1.005944292051622,-0.01172391560490614
short_pulse_1ns_high,ngspice_two_state_directional_residual_recover_fast,1.0,0.03701857199397164,6.449915581006918,0.44941558100691825,0.0005880807984018362,6.902422295203674,0.036430491195569806,0.06970554279664731,0.0001203495091842195,1.036841678706577,-0.01172391560490614
short_pulse_2ns_high,hspice_native_ibis,2.0,0.8250917,7.424741,0.4242410000000003,-0.01111205,5.90782,0.83620375,0.5431727,-0.02295883,1.005403,-0.07198926
short_pulse_2ns_high,hspice_transistor_sp,2.0,1.214666,7.073531,0.07303100000000029,-0.01310613,5.394266,1.22777213,,,,
short_pulse_2ns_high,ngspice_legacy,2.0,1.521515488949955,7.449062654996797,0.44856265499679715,-0.01112300676810692,5.920349999999979,1.5326384957180619,1.012587552075471,-0.02369767416068873,1.006496600860656,-0.07269921153929446
short_pulse_2ns_high,ngspice_value_match_v2,2.0,0.3061855961283133,7.04082967403022,0.04032967403021992,-0.01112300676810691,5.92030286191198,0.3173086028964202,0.2820024499765518,-0.02369767416068862,1.006496600860656,-0.02025397362975623
short_pulse_2ns_high,ngspice_two_state_directional_residual,2.0,0.9759858603591607,7.542066901880612,0.5415669018806124,0.001172309969644706,6.073739999999976,0.974813550389516,0.719994443396923,-0.008227985502968738,1.005594269581113,-0.07006677250861812
short_pulse_2ns_high,ngspice_two_state_directional_residual_recover_mean,2.0,0.9759858603591607,7.542066901880612,0.5415669018806124,0.001098512556183344,9.545455178194286,0.9748873478029774,0.719994443396923,-0.008227985502968738,1.005966924375023,-0.07006677250861812
short_pulse_2ns_high,ngspice_two_state_directional_residual_recover_fast,2.0,0.9759858603591607,7.542066901880612,0.5415669018806124,0.0006420837613405186,8.906455178194301,0.9753437765978201,0.719994443396923,-0.008227985502968738,1.036952259002046,-0.07006677250861812
