case,return_code,raw,log,points,v(p1)_max_v,v(p3)_max_v
audit_amp1p5_edge5_r50,0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch10_35_8F_t/ngspice/audit_amp1p5_edge5_r50.raw,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch10_35_8F_t/ngspice/audit_amp1p5_edge5_r50.log,7050,0.75,0.6652323555732252
audit_amp1p5_edge50_r50,0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch10_35_8F_t/ngspice/audit_amp1p5_edge50_r50.raw,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch10_35_8F_t/ngspice/audit_amp1p5_edge50_r50.log,7034,0.75,0.6651424556198442
audit_amp1p5_edge500_r50,0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch10_35_8F_t/ngspice/audit_amp1p5_edge500_r50.raw,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch10_35_8F_t/ngspice/audit_amp1p5_edge500_r50.log,7020,0.75,0.6651174646921021
