case_id,description,pattern,pulse_high_ns,legacy_pad_active_rmse_v,legacy_ku_active_rmse,legacy_kd_active_rmse,legacy_ku_peak,legacy_kd_min,legacy_overlap_energy_ns,legacy_coeff_range_ok,legacy_status,short_hybrid_pad_active_rmse_v,short_hybrid_ku_active_rmse,short_hybrid_kd_active_rmse,short_hybrid_ku_peak,short_hybrid_kd_min,short_hybrid_overlap_energy_ns,short_hybrid_coeff_range_ok,short_hybrid_status,gate_hybrid_pad_active_rmse_v,gate_hybrid_ku_active_rmse,gate_hybrid_kd_active_rmse,gate_hybrid_ku_peak,gate_hybrid_kd_min,gate_hybrid_overlap_energy_ns,gate_hybrid_coeff_range_ok,gate_hybrid_status,gate_full_pad_active_rmse_v,gate_full_ku_active_rmse,gate_full_kd_active_rmse,gate_full_ku_peak,gate_full_kd_min,gate_full_overlap_energy_ns,gate_full_coeff_range_ok,gate_full_status
edge_1ps_base_50r_2pf,"Baseline 1 ps rise/fall, 50 ohm + 2 pF",rise_fall,,0.005289179270369432,0.0043424415275439545,0.005607643494728418,1.011993411977149,-0.07176545831892066,0.08805064370584732,True,GOOD,0.00596063853635433,0.0046202973658805045,0.006920559707790945,1.0107700986407837,-0.07176309963310286,0.08834100343973536,True,GOOD,0.00919367677954168,0.006838470045130951,0.010224374957060044,1.0100286494456414,-0.07185893493012933,0.08819447766148272,True,WARN,0.06762370717947347,0.04712645430412393,0.02878138987127298,0.9953500425260849,0.0011539569617874134,0.057354233985255264,True,CHECK
short_pulse_500ps_high,"500 ps high pulse with 1 ps edges, 50 ohm + 2 pF",short_pulse,0.5,0.6788631624717939,0.5024469167360023,0.5784688091362512,1.0125315794000251,-0.07171960195953175,0.011619972980936467,True,CHECK,0.04757486682210295,0.07830824957260368,0.4925749162140876,0.20249162670194187,0.12327792804274404,0.11944765045939915,True,CHECK,0.011746015171110943,0.013814568733178604,0.6266791489941532,0.019496800226019385,0.0035526988734245145,0.0032099962743981935,True,CHECK,0.0244770010653316,0.014219171830499373,0.6276792054317607,0.051507253184978063,0.002172638421815953,0.006270439192357034,True,CHECK
short_pulse_1ns_high,"1 ns high pulse with 1 ps edges, 50 ohm + 2 pF",short_pulse,1.0,0.6532560845126897,0.4704147907901465,0.5038066834239642,1.012537321335477,-0.07176545831889017,0.011341953063584136,True,CHECK,0.0878895046571619,0.12790855525562134,0.3699256409638254,0.36063915927990403,0.016774422217996493,0.1870632293483058,True,CHECK,0.02964772894699204,0.03120758961837705,0.48874376539884706,0.058609542308875454,0.0024890858084829887,0.006736463446375169,True,CHECK,0.028904788750871917,0.027164521204576624,0.48988961959690663,0.05860954230887551,0.0012537705098779825,0.008825086722121,True,CHECK
short_pulse_2ns_high,"2 ns high pulse with 1 ps edges, 50 ohm + 2 pF",short_pulse,2.0,0.3613616426183236,0.2833019281281989,0.23141813087362825,1.012537321335477,-0.07240746584312961,0.04630958986444791,True,CHECK,0.116976240180345,0.08738695387805437,0.16077705306338091,0.5906026543886469,0.0013430374824426926,0.05278624233561953,True,CHECK,0.062112885587674485,0.05488370019936523,0.22606230508361305,0.566020994226117,0.0010975044256644943,0.04171820694336914,True,CHECK,0.06371744310836734,0.06036955102830758,0.22774995582507876,0.5649655272837117,0.001155620137129574,0.020602941032806174,True,CHECK
