variant,model,return_code,output_exists,raw,log,rise_10to11_count,rise_10to11_min_ps,rise_10to11_max_ps,rise_10to11_values_ps
baseline_pre_kukd,results/driver_OutputInput_Typical_pre_kukd_3e0bf44.sub,1,False,results/ngspice_kukd_ab_context38_2026-05-11/runs/baseline_pre_kukd/ui2_len30cm_loss5_coarse10_ngspice_pybis_baseline_pre_kukd.raw,results/ngspice_kukd_ab_context38_2026-05-11/runs/baseline_pre_kukd/ui2_len30cm_loss5_coarse10_baseline_pre_kukd.log,,,,
current_kukd,ngspice_pybis/driver_OutputInput_Typical.sub,0,True,results/ngspice_kukd_ab_context38_2026-05-11/runs/current_kukd/ui2_len30cm_loss5_coarse10_ngspice_pybis_current_kukd.raw,results/ngspice_kukd_ab_context38_2026-05-11/runs/current_kukd/ui2_len30cm_loss5_coarse10_current_kukd.log,2,181.74030045736092,196.22598755253964,196.226;181.740
