case_id,description,pattern,pulse_high_ns,legacy_pad_active_rmse_v,legacy_pad_active_max_v,legacy_ku_active_rmse,legacy_kd_active_rmse,legacy_ku_peak,legacy_kd_min,legacy_coeff_range_ok,legacy_ku_jump_at_retrigger,legacy_kd_jump_at_retrigger,legacy_status,coeff_state_pad_active_rmse_v,coeff_state_pad_active_max_v,coeff_state_ku_active_rmse,coeff_state_kd_active_rmse,coeff_state_ku_peak,coeff_state_kd_min,coeff_state_coeff_range_ok,coeff_state_ku_jump_at_retrigger,coeff_state_kd_jump_at_retrigger,coeff_state_status,hybrid_branch_pad_active_rmse_v,hybrid_branch_pad_active_max_v,hybrid_branch_ku_active_rmse,hybrid_branch_kd_active_rmse,hybrid_branch_ku_peak,hybrid_branch_kd_min,hybrid_branch_coeff_range_ok,hybrid_branch_ku_jump_at_retrigger,hybrid_branch_kd_jump_at_retrigger,hybrid_branch_status,hybrid_main_slope_pad_active_rmse_v,hybrid_main_slope_pad_active_max_v,hybrid_main_slope_ku_active_rmse,hybrid_main_slope_kd_active_rmse,hybrid_main_slope_ku_peak,hybrid_main_slope_kd_min,hybrid_main_slope_coeff_range_ok,hybrid_main_slope_ku_jump_at_retrigger,hybrid_main_slope_kd_jump_at_retrigger,hybrid_main_slope_status,hybrid_constrained_pad_active_rmse_v,hybrid_constrained_pad_active_max_v,hybrid_constrained_ku_active_rmse,hybrid_constrained_kd_active_rmse,hybrid_constrained_ku_peak,hybrid_constrained_kd_min,hybrid_constrained_coeff_range_ok,hybrid_constrained_ku_jump_at_retrigger,hybrid_constrained_kd_jump_at_retrigger,hybrid_constrained_status
edge_1ps_base_50r_2pf,"Baseline 1 ps rise/fall, 50 ohm + 2 pF",rise_fall,,0.005289179270369432,0.016780177326762624,0.0043424415275439545,0.005607643494728418,1.011993411977149,-0.07176545831892066,True,0.0060293059591601805,0.0015599621388583526,GOOD,0.1507440698943726,0.4084742655665227,0.1341134158644908,0.1860789798584822,0.9782798414767484,0.0010957485767565532,True,6.653105687437488e-05,1.9682606239301847e-15,CHECK,0.00596063853635433,0.01792388680545398,0.0046202973658805045,0.006920559707790945,1.0107700986407837,-0.07176309963310286,True,0.0032362686580409417,0.0015608701743544517,GOOD,0.0059570309006932035,0.01792388483473839,0.004620297694806615,0.006920568808882067,1.0107700986407828,-0.07176309963310339,True,0.003236268658043273,0.0015608701743541837,GOOD,0.0059606385377428866,0.01792388680545398,0.004620297366198951,0.0069205597101023595,1.0107700986407837,-0.07176309963310286,True,0.0032362686580409417,0.0015608701743544517,GOOD
short_pulse_500ps_high,"500 ps high pulse with 1 ps edges, 50 ohm + 2 pF",short_pulse,0.5,0.6788631624717939,1.5192086380314573,0.5024469167360023,0.5784688091362512,1.0125315794000251,-0.07171960195953175,True,1.0026008503484238,1.0018020725598422,CHECK,0.04771882722038761,0.11795991429625127,0.07870579251050797,0.4925403841423711,0.20268528549368506,0.12358650247203073,True,0.002277011573815744,4.440892098500626e-16,CHECK,0.04757486682210295,0.1177859461571913,0.07830824957260368,0.4925749162140876,0.20249162670194187,0.12327792804274404,True,0.00990621107072866,0.0010091365413382736,CHECK,0.06333990272583252,0.15312923179317722,0.057318381990773846,0.507441096012762,0.1992001847182882,0.1259973969100618,True,0.0014114773266980947,0.0010126670363148627,CHECK,0.05855771558363793,0.22055722824432708,0.04565872110293687,0.4925821135299475,0.20247734239847223,0.12321566175267266,True,0.0014114773266980947,0.0010126670363148627,CHECK
short_pulse_1ns_high,"1 ns high pulse with 1 ps edges, 50 ohm + 2 pF",short_pulse,1.0,0.6532560845126897,1.4579885585552739,0.4704147907901465,0.5038066834239642,1.012537321335477,-0.07176545831889017,True,1.0115220290662483,1.003074248053177,CHECK,0.09816132192673542,0.1897266401965425,0.14391417614780744,0.3699348346269751,0.36061739320937936,0.016777661673171084,True,0.0018080928896592463,4.440892098500626e-16,CHECK,0.0878895046571619,0.18917301190982977,0.12790855525562134,0.3699256409638254,0.36063915927990403,0.016774422217996493,True,0.06791543958737285,0.001218592639513627,CHECK,0.1764147248029724,0.3950868745688503,0.13380736075734506,0.3945241700825158,0.3624356514562112,0.0164614929621287,True,0.0039040387952276826,0.001216861695386262,CHECK,0.15522436364074424,0.5479871671981646,0.10426518488338073,0.3699340330229699,0.35882361317702927,0.016772507929732432,True,0.0039040387952276826,0.001216861695386262,CHECK
short_pulse_2ns_high,"2 ns high pulse with 1 ps edges, 50 ohm + 2 pF",short_pulse,2.0,0.3613616426183236,0.9468966623382855,0.2833019281281989,0.23141813087362825,1.012537321335477,-0.07240746584312961,True,0.7330050250303745,0.053807035572748026,CHECK,0.20420500684024073,0.4075068708200529,0.1624438776966828,0.162157185920713,0.590640664016778,0.0013431178004039092,True,0.0018206449347043518,0.003405024327629874,CHECK,0.116976240180345,0.3463873533282154,0.08738695387805437,0.16077705306338091,0.5906026543886469,0.0013430374824426926,True,0.08020559291827373,0.018141022164225445,CHECK,0.35716317662759467,0.8560637624792247,0.24662226756223157,0.15825301131600486,0.5887249282286212,0.001338096799320927,True,0.07657761939125945,0.02792722943928412,CHECK,0.31947550477003706,0.9730638759709747,0.21064279916622275,0.1607770203722425,0.5856936360982001,0.0013430374822994892,True,0.016552650698550136,0.018141022164225445,CHECK
