case,hspice_return_code,hspice_tr0,hspice_lis,points,stop_ns,tx_min_v,tx_max_v,rx_min_v,rx_max_v,tx_low_v,tx_active_v,tx_threshold_v,rx_low_v,rx_active_v,rx_threshold_v,tx_rise50_ns,rx_rise50_ns,tx_fall50_ns,rx_fall50_ns,rx_minus_tx_rise50_ps,rx_minus_tx_fall50_ps,lis_delay_estimate_s,lis_rational_rms_error,lis_rational_pole_count,lis_mentions_passive
audit_amp1p5_edge5_r50,0,results/sparam_s2p_reduced_2026-06-09/ch_model_fit/native_hspice/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_s2p_reduced_2026-06-09/ch_model_fit/native_hspice/audit_amp1p5_edge5_r50_hspice.lis,136,12.0,-0.03852164,0.7870694,-0.6358269,1.381267,-3.742163e-76,0.78411715,0.392058575,1.042748e-75,1.1541204999999999,0.5770602499999999,1.0025957318436296,1.4045536688709253,9.002360833823339,9.041994869315356,401.9579370272957,39.63403549201869,2.19727e-10,0.000716236,10,True
audit_amp1p5_edge50_r50,0,results/sparam_s2p_reduced_2026-06-09/ch_model_fit/native_hspice/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_s2p_reduced_2026-06-09/ch_model_fit/native_hspice/audit_amp1p5_edge50_r50_hspice.lis,136,12.0,-0.03817056,0.7867254,-0.165165,0.9119537,-3.742163e-76,0.7836466,0.3918233,1.042748e-75,0.8841844,0.4420922,1.0255403938043122,1.3880593608620393,9.023275417172478,9.35359782485674,362.5189670577271,330.32240768426357,2.19727e-10,,,True
audit_amp1p5_edge500_r50,0,results/sparam_s2p_reduced_2026-06-09/ch_model_fit/native_hspice/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_s2p_reduced_2026-06-09/ch_model_fit/native_hspice/audit_amp1p5_edge500_r50_hspice.lis,113,12.0,-0.03258903,0.7811457,-0.01472301,0.7587089,-3.742163e-76,0.78031005,0.390155025,1.042748e-75,0.75079845,0.375399225,1.249671661791518,1.6235553509704943,9.229286693942631,9.619672500780359,373.88368917897634,390.38580683772915,2.19727e-10,,,True
