channel_id,source,path,relative_path,bytes,sha256,ports_from_suffix,status,ports,points,f_min_hz,f_max_hz,z0_summary,supported_v1,dominant_path,dominant_output_port,dominant_input_port,dominant_peak_mag_db,max_reflection_mag_db,duplicate_count,duplicate_group
hfss_19.2_ac0049b4,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_19.2.s10p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_19.2.s10p,53926,529690b08ea82d546135e9030d44564a2ceaa0b4e7cfed520dee3c1e4000f91f,10,unsupported_v1,10,11,3600000000.0,3800000000.0,268.958;134.456;461.78;461.781;461.781;461.781;461.781;461.781...,False,S31,3,1,-5.9259652420796485,-1.5376004485072159,1,
hfss_19.2_cddaa9a5,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_19.2.s8p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_19.2.s8p,10218,9f4f82f490739f8cacb8d49c900f2021e00a1cea84f82ecdf3380528b1255dcf,8,unsupported_v1,8,3,45000000.0,45200000.0,30.0546-0.0446671j;30.0547-0.0446672j;7.72785-0.0263555j;7.73823-0.0263664j;7.72785-0.0263557j;7.72863-0.0263554j;7.73753-0.0263677j;7.72751-0.0263561j...,False,S28,2,8,-5.077033759885597,-0.4165886903076803,1,
hfss_oneport_9d771c4c,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_oneport.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_oneport.s1p,74747,70a2c6869f40d673b15a33e55df7d5ea0fb8d436b6f7a25eb5786706c253049b,1,unsupported_v1,1,401,500000000000.0,750000000000.0,376.366;375.605;374.852;374.105;373.366;372.634;371.909;371.19...,False,,,,,-13.352623314743262,1,
hfss_oneport_powerwave_60490dae,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_oneport_powerwave.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_oneport_powerwave.s1p,442,e864e29458a54a84bed4250983dc02d5f2081d612a09c40275c3146c939b29e2,1,unsupported_v1,1,2,29500000000.0,37000000000.0,30-10j;20+10j,False,,,,,-3.287716572002097,1,
hfss_threeport_DB_b039adaa,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_DB.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_DB.s3p,282979,26dc76da62c9ecb070c302ab34cca31260b147e6c82c3523685dbeeb5b97eba7,3,unsupported_v1,3,451,2900000000.0,7500000000.0,526.441;526.441;526.441;524.691;524.691;524.691;522.976;522.977...,False,S21,2,1,-0.00885144362573457,-0.0008766199425937712,1,
hfss_threeport_DB_50Ohm_99c02b0b,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_DB_50Ohm.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_DB_50Ohm.s3p,283234,80e9226d08e8d5ed9a3c0057cf1193f755812947fa91a2dbb99050f343402811,3,unsupported_v1,3,451,2900000000.0,7500000000.0,50;50;50;50;50;50;50;50...,False,S12,1,2,-0.04949347231474882,-2.6045648704193632e-05,1,
hfss_threeport_MA_d210ca84,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_MA.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_MA.s3p,282655,b255cd7e331e0c280edd8712f57c7027c16de9a781088b429ccdb20ebde40f98,3,unsupported_v1,3,451,2900000000.0,7500000000.0,526.441;526.441;526.441;524.691;524.691;524.691;522.976;522.977...,False,S21,2,1,-0.008813480870406823,-0.0008615597883821866,1,
hfss_threeport_MA_50Ohm_e018cd18,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_MA_50Ohm.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_MA_50Ohm.s3p,282924,3bcd017a55ef8f502c19a042d10e719bb9819df71dd2839dd34a3c61df87caeb,3,unsupported_v1,3,451,2900000000.0,7500000000.0,50;50;50;50;50;50;50;50...,False,S12,1,2,-0.04941614102037151,-2.5609193556856464e-05,1,
hfss_threeport_MA_without_gamma_z0_50Ohm_4b322514,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_threeport_MA_without_gamma_z0_50Ohm.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_threeport_MA_without_gamma_z0_50Ohm.s3p,168370,bb516e0bd34db88e492c9e1fed5e2d0a0e4688da7b1fedf004ed9fbebb06cf1e,3,unsupported_v1,3,451,2900000000.0,7500000000.0,50;50;50;50;50;50;50;50...,False,S12,1,2,-0.04941614102037151,-2.5609193556856464e-05,1,
hfss_twoport_e975fe9f,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_twoport.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_twoport.s2p,35410,b961f9415b179480193eefb1594b56e21541253075cecc4a202593264a5f365a,2,ok,2,101,75000000000.0,110000000000.0,49.688-0.112098j;49.6265-0.112974j;49.6838-0.111842j;49.6213-0.112779j;49.6797-0.111589j;49.6162-0.112581j;49.6757-0.111338j;49.6113-0.11238j...,True,S12,1,2,-0.13938867563901666,-37.0776406724321,1,
LFCN-2352__Plus125degC_4793e65c,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\LFCN-2352+_Plus125degC.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/LFCN-2352+_Plus125degC.s2p,269139,bb593bd69440bce0f424e4a135699fe189539fe47ed42fab24f5c3421707a65f,2,ok,2,2006,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S21,2,1,-0.020454849999999608,-2.7659119999999997,1,
LFCN-2352__Plus25degC_d04142bc,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\LFCN-2352+_Plus25degC.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/LFCN-2352+_Plus25degC.s2p,269138,ec8fa0e552894a3924fb79f056f989facfb72f5dc91601340e92b48e614ccaff,2,ok,2,2006,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S21,2,1,-0.007829413000000153,-2.364895000000002,1,
short_10ps_10g_40g_65ed3613,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\metas_tdr\short_10ps_10g_40g.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/metas_tdr/short_10ps_10g_40g.s1p,300,6e0c0972f4c340469492066f12addf7199a6eac1f21b41d6e1fcc2b2a8e18592,1,unsupported_v1,1,4,10000000000.0,40000000000.0,50;50;50;50,False,,,,,1.928654933106574e-15,1,
short_10ps_10g_50g_3b6f6380,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\metas_tdr\short_10ps_10g_50g.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/metas_tdr/short_10ps_10g_50g.s1p,336,24045454ad0fbad9fabc6c9ddf6321c577ef2168c426952c3ba5c0bda360d2d8,1,unsupported_v1,1,5,10000000000.0,50000000000.0,50;50;50;50;50,False,,,,,1.928654933106574e-15,1,
short_10ps_dc_40g_6b7a1061,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\metas_tdr\short_10ps_dc_40g.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/metas_tdr/short_10ps_dc_40g.s1p,313,2a56b1f4f65d7bcd2a907fd26525209b1fd13f28ee20f36c7b76de1392218a7c,1,unsupported_v1,1,5,0.0,40000000000.0,50;50;50;50;50,False,,,,,1.928654933106574e-15,1,
short_10ps_dc_50g_961b749c,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\metas_tdr\short_10ps_dc_50g.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/metas_tdr/short_10ps_dc_50g.s1p,348,5c2079603a1bc420e1e6041e31c1393d4926f09c24fc6a3e58e18f86f1a58e1d,1,unsupported_v1,1,6,0.0,50000000000.0,50;50;50;50;50;50,False,,,,,1.928654933106574e-15,1,
ntwk_9ba2e533,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk.s32p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk.s32p,132124,da8a3954b7595f335d6cf3fd197c3135a0bae006349f716e61c4081368f5fda5,32,unsupported_v1,32,3,0.0,40000000.0,50;50;50;50;50;50;50;50...,False,S622,6,22,-0.0005092597877169871,-32.60739129205685,1,
ntwk1_f450e450,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk1.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk1.s2p,15729,f3f97ca0311e2fe42681367a32d809bf6cf98a80fc294012253e5a92e19e3e29,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.5168994500992495,-1.5439350755393266,1,
ntwk2_e1c16499,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk2.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk2.s2p,15729,b397b1feab68a0a899b58bfbcdbaa9970bccee6ad1e578cd7e19716a5674d014,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.4262984826709254,-11.983177274248833,1,
ntwk3_ad74ab42,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk3.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk3.s2p,15729,a81b135b2a96c1ff708ac701d3c96b9452c584a5b84ef799c0c84046272edd87,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.9613313855320177,-1.5034186172598254,1,
ntwk4_806cfc7d,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk4.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4.s2p,36351,9ed0c339f8793d28975dd13823581fa165dca1607937453fb0a61897866311ca,2,ok,2,301,70000000000.0,85000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-2.2729098223189648,-2.358398807529904,1,
ntwk4_n_6d3c414e,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk4_n.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4_n.s2p,36520,2f8ed2cb02636c84c0e16647d4bc4de3cf5b40f8d55c37ea231746a0cff5b262,2,ok,2,301,70000000000.0,85000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-2.2729098223189648,-2.358398807529904,1,
ntwk_arbitrary_frequency_3e8760a8,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk_arbitrary_frequency.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_arbitrary_frequency.s2p,850,0c3837d7400ba2d9368a9b159f99b1db8537eec94523e007763014eb5973d0eb,2,ok,2,4,1.0,20.0,50;50;50;50;50;50;50;50,True,S12,1,2,-0.5168994500992495,-14.255443398272575,1,
ntwk_noise_65eeb4e4,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk_noise.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise.s2p,1174,62ae8ac71dead985ac553b50981f2f3ad405f24d4d5d4a576675804cd9b36167,2,ok,2,11,1000000000.0,2000000000.0,50;50;50;50;50;50;50;50...,True,S21,2,1,20.0,-600.0,1,
ntwk_noise_interp_a132609e,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk_noise_interp.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise_interp.s2p,1320,706aa6f1695606351a30ad50589f02f15eef85aae22a59838c4fc823edacbea5,2,ok,2,13,100000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S21,2,1,20.0,-600.0,1,
ntwk1_e20029da,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwks\ntwk1.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk1.s2p,15633,bd810424babef70202e9baacb816b2ab9f39445a5ce069a5d2d64fde045e172b,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.5168994500992495,-1.5439350755393266,1,
ntwk2_24638a5f,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwks\ntwk2.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk2.s2p,15633,0c3fb04428e0119205f009c2c7ccef15f54f60d4de31fbd0c95f194b5ec76dd8,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.4262984826709254,-11.983177274248833,1,
ntwk3_8f8a2430,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwks\ntwk3.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk3.s2p,15633,2b64475c4cef3637b4b6137d30c8d55340e6e46f03528d3f5faefe9d9397b216,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.9613313855320177,-1.5034186172598254,1,
PowerSI_example_8f3cd70a,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\PowerSI_example.S8P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/PowerSI_example.S8P,764646,e794ede9b4e44423506e50efc3b7251c35375f4dbd4856fcfdb6ec961557daef,8,unsupported_v1,8,300,10000000.0,3000000000.0,50;50;50;50;50;50;50;50...,False,S48,4,8,-0.02835391654274945,-0.014822811405048266,1,
RS_ZNB8_23e14c3f,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\RS_ZNB8.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/RS_ZNB8.s4p,858823,8c78bcb7bf944791fba3c99bfa9f196e62b02da7ed192f9e8017f9a08e32e217,4,ok,4,1001,40000000.0,60000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-28.779551678563692,-0.11767908466132265,1,
RS_ZVR_1.20_beta_f_6cd9e598,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\RS_ZVR_1.20_beta_f.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/RS_ZVR_1.20_beta_f.s2p,771,6c2fcd7f899b7905742f0c25ad46f58318408913796c7684f6c08e58c6c4f2fa,2,ok,2,1,1000.0,1000.0,50;50,True,S21,2,1,-2.0000000000978162e-05,-9.999999999621458e-06,1,
thru_a0b4754f,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\thru.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/thru.s2p,235,283c848b8f0119461960ee40b4f19ff804ca83d5d1f3a0f60892c3b093a44cc1,2,ok,2,4,1000000000.0,100000000000.0,50;50;50;50;50;50;50;50,True,S12,1,2,0.0,-600.0,1,
tmp_skrf_oneport_powerwave_16f8e44d,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\tmp_skrf_oneport_powerwave.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/tmp_skrf_oneport_powerwave.s1p,559,bd3407d52b6c619e80a933410f8d6df2455d77fbfb8787c65b8e0bd250287dee,1,unsupported_v1,1,2,29500000000.0,37000000000.0,30-10j;20+10j,False,,,,,-3.287716572002097,1,
