bench,node,edge_index,edge_type,threshold_v,ref_cross_ns,pybis_cross_ns,pybis_minus_ref_ns
simple_fixture,pad,1,rise,0.75,3.217562823839057,3.8419919227718204,0.6244290989327634
simple_fixture,pad,2,fall,0.75,6.853996532845007,7.481933542901332,0.6279370100563249
simple_fixture,pad,3,rise,0.75,13.21732963927434,13.820948092588212,0.6036184533138726
simple_fixture,pad,4,fall,0.75,21.856043665331875,22.482616050314093,0.626572384982218
simple_fixture,pad,5,rise,0.75,33.21737912078897,33.82335817138472,0.6059790505957494
simple_fixture,pad,6,fall,0.75,36.85399719534246,37.55902883372212,0.7050316383796584
simple_fixture,load,1,rise,0.75,3.247562823839057,3.8719919227718207,0.6244290989327639
simple_fixture,load,2,fall,0.75,6.883996532845007,7.511933542901331,0.627937010056324
simple_fixture,load,3,rise,0.75,13.247329639274339,13.850948092588212,0.6036184533138726
simple_fixture,load,4,fall,0.75,21.886043665331876,22.512616050314094,0.626572384982218
simple_fixture,load,5,rise,0.75,33.24737912078897,33.85335817138472,0.6059790505957494
simple_fixture,load,6,fall,0.75,36.88399719534246,37.58902883372212,0.7050316383796584
actual_channel,tx_pad,1,rise,0.75,3.0053175212792387,3.653676254752046,0.6483587334728074
actual_channel,tx_pad,2,fall,0.75,6.995134867530955,7.619503698571257,0.6243688310403019
actual_channel,tx_pad,3,rise,0.75,13.002168015043894,13.660944346633347,0.6587763315894524
actual_channel,tx_pad,4,fall,0.75,21.999712700934275,22.624930990651137,0.6252182897168623
actual_channel,tx_pad,5,rise,0.75,33.00582521287206,33.663504624374674,0.6576794115026132
actual_channel,tx_pad,6,fall,0.75,36.994557957979595,37.62066538326188,0.6261074252822851
actual_channel,rx_load,1,rise,0.75,3.98890626645582,4.607295750478858,0.6183894840230382
actual_channel,rx_load,2,fall,0.75,7.884040486307832,8.542652085861555,0.6586115995537227
actual_channel,rx_load,3,rise,0.75,13.989334716318707,14.615791051869447,0.6264563355507402
actual_channel,rx_load,4,fall,0.75,22.889005605828505,23.546366278478832,0.6573606726503272
actual_channel,rx_load,5,rise,0.75,33.98843576921368,34.61761117878965,0.6291754095759714
actual_channel,rx_load,6,fall,0.75,37.88410321495991,38.54383423224072,0.6597310172808122
