channel_name,status,selected_strength,selected_out_dir,base_model,baseline_comparison_rows,baseline_pass_count,baseline_max_rx_active_rmse_v,baseline_mean_rx_active_rmse_v,baseline_max_rx_active_maxabs_v,baseline_mean_rx_active_maxabs_v,baseline_max_tx_active_rmse_v,baseline_mean_tx_active_rmse_v,baseline_max_tx_active_maxabs_v,baseline_mean_tx_active_maxabs_v,baseline_max_rx_rise50_delta_ps,baseline_mean_rx_rise50_delta_ps,baseline_max_rx_fall50_delta_ps,baseline_mean_rx_fall50_delta_ps,baseline_all_pass,selected_comparison_rows,selected_pass_count,selected_max_rx_active_rmse_v,selected_mean_rx_active_rmse_v,selected_max_rx_active_maxabs_v,selected_mean_rx_active_maxabs_v,selected_max_tx_active_rmse_v,selected_mean_tx_active_rmse_v,selected_max_tx_active_maxabs_v,selected_mean_tx_active_maxabs_v,selected_max_rx_rise50_delta_ps,selected_mean_rx_rise50_delta_ps,selected_max_rx_fall50_delta_ps,selected_mean_rx_fall50_delta_ps,selected_all_pass
Ch10_35_5F3N_t,pass,1.0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_strength_sweep_2026-06-09\Ch10_35_5F3N_t\strength_1p000,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch10_35_5F3N_t\trim_sweep\trim_m10ps\models\s_equivalent_delay_reduced.sp,3,3,0.008022373470550709,0.007836280311800009,0.032624713416366524,0.024871294830894713,0.025181974191753016,0.02437304473315902,0.08273084866664715,0.0681955861573781,4.631581802820861,-0.4747872346679098,11.421606682223029,-5.201756989496431,True,3,3,0.014899837971300359,0.014258717201399327,0.04249583514958388,0.03274234089615892,0.01664043056876203,0.015264347356125968,0.08524308830986838,0.0630399110432713,6.6041594783943225,-3.0952146958469484,21.39299780423798,-16.05532677849671,True
Ch1_10_5F3N_t,pass,0.5,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_strength_sweep_2026-06-09\Ch1_10_5F3N_t\strength_0p500,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch1_10_5F3N_t\trim_sweep\trim_m5ps\models\s_equivalent_delay_reduced.sp,3,3,0.012810010014528087,0.012462998674209117,0.045376624350886074,0.03728642031809893,0.039087743339855735,0.03793896617133281,0.08305957222979743,0.07696564147543432,5.538057573178712,-2.9533406543856464,4.336386598041031,2.2222226845460824,True,3,3,0.017275955987102597,0.01686097381375824,0.047136302262584306,0.03794073964570475,0.03178302432389487,0.030418274623286317,0.07986480528332363,0.06962873584326172,6.091290581462516,-3.604855321513186,8.387289447719937,-1.7437025746662727,True
Ch3_17_5F3N_t,pass,1.0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_strength_sweep_2026-06-09\Ch3_17_5F3N_t\strength_1p000,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch3_17_5F3N_t\trim_sweep\trim_p0ps\models\s_equivalent_delay_reduced.sp,3,3,0.006522874740747143,0.006329287957251088,0.026550691647070343,0.023661931271724,0.038398438747692575,0.03764924080351729,0.08507880841267379,0.0831834377743536,5.1181572116707486,4.215889899572704,9.826780526369205,7.127229080477804,True,3,3,0.014265995467482324,0.01397899010030895,0.05275214720332557,0.04684216982193214,0.024203135984367432,0.023129838889814736,0.07021243262986387,0.06420694397853678,4.045633972808105,1.6826994042116183,11.895930588771364,-4.50020243190193,True
Ch4_20_5F3N_t,pass,1.0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_strength_sweep_2026-06-09\Ch4_20_5F3N_t\strength_1p000,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch4_20_5F3N_t\trim_sweep\trim_p0ps\models\s_equivalent_delay_reduced.sp,3,3,0.009481138097767365,0.008050175798208664,0.04243523891801715,0.035139016032441704,0.02465434135275521,0.02221290812550535,0.11771776871934025,0.08478526599685395,18.603786226812247,6.70207977472496,13.809149082245398,9.910764353797674,True,3,3,0.012268733925654732,0.0111794912085703,0.04307349745073881,0.03652425574354388,0.021927426464242953,0.019039664170928373,0.11277274996689846,0.07868326269910723,18.248703419997625,6.201243770498503,11.410165609483158,6.450693746245406,True
Ch5_22_5F3N_t,pass,1.0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_strength_sweep_2026-06-09\Ch5_22_5F3N_t\strength_1p000,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch5_22_5F3N_t\trim_sweep\trim_m5ps\models\s_equivalent_delay_reduced.sp,3,3,0.008019038633151352,0.007846557151370231,0.027190742206745416,0.019939096948469733,0.023875465560236814,0.023302784101564018,0.05404868151453161,0.05144659745607943,14.101444858485301,4.747328745517088,19.42208826906544,5.161180775938708,True,3,3,0.012964103153400002,0.012771958963801794,0.03221290711653135,0.027618160338795356,0.01485823787050622,0.014017464886498021,0.05574970846806304,0.04305414784693675,12.395885102875148,3.2411023429534205,10.125603274882877,-3.0071834255114283,True
Ch7_28_5F3N_t,pass,1.0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_strength_sweep_2026-06-09\Ch7_28_5F3N_t\strength_1p000,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch7_28_5F3N_t\trim_sweep\trim_m5ps\models\s_equivalent_delay_reduced.sp,3,3,0.012529987610080876,0.012418925106427267,0.027950180437444266,0.023187751486089286,0.023912561510609748,0.023786844983035692,0.05281455332758202,0.05089440009328198,11.951566771312372,4.7377742402587115,13.898050155557229,1.5925622100058472,True,3,3,0.01122336298083496,0.010791700568141988,0.0395867508936085,0.03457745171910482,0.013936802258657921,0.013547613697104194,0.03775626403700918,0.03583250330538562,11.162249506803334,3.756689324347917,17.05614727461935,-6.706868403437483,True
Ch8_30_5F3N_t,pass,0.5,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_strength_sweep_2026-06-09\Ch8_30_5F3N_t\strength_0p500,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch8_30_5F3N_t\trim_sweep\trim_m5ps\models\s_equivalent_delay_reduced.sp,3,3,0.007439127115533519,0.006080858407478508,0.05916945695874215,0.033151196630349496,0.031411243860564105,0.030444579097820113,0.08390183318834998,0.07735394598670692,13.374313635621249,5.728817627693061,15.37997036501082,-1.649579605384588,True,3,3,0.011149944425703587,0.009877095173766086,0.058296609682299244,0.04151124953696337,0.02515156809302646,0.024144617087572026,0.0727002848241114,0.06759794118375474,12.941564803416128,4.897849025937854,22.051741319636164,-9.646639259951684,True
Ch9_33_5F3N_t,pass,1.0,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_s11_strength_sweep_2026-06-09\Ch9_33_5F3N_t\strength_1p000,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch9_33_5F3N_t\trim_sweep\trim_m10ps\models\s_equivalent_delay_reduced.sp,3,3,0.0076963457399364795,0.0066608014073266586,0.052637471978495234,0.03391590627534114,0.029438445675346033,0.028808064438180986,0.0789397786098952,0.07031951841736833,20.25416510581657,-2.156624750272229,12.602513633481749,2.814887459624771,True,3,3,0.01671825483362702,0.015960630817444286,0.05496206115320741,0.04211369923783176,0.019179680297533364,0.018063904325220634,0.07420048244164879,0.059369398106917694,21.266936633875133,-4.612288494996027,18.449868969533156,-11.54680591099814,True
