channel_id,candidate_id,case,edge_ps,side,signal,hspice_audit_class,rx_shape_hspice_audit_class,rx_timing_hspice_audit_class,reflection_hspice_audit_class,active_rmse_v,active_maxabs_v,plot
ntwk3_8f8a2430,raw_auto_fit_high_order,audit_amp1p5_edge5_r50,5.0,rx,v(p2),WARN,PASS,WARN,PASS,0.0020656137782337053,0.019332108356578392,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\ntwk3_8f8a2430_raw_auto_fit_high_order_audit_amp1p5_edge5_r50_rx.png
ntwk3_8f8a2430,raw_auto_fit_high_order,audit_amp1p5_edge50_r50,50.0,tx,v(p1),PASS,PASS,PASS,PASS,0.00018026270101301976,0.0017061946402709277,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\ntwk3_8f8a2430_raw_auto_fit_high_order_audit_amp1p5_edge50_r50_tx.png
ntwk3_8f8a2430,raw_auto_fit_high_order,audit_amp1p5_edge50_r50,50.0,rx,v(p2),PASS,PASS,PASS,PASS,0.0007637451281774009,0.007379814204474866,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\ntwk3_8f8a2430_raw_auto_fit_high_order_audit_amp1p5_edge50_r50_rx.png
ntwk3_8f8a2430,raw_auto_fit_high_order,audit_amp1p5_edge500_r50,500.0,tx,v(p1),PASS,PASS,PASS,PASS,3.379243517663624e-05,0.0002053206307986999,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\ntwk3_8f8a2430_raw_auto_fit_high_order_audit_amp1p5_edge500_r50_tx.png
ntwk3_8f8a2430,raw_auto_fit_high_order,audit_amp1p5_edge500_r50,500.0,rx,v(p2),PASS,PASS,PASS,PASS,0.00028418940792192276,0.0010072704439466618,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\ntwk3_8f8a2430_raw_auto_fit_high_order_audit_amp1p5_edge500_r50_rx.png
Clarity_example_Fitted_55b55a71,raw_auto_fit_default,audit_amp1p5_edge5_r50,5.0,tx,v(p1),FAIL,FAIL,WARN,PASS,0.005993640466458068,0.02659558469523582,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\Clarity_example_Fitted_55b55a71_raw_auto_fit_default_audit_amp1p5_edge5_r50_tx.png
Clarity_example_Fitted_55b55a71,raw_auto_fit_default,audit_amp1p5_edge5_r50,5.0,rx,v(p2),FAIL,FAIL,WARN,PASS,0.03644323717966242,0.18437255147055823,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\Clarity_example_Fitted_55b55a71_raw_auto_fit_default_audit_amp1p5_edge5_r50_rx.png
Clarity_example_Fitted_55b55a71,raw_auto_fit_default,audit_amp1p5_edge50_r50,50.0,tx,v(p1),FAIL,FAIL,PASS,PASS,0.005336385581980265,0.02530901746738423,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\Clarity_example_Fitted_55b55a71_raw_auto_fit_default_audit_amp1p5_edge50_r50_tx.png
Clarity_example_Fitted_55b55a71,raw_auto_fit_default,audit_amp1p5_edge50_r50,50.0,rx,v(p2),FAIL,FAIL,PASS,PASS,0.04351635251838372,0.1562207123363185,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\Clarity_example_Fitted_55b55a71_raw_auto_fit_default_audit_amp1p5_edge50_r50_rx.png
Clarity_example_Fitted_55b55a71,raw_auto_fit_default,audit_amp1p5_edge500_r50,500.0,tx,v(p1),PASS,PASS,PASS,PASS,0.0011130467028052946,0.0021272690446341724,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\Clarity_example_Fitted_55b55a71_raw_auto_fit_default_audit_amp1p5_edge500_r50_tx.png
